cluster,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
carrier,,,,,,,,,,,,,,,,,,,
AC,13.391914173541766,12.862086712542604,11.969065884021424,10.927113085744653,10.680109557556609,10.511149027671712,9.76062299551498,8.48147762109668,7.584081250496268,7.106605484500175,6.334896548963676,5.716304532587249,4.994152717103326,4.529983628864127,4.281066651905865,4.038549810280262,3.748174752248383,3.277578389505732,3.0051849627241145
Combined-Cycle Gas,282.9372552907552,242.52535186636385,201.35705167957624,161.24150173084527,136.31559450476465,125.71253351035354,114.33549501432188,99.80591960430348,90.07254649551356,86.18562004232083,78.98852531356812,73.84175634727339,66.66075132188365,61.10649295374439,58.5440585520545,56.23263948906161,53.68343296817673,50.59170063856647,47.05635595645991
DC,36.47471431630546,35.211498145462166,32.94887567326011,30.22043118077511,28.88457072163689,28.80837917133535,26.360803769564377,23.84803554812448,21.387995532667592,20.470116412457735,18.380384542604187,16.66343049284691,14.075743073100858,12.354099226228424,11.406163248737148,10.701231051591662,9.896623565054504,8.91636305413875,8.134524901816627
OCGT methanol,82.19814061592098,83.38093023255814,79.16729424421732,74.94860710854947,73.65897858319605,73.29475100942126,71.0250796178344,67.7179856115108,64.94358297591553,63.56060606060606,61.15132712857635,59.23276757880153,57.05389221556887,56.35997794928336,56.81761818651511,56.64862356944016,57.56685783277996,50.12432959531935,48.46191474493361
Offshore Wind (AC),54.83181183884253,53.14304417786972,52.4785190023865,53.11970868603547,52.46949471714639,51.03203892405722,52.119582877455535,50.0223839672332,50.81403815815891,48.33964919508713,48.3161286929946,47.19431826508175,45.43092928103978,44.85505641535102,43.50624696016639,43.02810158797136,42.59275566441391,41.611653052595344,40.16960948695122
Offshore Wind (DC),53.22035870441498,54.82771829503751,54.13714458369172,52.79167365161686,53.212804064701245,53.16259980111766,52.90043391877829,51.94208830984298,50.03409976516832,50.38624982504962,49.71694359151637,48.281870575119584,47.49504233769738,47.07545830136872,47.28328072473682,47.01562887508192,47.103219440649866,46.96189357552219,47.70695036854455
Offshore Wind (Floating),70.12383925712456,68.26674541411896,65.98004282655246,63.41272371567278,62.12278960104238,61.4877658025051,59.93840526700806,57.47668043559895,55.77963596764157,54.84358622913811,53.036919448476056,51.53336585365854,49.534716381646575,47.66928370650383,46.78472536422044,45.917537613414495,44.64928202182654,42.95834146341464,40.91864780820544
Onshore Wind,54.49629862444216,51.90640921296118,50.37635346519357,49.70562787184088,48.923481692655706,50.90466012423949,49.352894139033886,48.5555270323791,47.645781467610426,47.498422147667775,45.73478893765666,45.05156116692168,43.4333363569172,41.99464161663828,41.527345248817895,40.95855353179197,40.17401241914549,39.47185149242509,38.3414230397793
Open-Cycle Gas,81.93020382952439,86.89833784306147,94.3158899923606,138.70922235937223,249.07148181687668,233.64268730168664,209.4231480225005,182.07276713208012,163.5357317594941,153.7863871896992,136.35568742555725,139.55581367958055,130.3732679211336,121.57542826109268,120.76554124895752,132.33319304497664,137.81842778847945,133.43786707857183,97.8445141838583
Pumped Hydro Storage,62.57450474003271,62.86711957239837,62.46428944406505,59.730289076265365,57.42401118149032,56.965658804090616,55.75578517043058,53.18311888997354,49.80261777690699,47.64011808235867,44.01270266213192,40.56002055465724,35.61574411384456,32.14708816967322,31.2150732233165,30.7575610726044,29.82397721853511,23.555602258957524,20.62084573812415
Reservoir & Dam,83.7782423560404,81.4711271008674,79.51541760921089,77.74024282220996,76.29686026054956,74.94660845270428,71.97655029557184,67.42211926952446,63.6928410408618,62.071526158041735,59.49948104399186,57.7076938605215,55.5289824362022,53.63676596232447,52.793525276992334,51.58168373660003,49.62633948967909,46.47791866289373,44.12277889203064
Run of River,67.12379862264568,66.10492187553645,65.21917503541053,64.50863062672231,64.15157998011394,63.98481591294622,62.9796696505596,61.45396299569748,59.9772292322358,58.86133812303597,56.60616450993301,54.61625316179435,51.93457341344063,49.627267255014175,48.49415737746621,47.41244405266836,45.98825744809974,44.20176009580799,42.32317427712874
Solar,38.31443605232602,45.98757885073024,44.29556858510952,37.0123190323578,42.86515459765816,36.46387012716063,41.05949937172218,38.67407498649061,35.127575882003924,35.033277742966064,37.05462540427618,34.61203352152215,35.256140679035454,35.488165182136896,35.22179944154749,34.949914915310195,35.05570477429851,34.82592030097696,34.51250531719477
battery discharger,90.66579656387567,89.74103064146033,89.75693155605244,88.13239439157017,87.242145546332,85.91043443321917,84.57236791933559,82.43204315907494,80.89319407667202,78.38686857933506,75.29294228114627,59.05989489934352,53.9499634856745,50.70211815891917,49.54316117396294,48.16408408357898,46.92540818949927,44.674837335115775,42.68172130908242
coal,143.27328038077675,142.36539326043592,141.0543864584576,135.13901744786415,129.6616042392427,125.11211856438652,125.47032927608385,126.36549418239554,126.20627837135216,125.93562566526124,125.94970197204748,125.9555703128781,126.09102479237028,129.16092482384633,131.25723233362183,133.38422594721354,136.87869192035186,127.59379452816668,127.44327786887276
electricity distribution grid,-714740.9732804566,-729620.0451654275,-805092.2162171418,-852696.2407005267,-1154745.78101785,-1576548.7134375256,-2241452.93167764,-1452178.0836238167,-1957555.684148396,-1902444.28431568,-1999137.89676593,-2313775.779142597,-2551996.028412318,-3063501.8552171225,-2915086.69307361,-3967568.311594452,-4492355.832971688,-4371646.5227939,-5072160.625691691
lignite,147.5647683508515,157.51133656527148,151.32067014681098,143.614064741326,137.8350924193097,135.7111732678928,93.7998802126226,133.3985357101195,133.2612908886109,127.90222106007934,134.1446291242868,135.53533653284882,136.63062507068193,151.14282571377225,164.01777479621495,191.74999441330567,251.54276125910368,157.62491853139255,147.72858861668078
nuclear,68.02788894910258,65.75405951156577,63.8552477735691,62.68829659013208,62.06596559453264,61.88512660223896,60.93382627461264,59.400049641623866,58.03974478519866,57.317145892137695,55.76709969189204,54.2832830530588,52.40212910831416,50.6785054063681,49.77986816585353,48.62804900697281,47.09402592583996,45.09530177052312,43.11217565039496
oil,159.6583212967421,206.0955380577428,311.78596087148657,114.1906950028719,89.82228167399198,84.63452353877643,77.94164396003633,70.9137273593899,67.11460836136473,65.5495036905065,62.55916993830623,60.51275964391692,57.79311318092012,56.90348675034868,57.50985545335085,58.18885245901639,59.94011187890754,50.3485269594219,48.16052776250688
solar-hsat,40.0294581432814,38.84502670353846,38.50251053269328,38.897452206415686,37.87957924261213,38.40441304333524,37.47829151672994,37.32674173625641,37.55545677364493,37.58504611139078,37.20031551394877,37.33820432033098,36.65155645393388,36.169795753162624,35.87905598045587,35.635872371462376,35.32317932524504,35.176446847039365,34.82934432659231
urban central gas CHP,109.8581179912238,107.63434650455928,106.59764840837396,109.11371488658554,117.0691489361702,114.99437253798536,145.20230841843303,132.85763621607148,119.86122147581185,114.56348488067069,104.30788999990068,96.90356038831376,85.5222623376489,71.33204121480222,68.01970675987604,64.68856710956054,65.0186507950106,62.11940400476616,56.25260994217532
urban central solid biomass CHP,115.12182817096428,107.48979217011292,100.28632517393062,92.27418088453744,90.64603059598544,88.62804088899432,83.31479968139058,74.9982613207783,70.13077305130898,67.87247335151889,63.89922533899248,61.36197088129803,58.11726719091948,56.78547506001871,55.13085621187052,54.41648040014982,53.76175004624266,50.30037944631004,45.9828991529487
urban central solid biomass CHP CC,60.54785158103678,57.1022675941676,54.51151610501957,54.54433672803166,53.07020205780526,52.291090043758174,51.21971466586809,52.09777513700894,51.99992926566996,52.61778214241436,52.48489491210309,52.112670321321936,51.27918661768184,49.72578840201489,49.29330550063616,48.97560432746049,47.893311938425725,46.72602329562363,44.31693723914019
waste CHP,99.8213446168312,102.24917203789072,98.8078190389012,86.65583594114122,82.49289673185959,81.19832067173131,77.72995521208396,72.00739827373613,67.78478260869565,65.82281553398059,62.39521573231582,59.70305003427004,56.28968054858672,53.61949559647719,52.1512806338677,50.74686098654709,49.02706935123043,46.863548883756735,44.760501805740354
