cluster,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
component,carrier,,,,,,,,,,,,,,,,,,,
Link,Open-Cycle Gas,-135.59585,-216.66048,-219.2891,-475.00272,-121344.323,-284995.19655,-196270.63113,-193123.27348,-122738.46554,-33668.214,-15751.15956,-103110.11197,-319896.53602,-565518.96861,-484971.06268,-211143.99958,-190961.46118,-357433.29495,-1371281.14909
Link,SMR,-83857.58186,-9466.751,-216.16302,-2437.54314,-4416311.99432,-9864913.29055,-10285603.00482,-10285905.88826,-10285905.17643,-10285965.19794,-10285927.27671,-10285938.04816,-10285998.48578,-10285920.91292,-10286099.74084,-10285922.52484,-10285991.32081,-10286127.15417,-10286209.18356
Link,Sabatier,-15147928.28291,-1266.4466,-722.44222,-733.16267,-881.03647,-792.54887,-871.01234,-911.72695,-991.74329,-954.5632,-841.4042,-846.52016,-891.57232,-818.34538,-936.18772,-712.73638,-842.94309,-980.07044,-1145.78402
Link,agriculture machinery oil,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602,13221063.95602
Link,ammonia cracker,-425.67751,-347.53512,-249.12131,-249.48626,-265.42356,-238.05366,-260.5171,-277.61212,-295.96349,-287.89536,-276.329,-272.53931,-305.62735,-319.78366,-351.68489,-289.96222,-288.44408,-365.39652,-383.65321
Link,battery charger,-4428024.36495,-3871767.18727,-3585089.67071,-3418130.61012,-3232307.90123,-3176524.05291,-2760831.60458,-2178595.95248,-1648961.51063,-1051052.46468,-143983.34448,-591.14788,-542.77132,-483.06648,-562.2126,-438.43343,-423.09085,-529.57592,-568.34739
Link,battery discharger,-4338560.10536,-3793541.6053,-3512656.15058,-3349070.3482,-3167002.02106,-3112345.23466,-2705051.47961,-2134579.37637,-1615645.72323,-1029816.89324,-141074.29063,-579.20464,-531.80547,-473.3068,-550.85396,-429.57544,-414.54293,-518.87671,-556.86487
Link,biogas to gas,-68545397.86892,-68545398.16047,-68545397.9362,-68545397.9917,-68545398.37851,-68545397.76246,-68545397.82116,-68545396.81972,-66820956.80504,-45853796.99588,-45851472.43729,-25857440.59984,-25855163.83665,-25854472.48578,-25854668.49003,-25854276.79399,-25854274.48112,-25854434.51477,-25854328.12674
Link,biomass to liquid,-2842.15959,-12431906.16789,-1600455.13092,-4785.42872,-19558787.46775,-19754939.77889,-20755345.75516,-25116102.38115,-36805213.88931,-40052845.72036,-51869644.36767,-59688488.97789,-92242119.12471,-146126169.86023,-225780971.52272,-265442391.43591,-284556427.69802,-299339853.67701,-311897782.00226
Link,biomass-to-methanol,-11747924.42252,-3156630.64277,-12116827.44351,-18939584.04068,-15665.9621,-2340.4918,-1364.81951,-1075.71503,-987.39911,-916.53447,-683.67006,-613.50907,-642.71728,-584.71841,-610.52811,-485.68356,-544.47239,-636.95617,-626.47434
