cluster,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
cost,component,carrier,,,,,,,,,,,,,,,,,,,
capital,Generator,Offshore Wind (AC),23628384206.59845,22096119373.69671,20946275857.76172,19440532913.74664,17845493511.08818,16912888295.34356,16273565662.99035,15250148551.17787,14023126096.71876,13637618806.32823,12687393856.73338,12130071701.60313,10740597581.56038,10648552974.78767,10648602815.14438,10648571902.19464,10648504140.2321,10586481277.41924,10228756933.76709
capital,Generator,Offshore Wind (DC),41108797532.12168,40175085298.36207,37638431568.21871,34184040219.09304,31067272097.48225,27615732301.32366,26379518282.5279,23933744630.46061,22175088234.58373,21133202396.7419,19545285244.45897,17278915263.85454,13713582904.57256,9448964722.66378,6992173473.55953,5668959006.8744,4513744303.28727,3563485753.86576,1305820361.71782
capital,Generator,Offshore Wind (Floating),139597.61495,160173.23044,131353.57053,153091.68553,177624.31784,150630.39524,149320.29464,145464.87539,140170.81136,135393.27455,120400.25005,112286.23695,117436.69728,113224.3767,121940.53223,96357.92422,96421.37948,114883.19617,113551.40989
capital,Generator,Onshore Wind,55579098478.57066,50953293447.15345,45867699599.01749,43245878334.24576,40581873633.97082,37584436197.3912,36171894496.41321,34333448810.71975,32856366793.43863,32663438376.43672,31540647995.83966,31130793268.2619,31711236393.33339,32533018042.26744,32738407077.42319,31881222153.02086,30841548550.28269,30150704013.33476,29145446680.8603
capital,Generator,Run of River,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473,14731877853.69473
capital,Generator,Solar,6359489229.20036,6359491283.98056,6359486912.97938,6359487647.53336,6359504318.28741,6359517026.27724,6359502869.43705,6359504694.6997,6359492826.46331,6359494154.67323,6359491728.04564,6359488733.71015,6359483779.92854,6359484434.11073,6359490039.09268,6359481666.9597,6359488292.63673,6359486599.02622,6359522504.5617
capital,Generator,rural solar thermal,28304.17272,36578.38855,42498.31319,42262.82155,44965.41853,40483.28299,39466.55728,37934.67837,37947.39195,35699.35387,35160.94759,32662.13168,34247.07135,35453.34576,40382.35426,32971.77786,32489.82795,37182.88661,40022.79913
capital,Generator,solar-hsat,53853557337.18059,48965842943.45708,45026848699.38854,44472816925.89541,43081247531.72223,42027002072.91648,40527939065.1807,37934764716.7992,35742171548.44292,34133678201.32414,31487462777.32906,30180232688.6346,28351719976.06112,26793029532.46314,25665394706.45282,24452463352.90242,23033473080.01938,21487750449.53457,19493083015.42224
capital,Generator,urban central solar thermal,59052.69865,71616.54605,68427.34996,89527.64849,109786.32935,94512.55277,91423.47128,89586.41163,91104.71164,96563.49145,89211.40855,75450.59725,73266.87621,65670.01769,71920.2961,56460.17922,57312.09781,74216.54108,69634.65772
capital,Generator,urban decentral solar thermal,265840061.03334,426177423.15748,202812991.83816,107405353.22734,33627712.98394,144563137.912,56896.1964,45300.6476,42256.33179,38974.32441,33763.16016,31340.70631,31920.80702,31559.69961,33049.70079,26421.4436,25803.9287,30099.37989,29810.16166
capital,Line,AC,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542,7417196279.15542
capital,Link,BOF,15784847291.13395,15784842687.94521,15784840617.24638,15784834272.98449,15784813759.06383,15784815798.90422,15784809881.57242,15784799978.483,15784796840.27936,15784784297.22759,15784785305.45789,15784785284.11306,15784760082.82828,15784761248.05151,15784718158.17774,15784717381.09391,15784698985.71967,15784589005.29268,15784419269.0603
capital,Link,CO2 pipeline,375686807.36194,262063094.9601,179441193.17053,154713329.96467,47977843.92896,7443459.51666,380511.87712,378209.89556,2547921.2091,11124261.82517,11205110.69694,11151690.67077,11500174.18226,15425918.15784,22081739.2292,24447156.45324,24736693.16045,25614574.59979,43730295.89821
capital,Link,Combined-Cycle Gas,20531261197.02416,20531270724.72726,20531297868.7381,20544348922.66873,20575299165.83821,20548874238.85697,20559130481.92101,20537152807.82651,20531301037.82299,20531289849.24868,20531272825.22648,20531273935.47109,20531276586.28553,20531274033.6839,20531279045.79383,20531268978.67576,20531269923.43597,20531271233.79012,20531298858.97453
capital,Link,DC,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494,1508484281.03494
capital,Link,EAF,40849.26069,47276.6418,42410.55423,51577.09512,66641.76801,58183.67095,62383.56611,66027.35533,67916.35561,70750.29547,66641.61929,64663.61191,77977.34834,78258.0138,99534.18207,90256.72008,97945.25241,151832.44488,223592.16896
capital,Link,H2 DRI,37312.07581,42190.87505,37070.26081,43183.06836,52353.13702,45201.3969,47600.92869,48442.44047,49134.7276,48794.58991,45025.9224,42902.94462,47672.82266,46333.55077,52477.97485,43162.96991,43991.12927,56269.53729,62797.29735
capital,Link,H2 Electrolysis,23855851271.26644,17558476635.01353,10435621855.28348,8084395915.22761,4795476973.38249,349654001.01645,328191.97061,166252.81509,143252.55687,130148.65215,111697.39278,99660.9351,101090.12515,96798.2952,104165.23595,82736.62918,82043.2833,98970.7716,100650.6386
capital,Link,Haber-Bosch,1995312247.02184,1959380943.8996,1856191760.86573,1825024715.20925,1700766901.12003,1617036457.7532,1609140903.86327,1609138438.99108,1609138469.56341,1609133913.59053,1609126829.65116,1609122841.23694,1609127804.84557,1609129547.5601,1609275471.92658,1609337271.60676,1609338532.09614,1609262440.8699,1609258826.9469
capital,Link,OCGT methanol,56893.32155,64503.23356,56860.35858,65671.679,74345.06442,64111.19411,66768.14931,66306.7692,67195.21032,64050.36578,59154.24204,56449.59769,60322.81019,60649.05609,66761.80816,53908.11126,54321.35089,64159.00233,65857.72081
capital,Link,Open-Cycle Gas,1168149.00228,1175999.64877,1169265.92594,1186768.59206,8872635.65685,18645916.38627,12095244.87685,11009964.81436,6844131.32727,2599171.18609,1691916.08627,5721676.68911,15875835.75242,26953004.13364,24696849.77724,14357854.80505,14744724.20943,26504089.61328,56889051.90772
capital,Link,SMR,64605812.0812,7197518.71251,125438.57687,854493.61958,832040783.20179,1829502913.78322,1906576835.37099,1906535151.37419,1906573876.09957,1906527262.04202,1906514492.46447,1906517102.12211,1906656372.26183,1906771032.59381,1906844543.32802,1907024011.23975,1906743562.65093,1906707168.98212,1906779998.44897
capital,Link,Sabatier,434142319.54571,55886.17756,33676.37276,34886.34467,41762.72419,37377.102,40860.06882,42551.79157,45965.26234,44095.21106,39087.96274,39373.04682,41549.19661,37790.19571,43419.70263,33218.08312,38421.80115,44278.14261,51853.21046
capital,Link,ammonia cracker,82620.24146,77574.51467,65053.04793,73632.14088,82654.67772,71696.21837,74852.75109,74876.9052,76323.99658,72901.27458,67672.59613,64945.76737,69804.29452,71106.51095,76825.22559,61992.37967,61927.1526,75306.25009,77400.71315
capital,Link,battery charger,2226793220.10454,1948380805.737,1778525993.07076,1667530230.67453,1563204975.20645,1547143133.821,1323152047.35037,1020348475.43422,772695312.83104,473667527.44274,64841271.36938,228405.89876,203791.44809,187422.08578,211273.41951,166355.13169,163109.8694,197417.0461,205627.63532
capital,Link,biogas to gas,8279970197.82446,8279976343.0915,8279968969.12308,8279977626.56755,8279986139.47567,8279976092.25753,8279978429.58987,8279977723.8496,8071675503.80727,5538952988.23761,5538667387.87126,3123494004.6754,3123222657.29175,3123139965.14508,3123168180.99229,3123108247.84645,3123107968.70911,3123137918.77365,3123126505.71172
capital,Link,biomass to liquid,118257.12957,266802313.97298,34395366.56513,167374.81459,419726353.89174,423925033.44394,445392092.13286,538955923.04277,789758196.65045,859436210.89942,1112972583.34785,1280731097.29604,1979205310.9602,3135342135.2565,4844419680.26653,5695382337.23891,6105493009.53069,6422696743.54169,6692141009.26198
capital,Link,biomass-to-methanol,1358923414.30946,365186215.57604,1401592463.39327,2190779759.19246,1884748.96536,333703.34391,223089.79787,189080.07583,179674.31847,168331.08299,136680.78551,126006.84028,133081.10371,127438.001,134725.46554,107804.53638,114618.69894,135830.64149,135970.21648
capital,Link,coal,20296280389.13643,20296285875.88247,20296277162.22217,20296301618.65676,20296323618.54935,20296301028.36121,20296298128.50001,20296303152.66576,20296295889.85624,20296294914.62856,20296278446.76685,20296267908.05075,20296280207.53996,20296273448.74566,20296287316.88538,20296269477.21863,20296277410.9743,20296273522.96295,20296287723.26407
capital,Link,electricity distribution grid,32871981133.19569,32111800899.03372,31686733576.44181,30816929354.22605,30126872159.74966,29817252593.4296,29427540843.47318,28598136689.68438,28023319662.64668,27881843964.6183,27531785411.42588,27363208491.74172,27347004760.2661,27355539754.84458,27294406108.50758,27296978797.71325,27321668622.36636,27380403573.95734,27404888143.37415
capital,Link,gas DRI,36158.33629,41533.38943,37636.86136,46098.5084,58326.85518,51094.66818,54663.38591,57807.54195,59673.01926,61923.11331,58720.82708,57369.45801,69793.3642,71843.26824,92538.6937,85357.64228,93493.84962,148835.55147,226616.819
capital,Link,gas pipeline,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276,865535209.23276
capital,Link,gas pipeline new,40136090.49837,13038416.614,16228133.90433,17627786.84172,54113935.06596,66540217.13202,80298034.28256,88615847.81161,100417682.08028,106872328.16485,111560977.02345,127924407.78013,155812826.76572,192090621.53242,231341907.84227,295414515.29153,443521837.1837,523450014.83566,583993378.48575
capital,Link,heat100-200 industry electric boiler steam,11426.21614,15579.07395,12807.1492,17425.8223,24523.31395,18516.18989,16689.06257,20369.6045,17517.20254,20136.02311,17095.62659,17338.77177,19567.7011,14431.98708,22076.14273,15287.7095,17525.3969,23258.89627,25755.87505
capital,Link,heat100-200 industry gas,236716879.44777,236717289.29239,236717222.81488,236717780.6433,236718515.54322,236718291.13434,236718495.51513,236718916.12881,236718241.41518,236719023.77231,236718042.76691,236717841.2161,236717767.30314,236717115.43573,236718008.45856,240669884.88676,245833891.75947,249276737.54396,254516251.4791
capital,Link,heat100-200 industry industrial heat pump high temperature,4536516411.08261,4539617934.99433,4526889127.74822,4503888508.58972,4478232777.14131,4474049519.3394,4455594838.60087,4405110041.85318,4364250878.47766,4297126358.6261,4274541228.6936,4242513378.58936,4299945670.18247,4513660851.46369,4171652692.83918,3076787094.89303,1857567443.41791,216513485.24142,4590462.34886
capital,Link,heat100-200 industry solid biomass,74712738.70643,72160437.66677,82610098.01352,101506261.97322,122562915.14176,125995622.85898,141143820.91469,182613209.28255,216160191.84109,271291522.62971,289838557.97254,316136556.42204,268954124.46015,93394710.44535,80464834.08294,163343.59209,139532.5276,147530.70146,101832.77878
capital,Link,heat200-500 industry gas,24262872.00423,24262824.94919,24262713.86423,24263188.07379,24263131.65423,24262897.10749,24264223.41941,24267015.59624,24274025.25141,24273527.35568,24272993.36797,24272928.73823,24274016.42156,24273903.40259,24292376.32277,24304268.05821,24307954.45781,24319785.21853,24322341.24433
capital,Link,heat200-500 industry hydrogen,1913.73636,2471.33241,2217.4739,3051.65284,4430.24984,3740.16854,3864.03662,5247.9106,4526.39293,5660.63225,5058.05993,5101.23058,6099.82192,4860.78266,8388.82869,5173.98664,6224.37495,8700.79003,9290.50194
