cluster,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
cost,component,location,carrier,,,,,,,,,,,,,,,,,,,
capital,Generator,AL0 0,Offshore Wind (AC),2152.06556,2578.56312,2228.29341,2666.1963,3765.47518,3199.00774,3303.55146,3034.3224,2982.16167,2838.6202,2466.95926,2192.68722,2235.40876,2003.97817,2122.80028,1688.07362,1875.17667,2255.27874,2365.65947
capital,Generator,AL0 0,Offshore Wind (Floating),3003.90238,3260.54704,2825.53625,3183.29541,3595.33973,3112.03627,3179.55111,3046.64659,3023.759,2842.95134,2546.25304,2380.0777,2467.619,2471.78924,2594.04404,2084.51328,2061.27345,2446.48417,2461.38345
capital,Generator,AL0 0,Onshore Wind,27078460.54114,27078545.76004,27078454.40397,27078439.50908,27078586.21675,27078515.19545,27078625.86122,27078558.97058,27078517.26224,27078541.12611,27078492.98568,27078521.13815,27078454.10032,27078455.68591,27078496.13027,27078465.98402,27078450.96438,27078461.75004,27078478.87252
capital,Generator,AL0 0,Run of River,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575,14853811.92575
capital,Generator,AL0 0,Solar,15419777.4904,15419850.51948,15419822.07094,15419829.88284,15420047.2166,15419955.00919,15419935.25429,15419865.13719,15419862.24762,15419885.04722,15419843.93138,15419803.13637,15419827.38533,15419810.60305,15419847.72802,15419854.15813,15419833.32324,15419829.42927,15419906.39078
capital,Generator,AL0 0,rural solar thermal,889.70299,1106.37656,1148.09552,1831.16917,2511.90768,2445.8481,2359.99971,1366.02471,1262.09346,1151.15031,1005.0495,914.28304,887.84612,840.89803,860.68237,672.31808,647.98202,742.28982,701.48822
capital,Generator,AL0 0,solar-hsat,422138926.32176,377042953.75389,351412790.79309,349756299.76936,349717838.18073,356865082.24359,333104448.64589,322165516.66037,278462272.45256,251251530.29382,242794335.67872,240298001.33673,244113486.51403,259039746.14615,258309897.49175,257777752.67389,252092021.36404,250283919.3645,262490722.9479
capital,Generator,AL0 0,urban central solar thermal,2347.47115,2653.40623,2710.22806,5482.6538,12504.87871,9074.42799,5758.12708,3320.16397,4492.21151,5635.46147,6953.21065,8349.71477,5648.57981,2591.45433,2757.69088,2107.98506,2250.25971,3062.85031,2527.81616
capital,Generator,AL0 0,urban decentral solar thermal,916.76489,1153.05635,1188.56259,1886.76512,2574.89508,2540.9191,2249.74787,1388.47498,1283.56981,1170.53885,1023.97449,934.39099,914.40607,871.58176,892.43592,700.38719,676.64591,776.44639,737.62571
capital,Generator,AT0 0,Onshore Wind,374354112.80454,374354055.78817,374353938.57541,374355495.95295,374361951.80648,374358060.22118,374354020.95936,374355205.88155,374354967.37306,374355334.31701,374354838.12236,374356457.87606,374354439.32333,374354672.55648,374356764.67382,374353690.14265,374354028.43815,374353949.91227,374354171.43135
capital,Generator,AT0 0,Run of River,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682,1376313648.03682
capital,Generator,AT0 0,Solar,20184569.67024,20184638.79255,20184533.24968,20184674.78393,20185136.19379,20184926.24836,20184840.03653,20184705.36744,20184612.0647,20184660.34751,20184530.17734,20184630.00892,20184573.94278,20184513.73248,20184589.35478,20184523.41559,20184729.51233,20184668.74289,20184672.59874
capital,Generator,AT0 0,rural solar thermal,493.71245,587.26195,594.33809,800.48186,889.78701,788.77494,853.18422,904.18408,967.98541,935.78986,930.088,892.02869,864.95732,759.74584,757.24782,577.51242,534.41555,601.64941,575.04821
capital,Generator,AT0 0,solar-hsat,2701211054.82684,2560704581.0211,2501371883.89575,2454412405.71713,2425938771.89062,2377232059.30393,2292131488.90807,2213160333.719,2178429949.23864,2166007969.26824,2117060816.16356,2057360789.78112,1987830807.3704,1918821771.69237,1873899554.71195,1850600437.61045,1742248070.01774,1619363724.65991,1401081131.85729
capital,Generator,AT0 0,urban central solar thermal,1176.60288,1442.264,1439.51599,1967.24432,2588.6864,2336.8946,2559.43278,2560.56005,2183.82317,2033.60713,1727.93457,1534.57329,1507.72466,1448.55356,1639.91913,1266.4989,1251.46415,1605.86721,1493.68893
capital,Generator,AT0 0,urban decentral solar thermal,1213.05079,1322.31828,1158.92749,1227.80832,1335.46978,1166.64235,1168.79625,1097.56146,1053.0547,985.21507,894.49702,829.08891,834.75224,776.43432,791.30193,613.71823,578.83209,662.04902,642.57293
capital,Generator,BA0 0,Offshore Wind (AC),941.28012,1411.94065,1022.8062,1396.9081,1661.93568,1153.72067,814.02189,1284.12989,820.78562,1122.84435,814.49404,834.39169,979.06161,639.09638,977.33137,623.06865,680.78078,1023.4684,984.00207
capital,Generator,BA0 0,Offshore Wind (Floating),648.50499,1062.94375,752.7187,1087.2576,1255.20873,930.40228,690.4496,1029.86822,705.42892,949.75304,756.11716,745.92747,890.92356,568.58886,922.74418,578.82183,641.11986,937.81198,966.81857
capital,Generator,BA0 0,Onshore Wind,50338142.08868,50338143.90175,50338145.3882,50338165.94804,50338206.24928,50338210.84706,50338509.37018,50338355.35514,50338244.46038,50338344.7798,50338193.53129,50338167.73062,50338152.59708,50338190.91991,50338239.53038,50338157.56945,50338154.70111,50338174.68861,50338166.09441
capital,Generator,BA0 0,Solar,13985147.27265,13985232.52599,13985176.48555,13985183.24237,13985568.8109,13985400.93659,13985361.50152,13985286.16057,13985268.01404,13985243.07519,13985216.52264,13985324.47198,13985260.80482,13985178.91938,13985205.7752,13985208.12666,13985177.49814,13985291.1757,13985290.22241
capital,Generator,BA0 0,rural solar thermal,811.30069,945.11576,896.58548,1219.02446,1446.1842,1286.69299,1093.80648,941.83996,823.84041,767.94153,693.38826,648.46214,672.0556,673.88112,706.15553,569.2341,562.24048,660.95761,656.07371
capital,Generator,BA0 0,solar-hsat,455804435.52294,439153014.20433,428968350.811,410381718.63706,411526573.83507,407049243.71548,404479502.38094,389101964.08959,381008799.68695,365258826.7813,352942194.08083,347323842.47931,321252997.35027,314192796.38766,304145047.80296,291025863.69179,275848385.46642,245603003.10717,200417463.78558
capital,Generator,BA0 0,urban central solar thermal,1839.95987,2150.21598,2089.36168,3447.75377,4255.85135,3037.91411,2291.43792,1715.98376,1667.82161,1625.79286,1577.9272,1546.00701,1747.33344,1872.6883,2204.16694,1686.40528,1637.0525,2646.07617,2204.15642
capital,Generator,BA0 0,urban decentral solar thermal,816.37532,939.25866,894.49877,1225.13537,1451.2448,1290.33552,1098.96969,948.57851,828.70026,772.21882,697.79774,652.64733,676.58916,678.93655,710.99916,573.50761,566.29404,665.36648,660.36958
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252,460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304862.78817,192304863.30829,192304851.18162,192304833.81348,192304705.7204,192304784.57847,192304769.8102,192304833.14452,192304841.16538,192304724.5234,192304749.85226,192304750.92248,192304644.43502,192304686.07482,192304438.58906,192303740.07302,145685642.39914,42238.65521,15116.97126
capital,Generator,BE0 0,Offshore Wind (Floating),2801.63776,2898.21415,1824.31802,2377.00276,2585.94495,1902.46581,1230.05083,2071.98655,1299.53838,1844.1869,1351.84517,1472.27024,1659.72554,1099.88484,1756.715,1117.96078,1229.2454,1820.76798,1634.38842
capital,Generator,BE0 0,Onshore Wind,1763000702.85174,1763000491.37281,1763000568.23254,1763000364.4197,1762999131.56814,1762999126.72939,1723277621.41208,1488475743.33565,1330897954.61176,1282672797.56092,1143641672.30055,1106693937.88373,1019992503.55947,888135122.82871,797869815.45754,562578631.34091,477240837.22204,420899593.03674,183184823.18626
capital,Generator,BE0 0,Run of River,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648,18186779.19648
capital,Generator,BE0 0,Solar,25347039.68501,25347198.64674,25347152.96751,25347150.15837,25347429.98553,25347315.46837,25347270.61877,25347276.45134,25347195.62921,25347212.64405,25347162.27984,25347179.11769,25347185.85781,25347187.95699,25347163.19417,25347226.84171,25347066.62545,25347126.59563,25347182.60387
capital,Generator,BE0 0,rural solar thermal,50.88428,46.74575,46.67957,52.39835,46.41887,57.61373,55.88677,66.04865,72.70702,71.54232,72.92724,71.07672,78.04371,84.93935,88.60158,72.17924,66.27743,73.72114,67.52337
capital,Generator,BE0 0,solar-hsat,1517911970.01596,1288046622.40128,1172325609.4197,1107505904.95544,1013151236.38905,968823304.90526,886549256.55662,859247411.10554,842919388.39473,805836970.56263,739566554.14798,665846171.56788,480476050.59391,301290282.10988,61241558.12486,17661.96328,11206.12335,9614.61595,7314.89283
capital,Generator,BE0 0,urban central solar thermal,850.9473,976.26683,899.26631,1062.32392,1184.81427,1012.4332,1067.48148,1082.51316,1114.19485,1068.38237,996.50593,947.14917,989.61551,957.47313,1124.62017,902.2964,871.95583,1025.41473,997.30034
capital,Generator,BE0 0,urban decentral solar thermal,528.4812,557.25065,481.6438,540.83001,587.22821,527.36673,533.35085,520.86827,524.11834,493.93806,461.44493,438.43573,463.61738,470.72892,495.66255,396.71833,390.28883,458.55782,456.82315
capital,Generator,BG0 0,Offshore Wind (AC),323689058.67373,323688959.04823,323688530.63408,45192795.26052,20002483.47498,81055.94968,20817.19887,12132.87523,7535.62303,7249.75593,4654.39687,3742.55894,3688.76749,2703.6921,3008.64579,2419.03967,2292.6597,2775.79377,3417.44513
capital,Generator,BG0 0,Offshore Wind (DC),3494308.06358,3494298.52127,3494294.44509,3494257.41401,3494257.82934,3494332.47491,3494349.04865,3494256.63486,3494300.51954,3493997.20438,10699.16649,5683.26557,4483.26226,2383.43496,3830.65664,1861.85116,1987.68445,2539.67479,2187.31102
capital,Generator,BG0 0,Offshore Wind (Floating),4166.45448,5120.42426,3856.48339,4509.19594,5882.71412,4996.45944,5058.89082,4614.2201,4523.83321,4134.03098,3548.05506,3215.92952,3333.96208,3266.13148,3258.42579,2684.49803,2659.16003,3145.75146,3153.28308
capital,Generator,BG0 0,Onshore Wind,70357661.05111,70357652.17864,70357779.99677,70357710.87712,70358052.58685,70359793.39369,70358822.41947,70358032.31012,70357857.30376,70358057.64848,70357777.1472,70357653.23932,70358219.72669,70357904.48615,70359026.34817,70357761.63461,70357882.94185,70357785.50365,70357664.87736
capital,Generator,BG0 0,Run of River,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814,34022009.05814
capital,Generator,BG0 0,Solar,125928887.22265,125929116.37239,125928884.78896,125928951.15597,125929322.6928,125929026.14474,125929195.41034,125929038.48618,125929020.6862,125929165.65227,125929357.61826,125928947.58863,125928921.66415,125928964.28771,125929040.12338,125928967.71548,125929002.53182,125928927.25014,125928925.76389
capital,Generator,BG0 0,rural solar thermal,717.89873,832.99659,816.21809,865.84999,917.52761,806.70869,831.98169,869.17148,885.05721,822.59805,734.67647,696.83113,741.90709,764.36479,822.62006,667.7868,665.70949,800.41497,816.93933
