cluster,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
opt,,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1,lv1.253H-T-H-B-I-A-dist1
planning_horizon,,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
tyndp_scenario,,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free,free
wiggle,,0,250,500,750,1000,1250,1500,1750,2000,2250,2500,2750,3000,3250,3500,3750,4000,4250,4500
component,carrier,,,,,,,,,,,,,,,,,,,
Generator,Offshore Wind (AC),0.4606425883070404,0.4702428586036845,0.4696382703998313,0.4616625577827847,0.4656718636392572,0.4779148073666703,0.4655685173344518,0.4801835918159914,0.4702652585897998,0.4927792254230806,0.4886917627149097,0.4953710720351226,0.5063220653422557,0.504227408633785,0.5146258286221599,0.5149356420600645,0.5136241294121158,0.5164491837435508,0.5188672366904726
Generator,Offshore Wind (DC),0.5521984180667053,0.5315838418458748,0.5316952845617345,0.5452869506414227,0.5387572628950629,0.5413732586331158,0.5419915707580107,0.5470566821841,0.5638133817328213,0.5580140083031785,0.5582729994590178,0.5683211892107543,0.5741209633517866,0.5795386808974905,0.580477425487318,0.5832632794762918,0.5843088470518816,0.5827206932462815,0.5584111247148348
Generator,Offshore Wind (Floating),0.2732940996302697,0.2741907828306883,0.2714358783595276,0.2752657717853082,0.2770719799205762,0.2784096668896863,0.2797675084933076,0.2795917938811078,0.2803375564229486,0.2798889741390982,0.2798395694775854,0.2789798862306415,0.2784543325526932,0.2786495611073599,0.2769327151985966,0.2761847364080441,0.275981231374041,0.2726716501290202,0.2683012164926256
Generator,Onshore Wind,0.2370282810127191,0.2463886522367275,0.2506989458454187,0.2517227826905176,0.2529606930441916,0.2407401143616511,0.2458451536965462,0.2457979613746555,0.246989165075357,0.246537186584874,0.2518417628049726,0.2523490716015091,0.2580070118433508,0.2639113721625449,0.2649564047518827,0.2651048917019895,0.2654842616955827,0.2638085750308644,0.2617071833084441
Generator,Run of River,0.3850153487626548,0.3848614982610209,0.3850023965883917,0.385690777759608,0.3860146798060843,0.3861825738057394,0.386544241260433,0.3868892545748779,0.3870386176168109,0.3870866902505475,0.3871313615186895,0.3872891815353002,0.3874424772754608,0.387625808370775,0.3877520138865448,0.3878385922380215,0.3879129624901071,0.3879252764376526,0.3879681790375227
Generator,Solar,0.1416120704984649,0.1168846940597724,0.1209135837480422,0.1430056128591485,0.1227183231716105,0.1434911096039463,0.1263942219335431,0.1323802563129889,0.1444697333899524,0.1442788603491072,0.1342034994981444,0.1445281898649909,0.1436493070642654,0.143634209090967,0.1448952579689462,0.1459728030917703,0.1453837607502654,0.1459440393417189,0.1466168481834896
Generator,co2-ets,9.285796219e-05,9.1359930535e-05,9.348117731e-05,9.607440259e-05,9.8444758025e-05,0.000100087039565,0.00010032919412,0.0001028861413599,0.00010554250756,0.0001083000652149,0.000110961353065,0.00011365002635,0.000116101437435,0.000118227114715,0.0001204473678,0.000123071044545,0.000125879647715,0.00012874528368,0.00013176009593
Generator,coal,0.3667449224003173,0.2970472033348468,0.2798913964047539,0.2747260719513317,0.291716315586684,0.2754608965520262,0.2426554348838778,0.240300339166653,0.2688877615776791,0.2446293652852317,0.2636484540342432,0.2646662038393698,0.237227851285594,0.2270189710876935,0.2259959757582866,0.2316430404162932,0.239070325583818,0.2507126825320674,0.2522759418714597
Generator,forest residues,0.0001141552511231,0.0001141552516047,0.0001141552512982,0.0001141552517361,0.0001141552524367,0.000114155250948,0.0001141552519112,0.0001141552510793,0.0001141552512545,0.0001141552504225,0.0001141552500723,0.0001141552498971,0.0001141552491528,0.0001141552485398,0.0001141552465257,0.0001141552473138,0.0001141552474014,0.0001141552458689,0.0001141552461754
Generator,gas,,0.0192292170523217,0.0384584339429334,0.0576876509144001,0.0769168679667219,0.0961460847697406,0.1153753017479453,0.1346045186655087,0.1538337355965479,0.173062952534325,0.1922921694249367,0.211521386349238,0.2307506032802773,0.2499798201978406,0.2692090371558315,0.2884382540531812,0.3076674710044341,0.3268966879556871,0.3461259049002021
Generator,industry wood,0.0001141552514762,0.0001141552522433,0.000114155251747,0.0001141552521079,0.0001141552533262,0.0001141552517921,0.0001141552523787,0.0001141552520628,0.0001141552520628,0.0001141552519275,0.0001141552514762,0.0001141552514311,0.0001141552512055,0.0001141552509799,0.0001141552509348,0.0001141552507994,0.0001141552508897,0.0001141552509348,0.0001141552510701
Generator,landscape care,0.0001141552536736,0.0001141552609704,0.0001141552565113,0.0001141552601597,0.0001141552715103,0.0001141552581328,0.0001141552638081,0.0001141552605651,0.0001141552605651,0.0001141552593489,0.0001141552548897,0.0001141552536736,0.0001141552524575,0.0001141552508359,0.0001141552504306,0.0001141552479983,0.0001141552500252,0.0001141552500252,0.0001141552516467
Generator,lignite,0.0992048581534372,0.039520337684636,0.0396589155866517,0.0406019763205197,0.0080777124981598,0.0023270024973035,0.0020148072102381,0.0005288701185502,0.0008058659319588,0.000834539756744,0.001183201342663,0.0017054541669385,0.0016111865273955,0.0033556513396643,0.0031440738883033,0.0022634527336052,0.0013030323691304,0.0029121573888113,0.0032965430236019
Generator,manure and slurry,0.0001141552522024,0.0001141552538157,0.0001141552527401,0.0001141552533675,0.0001141552558771,0.0001141552526505,0.0001141552532779,0.000114155250858,0.0001083570804506,1.438323821232188e-08,4.871760767882204e-09,3.319243290119757e-09,2.6107425014283742e-09,1.8291061474527198e-09,2.151852680036865e-09,1.5631830810330692e-09,1.560404646567613e-09,1.904840893365966e-09,1.8349318971383533e-09
Generator,municipal solid waste,0.0001131149407917,0.0001131149444369,0.0001131149422498,0.0001131149440724,0.0001131149500871,0.0001131149435256,0.0001131149455305,0.0001131149446192,0.0001131149442547,0.0001131149446192,0.0001131149424321,0.0001131149418853,0.000113114941703,0.0001131149406094,0.000113114941703,0.0001131149400626,0.0001131149407917,0.0001131149418853,0.0001131149426143
Generator,oil primary,0.6104891383625888,0.6096114402561056,0.609157588005765,0.6101246740589964,0.6103790232298195,0.6092686125282107,0.6069918023734541,0.6089681873740117,0.6067641994398532,0.6106509321178473,0.6079590315335669,0.6078627274455158,0.6055200893702354,0.6038355758480136,0.6013133504028356,0.5996376097479323,0.5989632312952776,0.5970549815766384,0.5979887830001945
Generator,rural heat vent,0.0849293087344227,0.0773810332644852,0.0687818825623449,0.0560670561585165,0.0638770312481843,0.0688808737392361,0.0757996653794836,0.0679314024990397,0.0322064132270675,0.027957951610666,0.0039770826285632,0.0027578078653312,0.0165682311686337,0.0238228537015145,0.0226435855349515,0.0206407017128757,0.0152246276527644,0.0124539342907555,0.011866860945786
Generator,rural solar thermal,0.0373988116984252,0.0373679511977384,0.0368304786297422,0.0376150923958534,0.0375509858268479,0.0379579216239833,0.0382875739481776,0.0381693626483985,0.0381065750693792,0.0382041314124552,0.0398882448088785,0.0399570103891559,0.0404201727412139,0.0411709623443808,0.0424396390811258,0.0427509140277468,0.0429746390163824,0.0427760132316564,0.0438950760820789
Generator,sewage sludge,0.000114155288655,0.0001141553476624,0.0001141553083241,0.0001141553345496,0.0001141554328952,0.0001141553148805,0.0001141553476624,0.0001141552558732,3.075889434760779e-07,2.2433940208082694e-07,1.331173115745995e-07,8.765870198499741e-08,7.397883050469097e-08,5.2047764076881225e-08,5.9148315628844744e-08,3.9705392611903096e-08,4.471118311044801e-08,4.89957726203355e-08,4.016433869559417e-08
Generator,solar-hsat,0.1675452618969371,0.1726935524546002,0.1743078074608803,0.1725289675016145,0.1770831379390464,0.1746734607598357,0.1789676037235721,0.1796909575895898,0.1786055075589274,0.1784492009059083,0.1802493707295438,0.1795209820396923,0.1827484875556863,0.185073091468763,0.1865098481969096,0.1877204087542581,0.1893726973701104,0.1901630489465065,0.1920608979071129
Generator,solid biomass,0.06887426578,0.06660748154,0.0617475694999999,0.04946293234,0.0419597509,0.03673562036,0.02678290588,0.01668705488,0.00962592776,0.00691304696,0.00552696224,0.0055366102,0.00554131452,0.00554087892,0.00553791832,0.0054436654799999,0.005418209,0.00536519056,0.00536102446
Generator,straw,0.000114155252298,0.0001141552541793,0.0001141552528921,0.0001141552536843,0.0001141552565558,0.0001141552530902,0.0001141552539813,0.0001141552527931,0.0001141552518029,0.0001141552504167,0.0001141552411091,1.7424436107549442e-08,5.622587313643422e-09,3.2007279324021487e-09,3.749876799010109e-09,2.74960600015082e-09,2.5889012380691902e-09,2.993980216304525e-09,2.731188818544423e-09
Generator,unsustainable biogas,0.0001141552520873,0.0001141552534658,0.0001141552526234,0.0001141552533127,0.0001141552556102,0.0001141552530829,0.0001141552538488,0.0001141552535424,0.0001141552533892,0.0001141552534658,0.0001141552526234,0.0001141552524702,0.0001141552523936,0.0001141552520107,0.0001141552523936,0.0001141552517809,0.0001141552520107,0.0001141552524702,0.0001141552527766
Generator,unsustainable bioliquids,0.0001141552515989,0.0001141552522297,0.0001141552518355,0.0001141552521509,0.0001141552531759,0.0001141552519932,0.0001141552523874,0.0001141552522297,0.0001141552521509,0.0001141552522297,0.0001141552518355,0.0001141552517566,0.0001141552516778,0.0001141552515201,0.0001141552517566,0.0001141552514412,0.0001141552515201,0.0001141552517566,0.0001141552519143
Generator,unsustainable solid biomass,0.0001140836207063,0.0001140836211957,0.0001140836209071,0.0001140836211204,0.0001140836219613,0.0001140836210577,0.0001140836213463,0.0001140836212083,0.0001140836211706,0.0001140836212334,0.0001140836209197,0.0001140836208444,0.0001140836208193,0.0001140836206812,0.0001140836208193,0.0001140836206185,0.0001140836206938,0.0001140836208569,0.0001140836209448
Generator,uranium,0.9769786748915072,0.9747574758854712,0.976205759817726,0.969133949090852,0.9681545749491666,0.96809228367045,0.9795470270093356,0.9763920427035576,0.9773539966370808,0.9804294732204368,0.9747030682529646,0.9724379636239774,0.9709784467657994,0.9709480808884005,0.9765533794268374,0.969513185668916,0.9759389535646694,0.9797388299031076,0.9707629962497356
Generator,urban central heat vent,0.0887146369004894,0.0850726664129867,0.0842539322710496,0.0870925304790245,0.1083801211897602,0.125902427116024,0.1340337649899287,0.1507634101753513,0.1495128277824589,0.1458682334455003,0.1359344780624349,0.1899576327757494,0.1736654448195121,0.1473682079683294,0.1252072204594836,0.1024035454281843,0.0738509585562485,0.0518860706394374,0.0589590805563638
Generator,urban central solar thermal,0.0334943192633806,0.0350717085377557,0.0367086587563833,0.0391473500876219,0.040998209646844,0.0408630687909798,0.0399709123611926,0.0404947344835312,0.0414486127097328,0.0443206801015096,0.0454999558986857,0.0435013025489094,0.0417250229589544,0.0393136434995671,0.0394695711198042,0.0392189766489376,0.0399529273315681,0.0417991055103935,0.0404122398998226
Generator,urban decentral heat vent,0.0206021798024145,0.0169982597987586,0.0135367276113394,0.0161225229119239,0.013398741835358,0.0087711980527291,0.0084998953582895,0.009486444398337,0.0081028129216206,0.0076476714234709,0.0053058490670337,0.0047752985527744,0.0051650282027038,0.0031619958534258,0.0039132336759396,0.0026841299488273,0.0020748652490494,0.00165410073981,0.0013814512998238
