component,carrier,location,bus_carrier,0
Generator,Offshore Wind (AC),AL0 0,AC,19.14267
Generator,Offshore Wind (AC),BA0 0,AC,6.78173
Generator,Offshore Wind (AC),BE0 0,AC,9662303.48594
Generator,Offshore Wind (AC),BG0 0,AC,249709.36852
Generator,Offshore Wind (AC),DE0 0,AC,9640170.01139
Generator,Offshore Wind (AC),DE0 2,AC,23969998.44448
Generator,Offshore Wind (AC),DE0 5,AC,8059228.39326
Generator,Offshore Wind (AC),DK0 0,AC,5348827.97709
Generator,Offshore Wind (AC),DK1 0,AC,2955914.6745
Generator,Offshore Wind (AC),EE0 0,AC,675.4868
Generator,Offshore Wind (AC),ES0 0,AC,47421.8467
Generator,Offshore Wind (AC),ES6 0,AC,33.81386
Generator,Offshore Wind (AC),FI1 0,AC,863.96692
Generator,Offshore Wind (AC),FR0 0,AC,14194760.76774
Generator,Offshore Wind (AC),FR0 1,AC,5656235.41521
Generator,Offshore Wind (AC),FR0 2,AC,235.48075
Generator,Offshore Wind (AC),FR0 3,AC,54020753.90237
Generator,Offshore Wind (AC),FR5 0,AC,29.60554
Generator,Offshore Wind (AC),GB2 0,AC,81722707.99283
Generator,Offshore Wind (AC),GB2 1,AC,68752202.67299
Generator,Offshore Wind (AC),GB3 0,AC,2325255.3263
Generator,Offshore Wind (AC),GR0 0,AC,56.84538
Generator,Offshore Wind (AC),HR0 0,AC,48.66651
Generator,Offshore Wind (AC),IE3 0,AC,90188.11074
Generator,Offshore Wind (AC),IT0 0,AC,49481.86513
Generator,Offshore Wind (AC),IT0 1,AC,40.84863
Generator,Offshore Wind (AC),IT4 0,AC,123.59633
Generator,Offshore Wind (AC),LT0 0,AC,687.64551
Generator,Offshore Wind (AC),LV0 0,AC,720.34502
Generator,Offshore Wind (AC),ME0 0,AC,7.87244
Generator,Offshore Wind (AC),NL0 0,AC,26260998.50236
Generator,Offshore Wind (AC),NO1 0,AC,516256.86291
Generator,Offshore Wind (AC),PL0 0,AC,20348376.64511
Generator,Offshore Wind (AC),PT0 0,AC,15780095.84647
Generator,Offshore Wind (AC),RO0 0,AC,5472965.69097
Generator,Offshore Wind (AC),SE1 0,AC,741617.73703
Generator,Offshore Wind (AC),SI0 0,AC,12.28448
Generator,Offshore Wind (DC),BE0 0,AC,3660199.53751
Generator,Offshore Wind (DC),BG0 0,AC,51294.73431
Generator,Offshore Wind (DC),DE0 0,AC,8031920.98584
Generator,Offshore Wind (DC),DE0 2,AC,102429707.7913
Generator,Offshore Wind (DC),DE0 5,AC,1234204.12708
Generator,Offshore Wind (DC),DK0 0,AC,1585.26916
Generator,Offshore Wind (DC),DK1 0,AC,83.26023
Generator,Offshore Wind (DC),EE0 0,AC,622.19771
Generator,Offshore Wind (DC),FI1 0,AC,26888093.78842
Generator,Offshore Wind (DC),FR0 0,AC,11498100.3641
Generator,Offshore Wind (DC),FR0 2,AC,1666555.2979
Generator,Offshore Wind (DC),FR0 3,AC,14880510.55387
Generator,Offshore Wind (DC),GB2 0,AC,79139885.60627
Generator,Offshore Wind (DC),GB2 1,AC,60770049.12607
Generator,Offshore Wind (DC),GB3 0,AC,10194512.88011
Generator,Offshore Wind (DC),GR0 0,AC,22191992.51855
Generator,Offshore Wind (DC),HR0 0,AC,71.14979
Generator,Offshore Wind (DC),IE3 0,AC,5108581.50491
Generator,Offshore Wind (DC),IT0 0,AC,4095742.7224
Generator,Offshore Wind (DC),IT0 1,AC,56.70337
