component,carrier,location,bus_carrier,0
Generator,Offshore Wind (AC),AL0 0,AC,15.1286
Generator,Offshore Wind (AC),BA0 0,AC,5.2619
Generator,Offshore Wind (AC),BE0 0,AC,9949353.39922
Generator,Offshore Wind (AC),BG0 0,AC,140.63582
Generator,Offshore Wind (AC),DE0 0,AC,9654801.19633
Generator,Offshore Wind (AC),DE0 2,AC,27691477.46255
Generator,Offshore Wind (AC),DE0 5,AC,8403523.76482
Generator,Offshore Wind (AC),DK0 0,AC,7461380.62483
Generator,Offshore Wind (AC),DK1 0,AC,3797467.7846
Generator,Offshore Wind (AC),EE0 0,AC,424.9829
Generator,Offshore Wind (AC),ES0 0,AC,48002.85557
Generator,Offshore Wind (AC),ES6 0,AC,17.78479
Generator,Offshore Wind (AC),FI1 0,AC,809.03449
Generator,Offshore Wind (AC),FR0 0,AC,13746346.91067
Generator,Offshore Wind (AC),FR0 1,AC,5751701.40205
Generator,Offshore Wind (AC),FR0 2,AC,129.33174
Generator,Offshore Wind (AC),FR0 3,AC,44887066.8019
Generator,Offshore Wind (AC),FR5 0,AC,17.68466
Generator,Offshore Wind (AC),GB2 0,AC,37855767.50991
Generator,Offshore Wind (AC),GB2 1,AC,71756562.78044
Generator,Offshore Wind (AC),GB3 0,AC,1550201.50474
Generator,Offshore Wind (AC),GR0 0,AC,44.31216
Generator,Offshore Wind (AC),HR0 0,AC,34.2752
Generator,Offshore Wind (AC),IE3 0,AC,98499.01976
Generator,Offshore Wind (AC),IT0 0,AC,51020.92766
Generator,Offshore Wind (AC),IT0 1,AC,27.7923
Generator,Offshore Wind (AC),IT4 0,AC,69.08491
Generator,Offshore Wind (AC),LT0 0,AC,940.99668
Generator,Offshore Wind (AC),LV0 0,AC,517.22809
Generator,Offshore Wind (AC),ME0 0,AC,5.34147
Generator,Offshore Wind (AC),NL0 0,AC,26623866.16534
Generator,Offshore Wind (AC),NO1 0,AC,517123.4032
Generator,Offshore Wind (AC),PL0 0,AC,22186135.18773
Generator,Offshore Wind (AC),PT0 0,AC,15892967.02139
Generator,Offshore Wind (AC),RO0 0,AC,5448949.05176
Generator,Offshore Wind (AC),SE1 0,AC,745043.24959
Generator,Offshore Wind (AC),SI0 0,AC,7.38106
Generator,Offshore Wind (DC),BE0 0,AC,4113720.24433
Generator,Offshore Wind (DC),BG0 0,AC,51702.56793
Generator,Offshore Wind (DC),DE0 0,AC,8078437.74578
Generator,Offshore Wind (DC),DE0 2,AC,101036255.17334
Generator,Offshore Wind (DC),DE0 5,AC,1186901.83411
Generator,Offshore Wind (DC),DK0 0,AC,517.53846
Generator,Offshore Wind (DC),DK1 0,AC,55.934
Generator,Offshore Wind (DC),EE0 0,AC,344.30985
Generator,Offshore Wind (DC),FI1 0,AC,16722727.2517
Generator,Offshore Wind (DC),FR0 0,AC,12363255.1242
Generator,Offshore Wind (DC),FR0 2,AC,213.60488
Generator,Offshore Wind (DC),FR0 3,AC,14562207.32866
Generator,Offshore Wind (DC),GB2 0,AC,72129870.46641
Generator,Offshore Wind (DC),GB2 1,AC,40581887.12927
Generator,Offshore Wind (DC),GB3 0,AC,7920495.15017
Generator,Offshore Wind (DC),GR0 0,AC,22789533.93751
Generator,Offshore Wind (DC),HR0 0,AC,47.03155
Generator,Offshore Wind (DC),IE3 0,AC,5518262.0199
Generator,Offshore Wind (DC),IT0 0,AC,209.63984
Generator,Offshore Wind (DC),IT0 1,AC,33.29544
Generator,Offshore Wind (DC),LT0 0,AC,8919867.76192
Generator,Offshore Wind (DC),LV0 0,AC,3430.76745
Generator,Offshore Wind (DC),NL0 0,AC,134233796.33619
Generator,Offshore Wind (DC),NO1 0,AC,4431549.77936
Generator,Offshore Wind (DC),PL0 0,AC,28070934.48604
Generator,Offshore Wind (DC),RO0 0,AC,9511103.60916
Generator,Offshore Wind (DC),SE1 0,AC,7685.91827
Generator,Offshore Wind (Floating),AL0 0,AC,13.21586
Generator,Offshore Wind (Floating),BA0 0,AC,1.69203
