component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5142993259.93657
Link,oil refining,oil,4882943036.75814
Generator,gas,gas,3750000000.43533
Link,electricity distribution grid,low voltage,3440218843.29261
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1921749104.47086
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,unsustainable solid biomass,solid biomass,796331253.33981
Link,Combined-Cycle Gas,AC,775028270.22715
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Generator,solar-hsat,AC,686591483.0348
Link,urban decentral gas boiler,urban decentral heat,672226291.85261
Link,land transport oil,co2,649471568.77898
Generator,Onshore Wind,AC,639807094.0858
Link,nuclear,AC,626490208.10796
Link,shipping oil,shipping oil,491652886.23285
Link,urban central gas boiler,urban central heat,453832945.43729
Link,solid biomass for industry,solid biomass for industry,346680000.00003
StorageUnit,Reservoir & Dam,AC,331441393.4229
Link,rural gas boiler,rural heat,315156329.03585
Link,heat>500 industry gas,heat>500 industry,310537764.35351
Generator,coal,coal,304104587.81376
Link,BEV charger,EV battery,301350738.52123
Link,urban decentral oil boiler,urban decentral heat,280515805.13889
Link,Combined-Cycle Gas,co2,264578616.38789
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,252548167.59669
Generator,Offshore Wind (AC),AC,234508822.27024
Link,HVC to air,co2,233468304.18948
Link,urban decentral biomass boiler,urban decentral heat,231472002.95919
Generator,forest residues,solid biomass,228387961.2116
Generator,industry wood,solid biomass,221622650.58331
Link,urban decentral air heat pump,urban decentral heat,211296904.74877
Link,kerosene for aviation,co2,191258483.68987
Link,SMR,Hydrogen Storage,186126217.11612
Link,urban decentral resistive heater,urban decentral heat,183679177.44299
Link,coal for industry,coal for industry,167203859.22266
Generator,Run of River,AC,162413585.72997
Link,heat<100 industry gas,heat<100 industry,161135753.98895
Link,rural biomass boiler,rural heat,160065207.97975
Link,rural oil boiler,rural heat,156130536.75892
Generator,Solar,AC,155312272.37874
Link,rural ground heat pump,rural heat,147465858.41652
Link,biomass to liquid,oil,142239715.69605
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,136177607.14114
Link,urban decentral gas boiler,co2,135817148.76206
Link,biogas to gas,gas,130577155.52521
Generator,unsustainable biogas,biogas,130572136.48553
Link,heat100-200 industry gas,heat100-200 industry,129164328.30128
Link,unsustainable bioliquids,oil,126827773.36744
Generator,unsustainable bioliquids,unsustainable bioliquids,126827773.36744
Link,shipping oil,co2,126403957.05047
Generator,Offshore Wind (DC),AC,124611897.92245
Link,heat200-500 industry gas,heat200-500 industry,111850574.00635
Link,gas for industry,gas for industry,111420561.2169
Link,Haber-Bosch,NH3,87300919.40384
Link,urban central gas boiler,co2,86402810.76595
Link,BOF,steel,83505808.43972
Link,urban decentral oil boiler,co2,80134015.00134
