component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5292081665.83023
Link,oil refining,oil,5024492939.04769
Link,electricity distribution grid,low voltage,3947851705.88123
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1915758459.24085
Generator,solar-hsat,AC,1264834382.30001
Generator,Onshore Wind,AC,950362542.59071
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,Offshore Wind (DC),AC,797633213.71629
Generator,unsustainable solid biomass,solid biomass,796331257.42277
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,land transport oil,co2,649471568.77898
Link,nuclear,AC,624537257.89028
Generator,coal,coal,523330511.96154
Link,urban decentral resistive heater,urban decentral heat,518314117.56295
Link,shipping oil,shipping oil,491652886.23285
Link,rural ground heat pump,rural heat,451730981.03141
Generator,Offshore Wind (AC),AC,444202348.14518
Link,urban central solid biomass CHP,urban central heat,392619916.3222
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,374480747.77565
Link,solid biomass for industry,solid biomass for industry,346680000.00003
Link,biogas to gas,gas,346188879.59835
StorageUnit,Reservoir & Dam,AC,331387980.12725
Link,H2 Electrolysis,Hydrogen Storage,316905249.57079
Link,BEV charger,EV battery,301350739.45883
Generator,solid biomass,solid biomass,291740769.13393
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,284841023.62328
Link,urban decentral oil boiler,urban decentral heat,284133671.01215
Link,urban decentral gas boiler,urban decentral heat,271140883.57786
Link,urban decentral biomass boiler,urban decentral heat,257080996.01662
Generator,gas,gas,250000001.547
Link,urban decentral air heat pump,urban decentral heat,242310702.41452
Link,HVC to air,co2,233387417.49888
Generator,forest residues,solid biomass,228387969.79425
Generator,industry wood,solid biomass,221622653.37947
Link,kerosene for aviation,co2,191258483.68987
Link,battery charger,Battery Storage,187760952.61126
Link,battery discharger,AC,183967411.03714
Link,rural biomass boiler,rural heat,178778866.89248
Link,heat>500 industry gas,heat>500 industry,175541536.22807
Link,coal for industry,coal for industry,167203859.22266
Generator,Run of River,AC,161166880.26459
Link,rural oil boiler,rural heat,157885956.7235
Link,heat>500 industry hydrogen,heat>500 industry,134998463.772
Generator,unsustainable biogas,biogas,130572138.36585
Link,urban central solid biomass CHP,AC,128524093.89371
Link,unsustainable bioliquids,oil,126827774.20823
Generator,unsustainable bioliquids,unsustainable bioliquids,126827774.20823
Link,shipping oil,co2,126403957.05047
Generator,Solar,AC,124363268.42393
Link,heat200-500 industry solid biomass,heat200-500 industry,115698645.27025
Generator,manure and slurry,biogas,111573625.77668
