component,carrier,location,bus_carrier,0
Generator,Onshore Wind,CZ0 0,AC,229289.63548
Generator,Onshore Wind,DE0 0,AC,32622405.17806
Generator,Onshore Wind,DE0 1,AC,5629132.98546
Generator,Onshore Wind,DE0 2,AC,16005588.82222
Generator,Onshore Wind,DE0 3,AC,559597.20048
Generator,Onshore Wind,DE0 4,AC,4010217.34756
Generator,Onshore Wind,DE0 5,AC,28388421.21087
Generator,Onshore Wind,DK0 0,AC,63126364.44245
Generator,Onshore Wind,DK1 0,AC,25904989.90771
Generator,Onshore Wind,EE0 0,AC,12541570.71444
Generator,Onshore Wind,ES0 0,AC,40531410.36573
Generator,Onshore Wind,ES6 0,AC,39.51974
Generator,Onshore Wind,FI1 0,AC,18852746.90078
Generator,Onshore Wind,FR0 0,AC,27206940.19559
Generator,Onshore Wind,FR0 1,AC,1709819.38815
Generator,Onshore Wind,FR0 2,AC,4119339.08752
Generator,Onshore Wind,FR0 3,AC,7949212.68396
Generator,Onshore Wind,FR0 4,AC,6149924.68774
Generator,Onshore Wind,FR5 0,AC,20310.288
Generator,Onshore Wind,GB2 0,AC,38218352.14631
Generator,Onshore Wind,GB2 1,AC,54784751.7352
Generator,Onshore Wind,GB3 0,AC,4148111.41457
Generator,Onshore Wind,GR0 0,AC,7295033.39108
Generator,Onshore Wind,HR0 0,AC,949183.07726
Generator,Onshore Wind,HU0 0,AC,423970.64747
Generator,Onshore Wind,IE3 0,AC,13775355.9552
Generator,Onshore Wind,IT0 0,AC,8764764.93792
Generator,Onshore Wind,IT0 1,AC,107978.39168
Generator,Onshore Wind,IT4 0,AC,1605852.44419
Generator,Onshore Wind,LT0 0,AC,2596789.86534
Generator,Onshore Wind,LU0 0,AC,292692.81122
Generator,Onshore Wind,LV0 0,AC,233118.06159
Generator,Onshore Wind,ME0 0,AC,35168.61947
Generator,Onshore Wind,MK0 0,AC,14750.55998
Generator,Onshore Wind,NL0 0,AC,88162422.69878
Generator,Onshore Wind,NO1 0,AC,10847994.07915
Generator,Onshore Wind,PL0 0,AC,48393319.51486
Generator,Onshore Wind,PT0 0,AC,7699091.73931
Generator,Onshore Wind,RO0 0,AC,5983513.67753
Generator,Onshore Wind,RS0 0,AC,714478.91841
Generator,Onshore Wind,SE1 0,AC,34312469.87178
Generator,Onshore Wind,SI0 0,AC,5.18012
Generator,Onshore Wind,SK0 0,AC,30.31312
Generator,Onshore Wind,XK0 0,AC,38496.54558
Generator,Run of River,AL0 0,AC,214770.36505
Generator,Run of River,AT0 0,AC,19607121.53959
Generator,Run of River,BE0 0,AC,288749.36189
Generator,Run of River,BG0 0,AC,167203.99017
Generator,Run of River,CH0 0,AC,10589280.357
Generator,Run of River,CZ0 0,AC,128094.64282
Generator,Run of River,DE0 0,AC,310981.44144
Generator,Run of River,DE0 1,AC,977854.1527
Generator,Run of River,DE0 2,AC,1787811.47885
Generator,Run of River,DE0 3,AC,12748121.75259
Generator,Run of River,DE0 4,AC,3654548.32874
Generator,Run of River,DE0 5,AC,394197.80327
Generator,Run of River,ES0 0,AC,207818.8458
Generator,Run of River,ES6 0,AC,237171.43468
Generator,Run of River,FI1 0,AC,8061765.12248
Generator,Run of River,FR0 1,AC,14848719.8883
Generator,Run of River,FR0 2,AC,4506946.4586
Generator,Run of River,FR0 4,AC,5169412.78663
Generator,Run of River,GB2 0,AC,3883126.83003
Generator,Run of River,GB3 0,AC,1027524.57041
Generator,Run of River,GR0 0,AC,180290.33862
Generator,Run of River,HR0 0,AC,1206423.3765
Generator,Run of River,HU0 0,AC,87632.56615
Generator,Run of River,IE3 0,AC,890382.11351
Generator,Run of River,IT0 0,AC,5757129.35183
Generator,Run of River,IT0 1,AC,18675427.84797
Generator,Run of River,IT4 0,AC,193938.21275
Generator,Run of River,LT0 0,AC,427378.41952
Generator,Run of River,LV0 0,AC,3752496.23979
Generator,Run of River,ME0 0,AC,27175.51143
Generator,Run of River,MK0 0,AC,544397.13654
Generator,Run of River,NO1 0,AC,3893325.67042
Generator,Run of River,PL0 0,AC,1034404.50646
Generator,Run of River,PT0 0,AC,7378469.12537
Generator,Run of River,RO0 0,AC,8272977.47644
Generator,Run of River,RS0 0,AC,8613302.5003
Generator,Run of River,SE1 0,AC,6885952.21574
Generator,Run of River,SI0 0,AC,2228056.99517
Generator,Run of River,SK0 0,AC,3307084.89209
Generator,Run of River,XK0 0,AC,157013.44484
Generator,Solar,AL0 0,AC,426233.74038
Generator,Solar,AT0 0,AC,455475.96888
Generator,Solar,BA0 0,AC,347480.03726
Generator,Solar,BE0 0,AC,477295.49737
Generator,Solar,BG0 0,AC,3321100.46878
Generator,Solar,CH0 0,AC,118925.15717
Generator,Solar,CZ0 0,AC,1439365.62284
Generator,Solar,DE0 0,AC,2659392.45427
Generator,Solar,DE0 1,AC,4073140.09352
Generator,Solar,DE0 2,AC,1617569.76113
Generator,Solar,DE0 3,AC,5042383.15583
Generator,Solar,DE0 4,AC,2416594.33291
Generator,Solar,DE0 5,AC,11481823.81329
Generator,Solar,DK0 0,AC,1618773.45346
Generator,Solar,DK1 0,AC,567558.77995
Generator,Solar,EE0 0,AC,425555.78041
Generator,Solar,ES0 0,AC,55476390.65924
Generator,Solar,ES6 0,AC,439123.6792
Generator,Solar,FI1 0,AC,143968.00165
Generator,Solar,FR0 0,AC,1594157.9588
Generator,Solar,FR0 1,AC,4027249.87731
Generator,Solar,FR0 2,AC,5754202.14633
Generator,Solar,FR0 3,AC,947216.78816
Generator,Solar,FR0 4,AC,1094714.67445
Generator,Solar,FR5 0,AC,57.14862
Generator,Solar,GB2 0,AC,1460330.30138
Generator,Solar,GB2 1,AC,9525559.73055
Generator,Solar,GB3 0,AC,206763.33847
Generator,Solar,GR0 0,AC,6357635.64497
Generator,Solar,HR0 0,AC,101567.96669
Generator,Solar,HU0 0,AC,3269947.24337
Generator,Solar,IE3 0,AC,1113880.75468
Generator,Solar,IT0 0,AC,4984643.54285
Generator,Solar,IT0 1,AC,1791440.9831
Generator,Solar,IT4 0,AC,592406.38264
Generator,Solar,LT0 0,AC,296550.43375
Generator,Solar,LU0 0,AC,51581.92176
Generator,Solar,LV0 0,AC,42475.25848
Generator,Solar,ME0 0,AC,4092.19492
Generator,Solar,MK0 0,AC,427328.70833
Generator,Solar,NL0 0,AC,4828651.87319
Generator,Solar,NO1 0,AC,1198.46996
Generator,Solar,PL0 0,AC,2778343.99645
Generator,Solar,PT0 0,AC,5304548.511
Generator,Solar,RO0 0,AC,2625984.87119
Generator,Solar,RS0 0,AC,45661.09247
Generator,Solar,SE1 0,AC,276240.94453
Generator,Solar,SI0 0,AC,34395.08013
Generator,Solar,SK0 0,AC,504293.61329
Generator,Solar,XK0 0,AC,232847.66384
Generator,co2-ets,,co2,-222528805.444
Generator,co2-ets,EU,co2,-1848810244.33953
Generator,coal,EU,coal,305277757.97165
Generator,forest residues,AL0 0,solid biomass,435064.0177
Generator,forest residues,AT0 0,solid biomass,9373456.31457
Generator,forest residues,BA0 0,solid biomass,545312.9038
Generator,forest residues,BE0 0,solid biomass,2817482.23222
Generator,forest residues,BG0 0,solid biomass,4447961.79138
Generator,forest residues,CH0 0,solid biomass,11707439.70137
Generator,forest residues,CZ0 0,solid biomass,7109406.96058
Generator,forest residues,DE0 0,solid biomass,5809098.15186
Generator,forest residues,DE0 1,solid biomass,4696773.93913
Generator,forest residues,DE0 2,solid biomass,4107215.12058
Generator,forest residues,DE0 3,solid biomass,6914530.80912
Generator,forest residues,DE0 4,solid biomass,5868832.64785
Generator,forest residues,DE0 5,solid biomass,6553249.16851
Generator,forest residues,DK0 0,solid biomass,1151203.65274
Generator,forest residues,DK1 0,solid biomass,300709.40023
Generator,forest residues,EE0 0,solid biomass,3128550.19718
Generator,forest residues,ES0 0,solid biomass,10526025.4838
Generator,forest residues,ES6 0,solid biomass,79392.92314
Generator,forest residues,FI1 0,solid biomass,15774306.94284
Generator,forest residues,FR0 0,solid biomass,2583136.02115
Generator,forest residues,FR0 1,solid biomass,3305202.94521
Generator,forest residues,FR0 2,solid biomass,6396212.43257
Generator,forest residues,FR0 3,solid biomass,1395187.90249
Generator,forest residues,FR0 4,solid biomass,3371675.31481
Generator,forest residues,FR5 0,solid biomass,76215.54333
Generator,forest residues,GB2 0,solid biomass,3220691.05196
Generator,forest residues,GB2 1,solid biomass,1107158.92284
Generator,forest residues,GB3 0,solid biomass,159999.39282
Generator,forest residues,GR0 0,solid biomass,785774.03021
Generator,forest residues,HR0 0,solid biomass,1496531.53142
Generator,forest residues,HU0 0,solid biomass,4278569.86098
Generator,forest residues,IE3 0,solid biomass,1236917.36548
Generator,forest residues,IT0 0,solid biomass,3650868.71329
Generator,forest residues,IT0 1,solid biomass,7048475.58837
Generator,forest residues,IT4 0,solid biomass,146185.7474
Generator,forest residues,LT0 0,solid biomass,3118821.22617
Generator,forest residues,LU0 0,solid biomass,265789.58246
Generator,forest residues,LV0 0,solid biomass,5917811.14798
Generator,forest residues,ME0 0,solid biomass,91105.17638
Generator,forest residues,MK0 0,solid biomass,197550.01361
Generator,forest residues,NL0 0,solid biomass,506547.31189
Generator,forest residues,NO1 0,solid biomass,4067982.54814
Generator,forest residues,PL0 0,solid biomass,17419670.49238
Generator,forest residues,PT0 0,solid biomass,4825295.3521
Generator,forest residues,RO0 0,solid biomass,13994881.81336
Generator,forest residues,RS0 0,solid biomass,562374.4834
Generator,forest residues,SE1 0,solid biomass,28168872.14959
Generator,forest residues,SI0 0,solid biomass,3574396.07314
Generator,forest residues,SK0 0,solid biomass,4015049.33596
Generator,forest residues,XK0 0,solid biomass,57002.19936
Generator,gas,AT0 0,gas,15644277.80418
Generator,gas,BE0 0,gas,134736908.53344
Generator,gas,BG0 0,gas,63984445.39124
Generator,gas,DE0 0,gas,93617417.53512
Generator,gas,DE0 2,gas,255439489.75704
Generator,gas,DE0 5,gas,82345642.91936
Generator,gas,DK0 0,gas,67080452.4409
Generator,gas,ES0 0,gas,279138393.83411
Generator,gas,FI1 0,gas,58011831.43978
Generator,gas,FR0 0,gas,179329983.45235
Generator,gas,FR0 1,gas,117807191.07702
Generator,gas,FR0 3,gas,42010459.23847
Generator,gas,GB2 0,gas,172481407.69437
Generator,gas,GB2 1,gas,261929187.24241
Generator,gas,GR0 0,gas,75094967.15037
Generator,gas,HU0 0,gas,99560917.14774
Generator,gas,IE3 0,gas,18779434.73489
Generator,gas,IT0 0,gas,251600843.61217
Generator,gas,IT0 1,gas,264877272.06472
Generator,gas,LT0 0,gas,15677003.86388
Generator,gas,NL0 0,gas,214252989.94664
Generator,gas,NO1 0,gas,94399538.73497
Generator,gas,PL0 0,gas,232473767.6532
Generator,gas,PT0 0,gas,28586111.86471
Generator,gas,RO0 0,gas,58315807.38311
Generator,gas,SE1 0,gas,8645913.04983
Generator,gas,SK0 0,gas,64178345.00608
Generator,industry wood,AL0 0,solid biomass,495433.59013
Generator,industry wood,AT0 0,solid biomass,9944957.26579
Generator,industry wood,BA0 0,solid biomass,1680033.05134
Generator,industry wood,BE0 0,solid biomass,1493662.72139
Generator,industry wood,BG0 0,solid biomass,2519864.11955
Generator,industry wood,CH0 0,solid biomass,9691541.86031
Generator,industry wood,CZ0 0,solid biomass,6562103.60895
Generator,industry wood,DE0 0,solid biomass,4730402.68011
Generator,industry wood,DE0 1,solid biomass,3698856.63264
Generator,industry wood,DE0 2,solid biomass,3694916.19289
Generator,industry wood,DE0 3,solid biomass,5189369.20881
Generator,industry wood,DE0 4,solid biomass,5112009.91319
Generator,industry wood,DE0 5,solid biomass,5078629.70316
Generator,industry wood,DK0 0,solid biomass,776717.86171
Generator,industry wood,DK1 0,solid biomass,250337.70796
Generator,industry wood,EE0 0,solid biomass,3604064.67865
Generator,industry wood,ES0 0,solid biomass,7089845.52828
Generator,industry wood,ES6 0,solid biomass,62172.13576
Generator,industry wood,FI1 0,solid biomass,15953439.86054
Generator,industry wood,FR0 0,solid biomass,5037257.78087
Generator,industry wood,FR0 1,solid biomass,6071765.27643
Generator,industry wood,FR0 2,solid biomass,9800428.21676
Generator,industry wood,FR0 3,solid biomass,2525698.38716
Generator,industry wood,FR0 4,solid biomass,5957131.75229
Generator,industry wood,FR5 0,solid biomass,145694.58508
Generator,industry wood,GB2 0,solid biomass,3478186.78198
Generator,industry wood,GB2 1,solid biomass,1111744.80948
Generator,industry wood,GB3 0,solid biomass,158228.89958
Generator,industry wood,GR0 0,solid biomass,1164983.39771
