carrier,0
AC,48.29411397941482
EV battery,53.3854531686705
H2,45.27474208349636
NH3,75.8884659540021
agriculture machinery oil,81.17846117619347
battery,48.30591379342919
biogas,-0.603873566724661
co2,-99.98951425119745
co2 sequestered,-30.000266260871122
co2 stored,-29.238357450155608
coal,9.565017419766667
coal for industry,43.18159256107389
gas,6.888399105028737
gas for industry,25.603817902014306
hbi,157.11953323712612
heat100-200 industry,29.03129315283723
heat200-500 industry,27.16984761875454
heat<100 industry,29.52292979287376
heat>500 industry,27.7026512447449
home battery,54.70191391291025
industry methanol,0.0
kerosene for aviation,82.83509896648965
land transport oil,82.83495962689331
lignite,3.3079416407200006
low voltage,55.714056891155536
methanol,66.36613288308746
municipal solid waste,-0.01998356278018111
naphtha for industry,57.12776026574398
non-sequestered HVC,-25.717219987208292
none,0.0
oil,57.11783414770807
oil primary,52.920405167
process emissions,0.0
rural heat,54.83050491813733
shipping methanol,91.17452885203033
shipping oil,77.86505831264853
solid biomass,19.931405620213066
solid biomass for industry,19.941232237502792
solid biomass import,54.009868855711154
steel,216.6392825064056
steel emission,-53.99972972252174
unsustainable bioliquids,65.35565193707379
uranium,3.4228561604753676
urban central heat,21.99025317993354
urban decentral heat,55.32161602146783
