component,location,carrier,0
StorageUnit,RS0 0,Reservoir & Dam,0.5148530818883685
StorageUnit,SE1 0,Pumped Hydro Storage,0.2128071739130435
StorageUnit,SE1 0,Reservoir & Dam,0.5533314079688064
StorageUnit,SE1 0,rural heat vent,0.019177035377071005
StorageUnit,SI0 0,Pumped Hydro Storage,0.32620072222222224
StorageUnit,SI0 0,Reservoir & Dam,0.4654600045124004
StorageUnit,SI0 0,rural heat vent,0.005084920327665423
StorageUnit,SK0 0,Pumped Hydro Storage,0.3157380732383407
StorageUnit,SK0 0,Reservoir & Dam,0.28158438385269124
StorageUnit,SK0 0,rural heat vent,0.01917809820913153
StorageUnit,XK0 0,Reservoir & Dam,0.5449274285714285
Generator,,co2-ets,1.683588084e-05
Generator,AL0 0,Offshore Wind (AC),0.11235955056179774
Generator,AL0 0,Offshore Wind (Floating),0.14862204724409447
Generator,AL0 0,Onshore Wind,0.040065223878664374
Generator,AL0 0,Run of River,0.49511825726141073
Generator,AL0 0,Solar,0.13214589921818484
Generator,AL0 0,forest residues,0.0001141552422964804
Generator,AL0 0,industry wood,0.00011415525926597975
Generator,AL0 0,landscape care,0.00011419466744688427
Generator,AL0 0,manure and slurry,0.00011415527245296474
Generator,AL0 0,municipal solid waste,0.00010577881125369583
Generator,AL0 0,rural heat vent,0.08124185479463572
Generator,AL0 0,rural solar thermal,0.04648318042813456
Generator,AL0 0,sewage sludge,0.00011415516526939154
Generator,AL0 0,solar-hsat,0.19878837826226473
Generator,AL0 0,solid biomass,0.023474503
Generator,AL0 0,straw,0.00011415530292953274
Generator,AL0 0,unsustainable solid biomass,0.00011325523049838565
Generator,AL0 0,urban central heat vent,0.09935425287326512
Generator,AL0 0,urban central solar thermal,0.049527979203721435
Generator,AL0 0,urban decentral heat vent,0.07757683522074585
Generator,AL0 0,urban decentral solar thermal,0.04392994953992283
Generator,AT0 0,Onshore Wind,0.12696816512962694
Generator,AT0 0,Run of River,0.5010256521648758
Generator,AT0 0,Solar,0.12395670007654418
Generator,AT0 0,forest residues,0.00011415525092599189
Generator,AT0 0,industry wood,0.00011415525152241602
Generator,AT0 0,landscape care,0.00011415526246612505
Generator,AT0 0,manure and slurry,0.00011415526517991936
Generator,AT0 0,municipal solid waste,0.00011255824820476337
Generator,AT0 0,rural solar thermal,0.03583241455347299
Generator,AT0 0,sewage sludge,0.0001141552491918567
Generator,AT0 0,solar-hsat,0.15845581410682114
Generator,AT0 0,solid biomass,4.97e-07
Generator,AT0 0,straw,0.00011415525136821901
Generator,AT0 0,unsustainable biogas,0.00011415525284664707
Generator,AT0 0,unsustainable bioliquids,0.00011415525078250375
Generator,AT0 0,unsustainable solid biomass,0.00011412347986794871
Generator,AT0 0,urban central heat vent,0.1395099344103139
Generator,AT0 0,urban central solar thermal,0.028251671898457755
Generator,AT0 0,urban decentral heat vent,0.09763999356401414
Generator,AT0 0,urban decentral solar thermal,0.032525796321220275
Generator,BA0 0,Offshore Wind (AC),0.09381663113006397
Generator,BA0 0,Offshore Wind (Floating),0.053571428571428575
Generator,BA0 0,Onshore Wind,0.04313386820055725
Generator,BA0 0,Solar,0.13558784624720766
Generator,BA0 0,forest residues,0.00011415525938741338
Generator,BA0 0,industry wood,0.00011415525351226582
Generator,BA0 0,landscape care,0.0001141443655278312
Generator,BA0 0,manure and slurry,0.00011415527168825485
Generator,BA0 0,municipal solid waste,5.186444065033687e-07
Generator,BA0 0,rural heat vent,0.056426790306241724
Generator,BA0 0,rural solar thermal,0.02851392150285139
Generator,BA0 0,sewage sludge,0.00011415534089940526
Generator,BA0 0,solar-hsat,0.18409849374088855
Generator,BA0 0,solid biomass,0.010594705000000001
Generator,BA0 0,straw,0.00011415527874356152
Generator,BA0 0,unsustainable biogas,0.00011415585346152844
Generator,BA0 0,unsustainable solid biomass,0.00011405542830089622
Generator,BA0 0,urban central heat vent,0.13337469499611113
Generator,BA0 0,urban central solar thermal,0.041019375109094085
Generator,BA0 0,urban decentral heat vent,0.05702614224335236
Generator,BA0 0,urban decentral solar thermal,0.028333333333333332
Generator,BE0 0,Offshore Wind (AC),0.4835606693262412
Generator,BE0 0,Offshore Wind (DC),0.47923463845907566
Generator,BE0 0,Offshore Wind (Floating),0.30471204188481676
Generator,BE0 0,Onshore Wind,0.27937161417916057
Generator,BE0 0,Run of River,0.5512292227749599
Generator,BE0 0,Solar,0.10901322118905223
Generator,BE0 0,forest residues,0.00011415525089845195
Generator,BE0 0,industry wood,0.0001141552500700545
Generator,BE0 0,landscape care,0.00011415526117052334
Generator,BE0 0,manure and slurry,0.00011415525049470623
Generator,BE0 0,municipal solid waste,0.00011379740545648293
Generator,BE0 0,rural solar thermal,0.03208556149732621
Generator,BE0 0,sewage sludge,0.00011415525667067699
Generator,BE0 0,solar-hsat,0.13659934177097457
Generator,BE0 0,solid biomass,0.19832871800000001
Generator,BE0 0,straw,0.00011415525262164334
Generator,BE0 0,unsustainable biogas,0.00011415525118007577
Generator,BE0 0,unsustainable bioliquids,0.00011415525080854027
Generator,BE0 0,unsustainable solid biomass,0.00011403351483707092
Generator,BE0 0,urban central heat vent,0.015729142945076546
Generator,BE0 0,urban central solar thermal,0.020381204000754858
Generator,BE0 0,urban decentral heat vent,0.1087268508966194
Generator,BE0 0,urban decentral solar thermal,0.016992790937178166
Generator,BG0 0,Offshore Wind (AC),0.274242388650337
Generator,BG0 0,Offshore Wind (DC),0.3694405889807495
Generator,BG0 0,Offshore Wind (Floating),0.2237312365975697
Generator,BG0 0,Onshore Wind,0.11406541262297203
Generator,BG0 0,Run of River,0.16828007246376808
Generator,BG0 0,Solar,0.1423779387983024
Generator,BG0 0,forest residues,0.00011415525204905346
Generator,BG0 0,industry wood,0.00011415525010821057
Generator,BG0 0,landscape care,0.00011415526005897816
Generator,BG0 0,manure and slurry,0.00011415525612560229
Generator,BG0 0,municipal solid waste,0.0001100443644381143
Generator,BG0 0,rural solar thermal,0.046247156937073534
Generator,BG0 0,sewage sludge,0.00011471748906359938
Generator,BG0 0,solar-hsat,0.19206662920778217
Generator,BG0 0,solid biomass,1.392e-06
Generator,BG0 0,straw,0.00011415525089595732
Generator,BG0 0,unsustainable biogas,0.00011415526707813251
Generator,BG0 0,unsustainable bioliquids,0.00011415525579567881
Generator,BG0 0,unsustainable solid biomass,0.00011406436564127093
Generator,BG0 0,urban central heat vent,0.17320429378038932
Generator,BG0 0,urban central solar thermal,0.0375
Generator,BG0 0,urban decentral heat vent,0.15432785797385098
Generator,BG0 0,urban decentral solar thermal,0.034375746001432325
Generator,CH0 0,Onshore Wind,0.04422448916883197
Generator,CH0 0,Run of River,0.28681545810652254
Generator,CH0 0,Solar,0.11920818416837305
Generator,CH0 0,forest residues,0.00011415525172980975
Generator,CH0 0,industry wood,0.00011415525143908636
Generator,CH0 0,landscape care,0.00011415836718545447
Generator,CH0 0,manure and slurry,0.00011415577542734043
Generator,CH0 0,municipal solid waste,0.0001139843451607824
Generator,CH0 0,rural solar thermal,0.035897435897435895
Generator,CH0 0,sewage sludge,0.00011415076076083024
Generator,CH0 0,solar-hsat,0.16613576660642215
Generator,CH0 0,solid biomass,0.017233999
Generator,CH0 0,straw,0.00011415486483540208
Generator,CH0 0,unsustainable solid biomass,3.076e-06
Generator,CH0 0,urban central heat vent,0.0016792837216031476
Generator,CH0 0,urban central solar thermal,0.030169317598768598
Generator,CH0 0,urban decentral heat vent,0.004476564045058823
Generator,CH0 0,urban decentral solar thermal,0.03609831029185868
Generator,CZ0 0,Onshore Wind,0.1763096626055632
Generator,CZ0 0,Run of River,0.35640989818124325
Generator,CZ0 0,Solar,0.1252972819581841
