cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),3199.00774
capital,Generator,AL0 0,Offshore Wind (Floating),3112.03627
capital,Generator,AL0 0,Onshore Wind,27078515.19545
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419955.00919
capital,Generator,AL0 0,rural solar thermal,2445.8481
capital,Generator,AL0 0,solar-hsat,356865082.24359
capital,Generator,AL0 0,urban central solar thermal,9074.42799
capital,Generator,AL0 0,urban decentral solar thermal,2540.9191
capital,Generator,AT0 0,Onshore Wind,374358060.22118
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184926.24836
capital,Generator,AT0 0,rural solar thermal,788.77494
capital,Generator,AT0 0,solar-hsat,2377232059.30393
capital,Generator,AT0 0,urban central solar thermal,2336.8946
capital,Generator,AT0 0,urban decentral solar thermal,1166.64235
capital,Generator,BA0 0,Offshore Wind (AC),1153.72067
capital,Generator,BA0 0,Offshore Wind (Floating),930.40228
capital,Generator,BA0 0,Onshore Wind,50338210.84706
capital,Generator,BA0 0,Solar,13985400.93659
capital,Generator,BA0 0,rural solar thermal,1286.69299
capital,Generator,BA0 0,solar-hsat,407049243.71548
capital,Generator,BA0 0,urban central solar thermal,3037.91411
capital,Generator,BA0 0,urban decentral solar thermal,1290.33552
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304784.57847
capital,Generator,BE0 0,Offshore Wind (Floating),1902.46581
capital,Generator,BE0 0,Onshore Wind,1762999126.72939
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347315.46837
capital,Generator,BE0 0,rural solar thermal,57.61373
capital,Generator,BE0 0,solar-hsat,968823304.90526
capital,Generator,BE0 0,urban central solar thermal,1012.4332
capital,Generator,BE0 0,urban decentral solar thermal,527.36673
capital,Generator,BG0 0,Offshore Wind (AC),81055.94968
capital,Generator,BG0 0,Offshore Wind (DC),3494332.47491
capital,Generator,BG0 0,Offshore Wind (Floating),4996.45944
capital,Generator,BG0 0,Onshore Wind,70359793.39369
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125929026.14474
capital,Generator,BG0 0,rural solar thermal,806.70869
capital,Generator,BG0 0,solar-hsat,824296156.2685
capital,Generator,BG0 0,urban central solar thermal,1520.96026
capital,Generator,BG0 0,urban decentral solar thermal,1101.59939
capital,Generator,CH0 0,Onshore Wind,6364787.43219
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068565.08458
capital,Generator,CH0 0,rural solar thermal,393.69197
capital,Generator,CH0 0,solar-hsat,2509473772.98285
capital,Generator,CH0 0,urban central solar thermal,1706.20227
capital,Generator,CH0 0,urban decentral solar thermal,429.84134
capital,Generator,CZ0 0,Onshore Wind,1812264641.48833
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68150977.08299
capital,Generator,CZ0 0,rural solar thermal,529.92931
capital,Generator,CZ0 0,solar-hsat,126933021.12819
capital,Generator,CZ0 0,urban central solar thermal,2258.59981
capital,Generator,CZ0 0,urban decentral solar thermal,744.86881
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359314269.41982
capital,Generator,DE0 0,Offshore Wind (Floating),1651.20395
capital,Generator,DE0 0,Onshore Wind,2870934843.33477
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919354.48707
capital,Generator,DE0 0,rural solar thermal,458.10529
capital,Generator,DE0 0,solar-hsat,347806727.43683
capital,Generator,DE0 0,urban central solar thermal,1076.43849
capital,Generator,DE0 0,urban decentral solar thermal,524.10353
capital,Generator,DE0 1,Onshore Wind,669669889.94333
capital,Generator,DE0 1,Run of River,72178052.77618
capital,Generator,DE0 1,Solar,199216968.13664
capital,Generator,DE0 1,rural solar thermal,548.31969
capital,Generator,DE0 1,solar-hsat,544509133.8705
capital,Generator,DE0 1,urban central solar thermal,1195.05282
capital,Generator,DE0 1,urban decentral solar thermal,658.36066
capital,Generator,DE0 2,Offshore Wind (AC),1156810252.44729
capital,Generator,DE0 2,Offshore Wind (DC),4753542550.7315
capital,Generator,DE0 2,Offshore Wind (Floating),2453.58966
capital,Generator,DE0 2,Onshore Wind,818604223.44345
capital,Generator,DE0 2,Run of River,132010325.87154
capital,Generator,DE0 2,Solar,84733175.19279
capital,Generator,DE0 2,rural solar thermal,281.7835
capital,Generator,DE0 2,solar-hsat,1010690962.81691
capital,Generator,DE0 2,urban central solar thermal,1033.39936
capital,Generator,DE0 2,urban decentral solar thermal,485.8527
capital,Generator,DE0 3,Onshore Wind,52768508.98361
capital,Generator,DE0 3,Run of River,940688192.41467
capital,Generator,DE0 3,Solar,232334272.76707
capital,Generator,DE0 3,rural solar thermal,673.31787
capital,Generator,DE0 3,solar-hsat,1271673179.96086
capital,Generator,DE0 3,urban central solar thermal,2295.40698
capital,Generator,DE0 3,urban decentral solar thermal,813.66582
capital,Generator,DE0 4,Onshore Wind,332000807.99433
capital,Generator,DE0 4,Run of River,269690009.68602
capital,Generator,DE0 4,Solar,115970394.54783
capital,Generator,DE0 4,rural solar thermal,450.8189
capital,Generator,DE0 4,solar-hsat,1362128282.19937
capital,Generator,DE0 4,urban central solar thermal,1540.49731
capital,Generator,DE0 4,urban decentral solar thermal,698.1406
capital,Generator,DE0 5,Offshore Wind (AC),429579866.18832
capital,Generator,DE0 5,Offshore Wind (DC),57939018.78692
capital,Generator,DE0 5,Offshore Wind (Floating),2087.96934
capital,Generator,DE0 5,Onshore Wind,3157625363.12561
capital,Generator,DE0 5,Run of River,29117199.61962
capital,Generator,DE0 5,Solar,566939158.32547
capital,Generator,DE0 5,rural solar thermal,565.6167
capital,Generator,DE0 5,solar-hsat,736766641.19595
capital,Generator,DE0 5,urban central solar thermal,1219.35255
capital,Generator,DE0 5,urban decentral solar thermal,686.60563
