component,carrier,location,bus_carrier,0
Generator,Offshore Wind (AC),AL0 0,AC,12.54701
Generator,Offshore Wind (AC),BA0 0,AC,5.97891
Generator,Offshore Wind (AC),BE0 0,AC,9463983.61333
Generator,Offshore Wind (AC),BG0 0,AC,3962348.40517
Generator,Offshore Wind (AC),DE0 0,AC,9584143.19571
Generator,Offshore Wind (AC),DE0 2,AC,23543691.33806
Generator,Offshore Wind (AC),DE0 5,AC,7644406.34796
Generator,Offshore Wind (AC),DK0 0,AC,5378483.16467
Generator,Offshore Wind (AC),DK1 0,AC,3226374.78677
Generator,Offshore Wind (AC),EE0 0,AC,625.61149
Generator,Offshore Wind (AC),ES0 0,AC,46715.98483
Generator,Offshore Wind (AC),ES6 0,AC,20.42677
Generator,Offshore Wind (AC),FI1 0,AC,624.19655
Generator,Offshore Wind (AC),FR0 0,AC,13904448.10502
Generator,Offshore Wind (AC),FR0 1,AC,5516341.36478
Generator,Offshore Wind (AC),FR0 2,AC,3343725.40587
Generator,Offshore Wind (AC),FR0 3,AC,57171306.29351
Generator,Offshore Wind (AC),FR5 0,AC,21.09261
Generator,Offshore Wind (AC),GB2 0,AC,154989011.32645
Generator,Offshore Wind (AC),GB2 1,AC,70907284.74727
Generator,Offshore Wind (AC),GB3 0,AC,2786033.81475
Generator,Offshore Wind (AC),GR0 0,AC,55.75667
Generator,Offshore Wind (AC),HR0 0,AC,45.69015
Generator,Offshore Wind (AC),IE3 0,AC,5332549.90401
Generator,Offshore Wind (AC),IT0 0,AC,48908.62071
Generator,Offshore Wind (AC),IT0 1,AC,53.73804
Generator,Offshore Wind (AC),IT4 0,AC,123.65467
Generator,Offshore Wind (AC),LT0 0,AC,329.9616
Generator,Offshore Wind (AC),LV0 0,AC,399.2758
Generator,Offshore Wind (AC),ME0 0,AC,4.6151
Generator,Offshore Wind (AC),NL0 0,AC,25453273.53929
Generator,Offshore Wind (AC),NO1 0,AC,515671.73333
Generator,Offshore Wind (AC),PL0 0,AC,19719571.78377
Generator,Offshore Wind (AC),PT0 0,AC,15467228.18094
Generator,Offshore Wind (AC),RO0 0,AC,5454934.46996
Generator,Offshore Wind (AC),SE1 0,AC,739583.09871
Generator,Offshore Wind (AC),SI0 0,AC,6.37493
Generator,Offshore Wind (DC),BE0 0,AC,3642098.1717
Generator,Offshore Wind (DC),BG0 0,AC,50865.62279
Generator,Offshore Wind (DC),DE0 0,AC,7982644.97842
Generator,Offshore Wind (DC),DE0 2,AC,101114084.73528
Generator,Offshore Wind (DC),DE0 5,AC,1194287.65981
Generator,Offshore Wind (DC),DK0 0,AC,2640240.88222
Generator,Offshore Wind (DC),DK1 0,AC,47.10313
Generator,Offshore Wind (DC),EE0 0,AC,470.2905
Generator,Offshore Wind (DC),FI1 0,AC,28325006.72789
Generator,Offshore Wind (DC),FR0 0,AC,10626731.00494
Generator,Offshore Wind (DC),FR0 2,AC,1638793.16192
Generator,Offshore Wind (DC),FR0 3,AC,14747362.90508
Generator,Offshore Wind (DC),GB2 0,AC,74367250.65776
Generator,Offshore Wind (DC),GB2 1,AC,153013470.8346
Generator,Offshore Wind (DC),GB3 0,AC,15707885.12101
Generator,Offshore Wind (DC),GR0 0,AC,21541047.83933
Generator,Offshore Wind (DC),HR0 0,AC,57.70377
Generator,Offshore Wind (DC),IE3 0,AC,5074318.74728
Generator,Offshore Wind (DC),IT0 0,AC,3965072.79264
Generator,Offshore Wind (DC),IT0 1,AC,55.06121
Generator,Offshore Wind (DC),LT0 0,AC,8902353.25085
Generator,Offshore Wind (DC),LV0 0,AC,3955188.60571
Generator,Offshore Wind (DC),NL0 0,AC,230145022.21274
Generator,Offshore Wind (DC),NO1 0,AC,76074152.51289
Generator,Offshore Wind (DC),PL0 0,AC,23698759.74407
Generator,Offshore Wind (DC),RO0 0,AC,9216853.99195
Generator,Offshore Wind (DC),SE1 0,AC,9091.3968
Generator,Offshore Wind (Floating),AL0 0,AC,14.38507
Generator,Offshore Wind (Floating),BA0 0,AC,1.81477
Generator,Offshore Wind (Floating),BE0 0,AC,25.47095
Generator,Offshore Wind (Floating),BG0 0,AC,34.23517
Generator,Offshore Wind (Floating),DE0 0,AC,8.78025
Generator,Offshore Wind (Floating),DE0 2,AC,23.45849
Generator,Offshore Wind (Floating),DE0 5,AC,12.8583
Generator,Offshore Wind (Floating),DK0 0,AC,41.16236
Generator,Offshore Wind (Floating),DK1 0,AC,22.08833
Generator,Offshore Wind (Floating),EE0 0,AC,36.3196
Generator,Offshore Wind (Floating),ES0 0,AC,36.27569
Generator,Offshore Wind (Floating),ES6 0,AC,14.90816
Generator,Offshore Wind (Floating),FI1 0,AC,44.1607
Generator,Offshore Wind (Floating),FR0 0,AC,13.87742
Generator,Offshore Wind (Floating),FR0 1,AC,83.32644
Generator,Offshore Wind (Floating),FR0 2,AC,33.14025
Generator,Offshore Wind (Floating),FR0 3,AC,51.59699
Generator,Offshore Wind (Floating),FR5 0,AC,15.42888
Generator,Offshore Wind (Floating),GB2 0,AC,76.90624
Generator,Offshore Wind (Floating),GB2 1,AC,50.35715
Generator,Offshore Wind (Floating),GB3 0,AC,56.51688
Generator,Offshore Wind (Floating),GR0 0,AC,42.79851
Generator,Offshore Wind (Floating),HR0 0,AC,15.04418
Generator,Offshore Wind (Floating),IE3 0,AC,68.56851
Generator,Offshore Wind (Floating),IT0 0,AC,24.84659
Generator,Offshore Wind (Floating),IT0 1,AC,16.37341
Generator,Offshore Wind (Floating),IT4 0,AC,28.28013
