cost,component,carrier,0
capital,Generator,Offshore Wind (AC),14023126096.71876
capital,Generator,Offshore Wind (DC),22175088234.58373
capital,Generator,Offshore Wind (Floating),140170.81136
capital,Generator,Onshore Wind,32856366793.43863
capital,Generator,Run of River,14731877853.69473
capital,Generator,Solar,6359492826.46331
capital,Generator,rural solar thermal,37947.39195
capital,Generator,solar-hsat,35742171548.44292
capital,Generator,urban central solar thermal,91104.71164
capital,Generator,urban decentral solar thermal,42256.33179
capital,Line,AC,7417196279.15542
capital,Link,BOF,15784796840.27936
capital,Link,CO2 pipeline,2547921.2091
capital,Link,Combined-Cycle Gas,20531301037.82299
capital,Link,DC,1508484281.03494
capital,Link,EAF,67916.35561
capital,Link,H2 DRI,49134.7276
capital,Link,H2 Electrolysis,143252.55687
capital,Link,Haber-Bosch,1609138469.56341
capital,Link,OCGT methanol,67195.21032
capital,Link,Open-Cycle Gas,6844131.32727
capital,Link,SMR,1906573876.09957
capital,Link,Sabatier,45965.26234
capital,Link,ammonia cracker,76323.99658
capital,Link,battery charger,772695312.83104
capital,Link,biogas to gas,8071675503.80727
capital,Link,biomass to liquid,789758196.65045
capital,Link,biomass-to-methanol,179674.31847
capital,Link,coal,20296295889.85624
capital,Link,electricity distribution grid,28023319662.64668
capital,Link,gas DRI,59673.01926
capital,Link,gas pipeline,865535209.23276
capital,Link,gas pipeline new,100417682.08028
capital,Link,heat100-200 industry electric boiler steam,17517.20254
capital,Link,heat100-200 industry gas,236718241.41518
capital,Link,heat100-200 industry industrial heat pump high temperature,4364250878.47766
capital,Link,heat100-200 industry solid biomass,216160191.84109
capital,Link,heat200-500 industry gas,24274025.25141
capital,Link,heat200-500 industry hydrogen,4526.39293
capital,Link,heat200-500 industry solid biomass,278066189.87397
capital,Link,heat<100 industry electric boiler steam,16981.02276
capital,Link,heat<100 industry gas,189638877.24253
capital,Link,heat<100 industry industrial heat pump medium temperature,2786234901.9589
capital,Link,heat<100 industry solid biomass,446321231.71144
capital,Link,heat>500 industry gas,65131211.93624
