cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),2122.80028
capital,Generator,AL0 0,Offshore Wind (Floating),2594.04404
capital,Generator,AL0 0,Onshore Wind,27078496.13027
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419847.72802
capital,Generator,AL0 0,rural solar thermal,860.68237
capital,Generator,AL0 0,solar-hsat,258309897.49175
capital,Generator,AL0 0,urban central solar thermal,2757.69088
capital,Generator,AL0 0,urban decentral solar thermal,892.43592
capital,Generator,AT0 0,Onshore Wind,374356764.67382
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184589.35478
capital,Generator,AT0 0,rural solar thermal,757.24782
capital,Generator,AT0 0,solar-hsat,1873899554.71195
capital,Generator,AT0 0,urban central solar thermal,1639.91913
capital,Generator,AT0 0,urban decentral solar thermal,791.30193
capital,Generator,BA0 0,Offshore Wind (AC),977.33137
capital,Generator,BA0 0,Offshore Wind (Floating),922.74418
capital,Generator,BA0 0,Onshore Wind,50338239.53038
capital,Generator,BA0 0,Solar,13985205.7752
capital,Generator,BA0 0,rural solar thermal,706.15553
capital,Generator,BA0 0,solar-hsat,304145047.80296
capital,Generator,BA0 0,urban central solar thermal,2204.16694
capital,Generator,BA0 0,urban decentral solar thermal,710.99916
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304438.58906
capital,Generator,BE0 0,Offshore Wind (Floating),1756.715
capital,Generator,BE0 0,Onshore Wind,797869815.45754
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347163.19417
capital,Generator,BE0 0,rural solar thermal,88.60158
capital,Generator,BE0 0,solar-hsat,61241558.12486
capital,Generator,BE0 0,urban central solar thermal,1124.62017
capital,Generator,BE0 0,urban decentral solar thermal,495.66255
capital,Generator,BG0 0,Offshore Wind (AC),3008.64579
capital,Generator,BG0 0,Offshore Wind (DC),3830.65664
capital,Generator,BG0 0,Offshore Wind (Floating),3258.42579
capital,Generator,BG0 0,Onshore Wind,70359026.34817
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125929040.12338
capital,Generator,BG0 0,rural solar thermal,822.62006
capital,Generator,BG0 0,solar-hsat,543346056.83492
capital,Generator,BG0 0,urban central solar thermal,1749.04746
capital,Generator,BG0 0,urban decentral solar thermal,900.56002
capital,Generator,CH0 0,Onshore Wind,6364625.66515
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068418.16256
capital,Generator,CH0 0,rural solar thermal,320.61676
capital,Generator,CH0 0,solar-hsat,2044320066.91799
capital,Generator,CH0 0,urban central solar thermal,1564.34434
capital,Generator,CH0 0,urban decentral solar thermal,325.97454
capital,Generator,CZ0 0,Onshore Wind,16200818.06815
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68150703.58987
capital,Generator,CZ0 0,rural solar thermal,471.81763
capital,Generator,CZ0 0,solar-hsat,65487871.13691
capital,Generator,CZ0 0,urban central solar thermal,1267.45097
capital,Generator,CZ0 0,urban decentral solar thermal,623.11052
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359314148.58595
capital,Generator,DE0 0,Offshore Wind (Floating),1621.66567
capital,Generator,DE0 0,Onshore Wind,1482255885.56532
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919120.38256
capital,Generator,DE0 0,rural solar thermal,473.78078
capital,Generator,DE0 0,solar-hsat,31735.42565
capital,Generator,DE0 0,urban central solar thermal,977.72298
capital,Generator,DE0 0,urban decentral solar thermal,527.74712
capital,Generator,DE0 1,Onshore Wind,390671095.42164
capital,Generator,DE0 1,Run of River,72178052.77618
capital,Generator,DE0 1,Solar,199216147.89766
capital,Generator,DE0 1,rural solar thermal,512.26836
capital,Generator,DE0 1,solar-hsat,157296625.04846
capital,Generator,DE0 1,urban central solar thermal,1079.54942
capital,Generator,DE0 1,urban decentral solar thermal,598.10614
capital,Generator,DE0 2,Offshore Wind (AC),1156810252.44729
capital,Generator,DE0 2,Offshore Wind (DC),4205159664.25244
capital,Generator,DE0 2,Offshore Wind (Floating),1945.60804
capital,Generator,DE0 2,Onshore Wind,818604251.00469
capital,Generator,DE0 2,Run of River,132010325.87154
capital,Generator,DE0 2,Solar,84732840.40357
capital,Generator,DE0 2,rural solar thermal,363.10862
capital,Generator,DE0 2,solar-hsat,21393.52973
capital,Generator,DE0 2,urban central solar thermal,1230.06705
capital,Generator,DE0 2,urban decentral solar thermal,492.73146
capital,Generator,DE0 3,Onshore Wind,52768294.70337
capital,Generator,DE0 3,Run of River,940688192.41467
capital,Generator,DE0 3,Solar,232333215.93056
capital,Generator,DE0 3,rural solar thermal,642.84703
capital,Generator,DE0 3,solar-hsat,1022521447.50312
capital,Generator,DE0 3,urban central solar thermal,1332.75814
capital,Generator,DE0 3,urban decentral solar thermal,690.67831
capital,Generator,DE0 4,Onshore Wind,332000708.36736
capital,Generator,DE0 4,Run of River,269690009.68602
capital,Generator,DE0 4,Solar,115970257.61458
capital,Generator,DE0 4,rural solar thermal,480.08132
capital,Generator,DE0 4,solar-hsat,624281167.53026
capital,Generator,DE0 4,urban central solar thermal,1638.53423
capital,Generator,DE0 4,urban decentral solar thermal,613.91867
capital,Generator,DE0 5,Offshore Wind (AC),429579705.1006
capital,Generator,DE0 5,Offshore Wind (DC),57938937.42042
capital,Generator,DE0 5,Offshore Wind (Floating),1788.21377
capital,Generator,DE0 5,Onshore Wind,1468254406.47975
capital,Generator,DE0 5,Run of River,29117199.61962
capital,Generator,DE0 5,Solar,566940250.44236
capital,Generator,DE0 5,rural solar thermal,587.93706
capital,Generator,DE0 5,solar-hsat,429318058.7428
capital,Generator,DE0 5,urban central solar thermal,1071.93763
capital,Generator,DE0 5,urban decentral solar thermal,669.53242
capital,Generator,DK0 0,Offshore Wind (AC),329699068.24026
capital,Generator,DK0 0,Offshore Wind (DC),11731.15119
capital,Generator,DK0 0,Offshore Wind (Floating),3769.0065
capital,Generator,DK0 0,Onshore Wind,2005089474.06846
capital,Generator,DK0 0,Solar,85748541.18183
capital,Generator,DK0 0,rural solar thermal,142.8806
capital,Generator,DK0 0,solar-hsat,8398.4389
capital,Generator,DK0 0,urban central solar thermal,864.14137
capital,Generator,DK0 0,urban decentral solar thermal,403.77462
capital,Generator,DK1 0,Offshore Wind (AC),220812640.44824
capital,Generator,DK1 0,Offshore Wind (DC),2684.69888
capital,Generator,DK1 0,Offshore Wind (Floating),2858.84098
capital,Generator,DK1 0,Onshore Wind,718731277.06457
capital,Generator,DK1 0,Solar,28221579.16632
capital,Generator,DK1 0,rural solar thermal,122.98781
capital,Generator,DK1 0,solar-hsat,8513.68744
capital,Generator,DK1 0,urban central solar thermal,904.76755
capital,Generator,DK1 0,urban decentral solar thermal,458.99016
capital,Generator,EE0 0,Offshore Wind (AC),15532.14716
capital,Generator,EE0 0,Offshore Wind (DC),9727.50164
capital,Generator,EE0 0,Offshore Wind (Floating),3895.46956
capital,Generator,EE0 0,Onshore Wind,531318080.33203
capital,Generator,EE0 0,Solar,23011843.47198
capital,Generator,EE0 0,rural solar thermal,475.78844
capital,Generator,EE0 0,solar-hsat,45269695.78497
capital,Generator,EE0 0,urban central solar thermal,864.90616
capital,Generator,EE0 0,urban decentral solar thermal,520.4908
capital,Generator,ES0 0,Offshore Wind (AC),4025768.736
capital,Generator,ES0 0,Offshore Wind (Floating),3531.16148
capital,Generator,ES0 0,Onshore Wind,3578975774.02671
