component,carrier,location,bus_carrier,0
Generator,Offshore Wind (AC),AL0 0,AC,13.01311
Generator,Offshore Wind (AC),BA0 0,AC,5.80323
Generator,Offshore Wind (AC),BE0 0,AC,8750321.77306
Generator,Offshore Wind (AC),BG0 0,AC,560094.92466
Generator,Offshore Wind (AC),DE0 0,AC,8658021.52061
Generator,Offshore Wind (AC),DE0 2,AC,24121929.6037
Generator,Offshore Wind (AC),DE0 5,AC,9026929.27582
Generator,Offshore Wind (AC),DK0 0,AC,5264281.80812
Generator,Offshore Wind (AC),DK1 0,AC,3123176.45738
Generator,Offshore Wind (AC),EE0 0,AC,517.99175
Generator,Offshore Wind (AC),ES0 0,AC,47154.27492
Generator,Offshore Wind (AC),ES6 0,AC,20.01574
Generator,Offshore Wind (AC),FI1 0,AC,545.63925
Generator,Offshore Wind (AC),FR0 0,AC,14211714.84205
Generator,Offshore Wind (AC),FR0 1,AC,5640929.3239
Generator,Offshore Wind (AC),FR0 2,AC,142.0618
Generator,Offshore Wind (AC),FR0 3,AC,57933763.11555
Generator,Offshore Wind (AC),FR5 0,AC,17.27742
Generator,Offshore Wind (AC),GB2 0,AC,109210443.6725
Generator,Offshore Wind (AC),GB2 1,AC,69330926.57217
Generator,Offshore Wind (AC),GB3 0,AC,5179014.48228
Generator,Offshore Wind (AC),GR0 0,AC,48.79454
Generator,Offshore Wind (AC),HR0 0,AC,39.77734
Generator,Offshore Wind (AC),IE3 0,AC,728845.43014
Generator,Offshore Wind (AC),IT0 0,AC,49715.82815
Generator,Offshore Wind (AC),IT0 1,AC,38.11734
Generator,Offshore Wind (AC),IT4 0,AC,90.82596
Generator,Offshore Wind (AC),LT0 0,AC,523.64582
Generator,Offshore Wind (AC),LV0 0,AC,416.86847
Generator,Offshore Wind (AC),ME0 0,AC,4.48078
Generator,Offshore Wind (AC),NL0 0,AC,20737218.57368
Generator,Offshore Wind (AC),NO1 0,AC,515803.33499
Generator,Offshore Wind (AC),PL0 0,AC,18745824.43504
Generator,Offshore Wind (AC),PT0 0,AC,15998612.86152
Generator,Offshore Wind (AC),RO0 0,AC,5381558.24746
Generator,Offshore Wind (AC),SE1 0,AC,736758.12762
Generator,Offshore Wind (AC),SI0 0,AC,8.19095
Generator,Offshore Wind (DC),BE0 0,AC,4023755.21372
Generator,Offshore Wind (DC),BG0 0,AC,51399.07486
Generator,Offshore Wind (DC),DE0 0,AC,7503063.30327
Generator,Offshore Wind (DC),DE0 2,AC,102198870.92422
Generator,Offshore Wind (DC),DE0 5,AC,1127581.25564
Generator,Offshore Wind (DC),DK0 0,AC,2215.14701
Generator,Offshore Wind (DC),DK1 0,AC,53.43664
Generator,Offshore Wind (DC),EE0 0,AC,410.80835
Generator,Offshore Wind (DC),FI1 0,AC,26850150.15864
Generator,Offshore Wind (DC),FR0 0,AC,11261944.06605
Generator,Offshore Wind (DC),FR0 2,AC,1679243.24012
Generator,Offshore Wind (DC),FR0 3,AC,14880694.58371
Generator,Offshore Wind (DC),GB2 0,AC,80005646.25174
Generator,Offshore Wind (DC),GB2 1,AC,88941542.14075
Generator,Offshore Wind (DC),GB3 0,AC,9102599.72769
Generator,Offshore Wind (DC),GR0 0,AC,22215415.258
Generator,Offshore Wind (DC),HR0 0,AC,48.81251
Generator,Offshore Wind (DC),IE3 0,AC,5264536.82458
Generator,Offshore Wind (DC),IT0 0,AC,4095237.51105
Generator,Offshore Wind (DC),IT0 1,AC,36.392
Generator,Offshore Wind (DC),LT0 0,AC,8885256.65194
Generator,Offshore Wind (DC),LV0 0,AC,2493520.48673
Generator,Offshore Wind (DC),NL0 0,AC,186669304.87226
Generator,Offshore Wind (DC),NO1 0,AC,76074644.76484
Generator,Offshore Wind (DC),PL0 0,AC,28344938.45204
Generator,Offshore Wind (DC),RO0 0,AC,9241893.54106
Generator,Offshore Wind (DC),SE1 0,AC,6962612.38456
Generator,Offshore Wind (Floating),AL0 0,AC,13.9569
Generator,Offshore Wind (Floating),BA0 0,AC,1.80883
Generator,Offshore Wind (Floating),BE0 0,AC,20.14892
Generator,Offshore Wind (Floating),BG0 0,AC,29.68614
Generator,Offshore Wind (Floating),DE0 0,AC,11.59661
Generator,Offshore Wind (Floating),DE0 2,AC,24.14341
Generator,Offshore Wind (Floating),DE0 5,AC,15.97459
Generator,Offshore Wind (Floating),DK0 0,AC,39.13834
Generator,Offshore Wind (Floating),DK1 0,AC,23.84223
Generator,Offshore Wind (Floating),EE0 0,AC,35.93765
Generator,Offshore Wind (Floating),ES0 0,AC,33.96042
Generator,Offshore Wind (Floating),ES6 0,AC,15.1151
Generator,Offshore Wind (Floating),FI1 0,AC,45.11061
Generator,Offshore Wind (Floating),FR0 0,AC,15.72039
Generator,Offshore Wind (Floating),FR0 1,AC,61.77573
Generator,Offshore Wind (Floating),FR0 2,AC,29.71418
Generator,Offshore Wind (Floating),FR0 3,AC,49.92171
Generator,Offshore Wind (Floating),FR5 0,AC,14.31728
Generator,Offshore Wind (Floating),GB2 0,AC,73.94873
Generator,Offshore Wind (Floating),GB2 1,AC,48.31473
Generator,Offshore Wind (Floating),GB3 0,AC,57.42397
Generator,Offshore Wind (Floating),GR0 0,AC,39.85817
Generator,Offshore Wind (Floating),HR0 0,AC,14.75282
Generator,Offshore Wind (Floating),IE3 0,AC,65.95372
Generator,Offshore Wind (Floating),IT0 0,AC,22.20292
Generator,Offshore Wind (Floating),IT0 1,AC,14.49599
Generator,Offshore Wind (Floating),IT4 0,AC,27.17789
Generator,Offshore Wind (Floating),LT0 0,AC,25.72179
Generator,Offshore Wind (Floating),LV0 0,AC,43.89296
Generator,Offshore Wind (Floating),ME0 0,AC,9.97778
Generator,Offshore Wind (Floating),NL0 0,AC,14.08618
Generator,Offshore Wind (Floating),NO1 0,AC,56.18553
Generator,Offshore Wind (Floating),PL0 0,AC,78.07566
Generator,Offshore Wind (Floating),PT0 0,AC,45.3982
Generator,Offshore Wind (Floating),RO0 0,AC,44.20688
Generator,Offshore Wind (Floating),SE1 0,AC,42.83833
Generator,Offshore Wind (Floating),SI0 0,AC,2.58882
Generator,Onshore Wind,AL0 0,AC,83842.04479
Generator,Onshore Wind,AT0 0,AC,3659856.27747
Generator,Onshore Wind,BA0 0,AC,166548.38818
Generator,Onshore Wind,BE0 0,AC,37360379.3613
Generator,Onshore Wind,BG0 0,AC,616642.92666
Generator,Onshore Wind,CH0 0,AC,21996.15932
Generator,Onshore Wind,CZ0 0,AC,27833194.86342
Generator,Onshore Wind,DE0 0,AC,72658395.22147
Generator,Onshore Wind,DE0 1,AC,14756166.5082
Generator,Onshore Wind,DE0 2,AC,13974542.36064
Generator,Onshore Wind,DE0 3,AC,548068.06399
Generator,Onshore Wind,DE0 4,AC,3921827.35004
Generator,Onshore Wind,DE0 5,AC,64485395.59101
Generator,Onshore Wind,DK0 0,AC,103944273.90281
Generator,Onshore Wind,DK1 0,AC,62184077.55229
Generator,Onshore Wind,EE0 0,AC,10256775.55923
Generator,Onshore Wind,ES0 0,AC,36259741.56551
Generator,Onshore Wind,ES6 0,AC,207.31883
Generator,Onshore Wind,FI1 0,AC,18631687.8294
Generator,Onshore Wind,FR0 0,AC,40713344.22151
Generator,Onshore Wind,FR0 1,AC,1645034.10342
Generator,Onshore Wind,FR0 2,AC,3995699.81748
Generator,Onshore Wind,FR0 3,AC,7127204.13808
Generator,Onshore Wind,FR0 4,AC,5369518.45466
Generator,Onshore Wind,FR5 0,AC,19060.52117
Generator,Onshore Wind,GB2 0,AC,28858333.14518
Generator,Onshore Wind,GB2 1,AC,65626595.33751
Generator,Onshore Wind,GB3 0,AC,3951708.79014
Generator,Onshore Wind,GR0 0,AC,6887734.36615
Generator,Onshore Wind,HR0 0,AC,913715.47639
Generator,Onshore Wind,HU0 0,AC,412385.1034
Generator,Onshore Wind,IE3 0,AC,13373896.52275
Generator,Onshore Wind,IT0 0,AC,7330104.23379
Generator,Onshore Wind,IT0 1,AC,103903.63145
Generator,Onshore Wind,IT4 0,AC,1350522.87593
Generator,Onshore Wind,LT0 0,AC,2534942.05793
Generator,Onshore Wind,LU0 0,AC,2512325.82405
Generator,Onshore Wind,LV0 0,AC,216613.82174
Generator,Onshore Wind,ME0 0,AC,33464.7427
Generator,Onshore Wind,MK0 0,AC,13986.66724
Generator,Onshore Wind,NL0 0,AC,29381273.62416
Generator,Onshore Wind,NO1 0,AC,10846106.51597
Generator,Onshore Wind,PL0 0,AC,71511647.61088
Generator,Onshore Wind,PT0 0,AC,7178646.32025
Generator,Onshore Wind,RO0 0,AC,5783251.21464
Generator,Onshore Wind,RS0 0,AC,695822.68537
Generator,Onshore Wind,SE1 0,AC,34282086.93609
Generator,Onshore Wind,SI0 0,AC,6.87618
Generator,Onshore Wind,SK0 0,AC,87.74288
Generator,Onshore Wind,XK0 0,AC,36390.77832
Generator,Run of River,AL0 0,AC,212214.58641
Generator,Run of River,AT0 0,AC,19603316.98952
Generator,Run of River,BE0 0,AC,286360.64729
Generator,Run of River,BG0 0,AC,165127.39121
Generator,Run of River,CH0 0,AC,10579531.69765
Generator,Run of River,CZ0 0,AC,127164.73774
Generator,Run of River,DE0 0,AC,308432.83095
Generator,Run of River,DE0 1,AC,976630.74961
Generator,Run of River,DE0 2,AC,1784999.37465
Generator,Run of River,DE0 3,AC,12745812.70114
Generator,Run of River,DE0 4,AC,3652818.51766
Generator,Run of River,DE0 5,AC,391836.61792
Generator,Run of River,ES0 0,AC,204542.62999
Generator,Run of River,ES6 0,AC,234789.89635
Generator,Run of River,FI1 0,AC,8061034.39708
Generator,Run of River,FR0 1,AC,14820252.37019
Generator,Run of River,FR0 2,AC,4504967.96806
Generator,Run of River,FR0 4,AC,4661344.56369
Generator,Run of River,GB2 0,AC,3877955.54988
Generator,Run of River,GB3 0,AC,1022895.2543
Generator,Run of River,GR0 0,AC,177635.68929
Generator,Run of River,HR0 0,AC,1202541.36238
Generator,Run of River,HU0 0,AC,86256.50303
Generator,Run of River,IE3 0,AC,885540.65375
Generator,Run of River,IT0 0,AC,5750021.34117
Generator,Run of River,IT0 1,AC,18667840.60246
Generator,Run of River,IT4 0,AC,189048.27765
Generator,Run of River,LT0 0,AC,425632.42303
Generator,Run of River,LV0 0,AC,3750066.67213
Generator,Run of River,ME0 0,AC,25942.22342
Generator,Run of River,MK0 0,AC,540819.8989
Generator,Run of River,NO1 0,AC,3892947.72135
Generator,Run of River,PL0 0,AC,1031794.43818
Generator,Run of River,PT0 0,AC,7374586.58208
Generator,Run of River,RO0 0,AC,8270419.06827
Generator,Run of River,RS0 0,AC,8526271.0866
Generator,Run of River,SE1 0,AC,6885190.08578
Generator,Run of River,SI0 0,AC,2189353.95061
Generator,Run of River,SK0 0,AC,3265779.23286
Generator,Run of River,XK0 0,AC,154436.92615
Generator,Solar,AL0 0,AC,359772.11381
Generator,Solar,AT0 0,AC,439970.28384
Generator,Solar,BA0 0,AC,335593.59164
Generator,Solar,BE0 0,AC,468158.08307
Generator,Solar,BG0 0,AC,3191875.91466
Generator,Solar,CH0 0,AC,107027.09934
Generator,Solar,CZ0 0,AC,1429914.75285
Generator,Solar,DE0 0,AC,2648085.83579
Generator,Solar,DE0 1,AC,4066176.24362
Generator,Solar,DE0 2,AC,1601387.35917
Generator,Solar,DE0 3,AC,5023194.98822
Generator,Solar,DE0 4,AC,2402473.54069
Generator,Solar,DE0 5,AC,11404999.03013
Generator,Solar,DK0 0,AC,1610898.89393
Generator,Solar,DK1 0,AC,561940.05957
Generator,Solar,EE0 0,AC,421685.1731
Generator,Solar,ES0 0,AC,57273238.86714
Generator,Solar,ES6 0,AC,411238.74468
Generator,Solar,FI1 0,AC,142815.52247
Generator,Solar,FR0 0,AC,1573087.29141
Generator,Solar,FR0 1,AC,3544329.57873
Generator,Solar,FR0 2,AC,5769578.2685
Generator,Solar,FR0 3,AC,931559.33629
Generator,Solar,FR0 4,AC,891852.30105
