component,location,carrier,0
Load,AL0 0,agriculture electricity,
Load,AL0 0,agriculture heat,
Load,AL0 0,agriculture machinery electric,
Load,AL0 0,agriculture machinery oil,
Load,AL0 0,electricity,
Load,AL0 0,gas for industry,
Load,AL0 0,heat100-200 industry,
Load,AL0 0,heat200-500 industry,
Load,AL0 0,heat<100 industry,
Load,AL0 0,heat>500 industry,
Load,AL0 0,industry electricity,
Load,AL0 0,kerosene for aviation,
Load,AL0 0,land transport EV,
Load,AL0 0,land transport oil,
Load,AL0 0,naphtha for industry,
Load,AL0 0,rural heat,
Load,AL0 0,shipping oil,
Load,AL0 0,solid biomass for industry,
Load,AL0 0,steel,
Load,AL0 0,urban central heat,
Load,AL0 0,urban decentral heat,
Load,AT0 0,agriculture electricity,
Load,AT0 0,agriculture heat,
Load,AT0 0,agriculture machinery electric,
Load,AT0 0,agriculture machinery oil,
Load,AT0 0,electricity,
Load,AT0 0,gas for industry,
Load,AT0 0,heat100-200 industry,
Load,AT0 0,heat200-500 industry,
Load,AT0 0,heat<100 industry,
Load,AT0 0,heat>500 industry,
Load,AT0 0,industry electricity,
Load,AT0 0,kerosene for aviation,
Load,AT0 0,land transport EV,
Load,AT0 0,land transport oil,
Load,AT0 0,naphtha for industry,
Load,AT0 0,rural heat,
Load,AT0 0,shipping oil,
Load,AT0 0,solid biomass for industry,
Load,AT0 0,steel,
Load,AT0 0,urban central heat,
Load,AT0 0,urban decentral heat,
Load,BA0 0,H2 for industry,
Load,BA0 0,agriculture electricity,
Load,BA0 0,agriculture heat,
Load,BA0 0,agriculture machinery electric,
Load,BA0 0,agriculture machinery oil,
Load,BA0 0,electricity,
Load,BA0 0,gas for industry,
Load,BA0 0,heat100-200 industry,
Load,BA0 0,heat200-500 industry,
Load,BA0 0,heat<100 industry,
Load,BA0 0,heat>500 industry,
Load,BA0 0,industry electricity,
Load,BA0 0,kerosene for aviation,
Load,BA0 0,land transport EV,
Load,BA0 0,land transport oil,
Load,BA0 0,naphtha for industry,
Load,BA0 0,rural heat,
Load,BA0 0,shipping oil,
Load,BA0 0,solid biomass for industry,
Load,BA0 0,steel,
Load,BA0 0,urban central heat,
Load,BA0 0,urban decentral heat,
Load,BE0 0,agriculture electricity,
Load,BE0 0,agriculture heat,
Load,BE0 0,agriculture machinery electric,
Load,BE0 0,agriculture machinery oil,
Load,BE0 0,electricity,
Load,BE0 0,gas for industry,
Load,BE0 0,heat100-200 industry,
Load,BE0 0,heat200-500 industry,
Load,BE0 0,heat<100 industry,
Load,BE0 0,heat>500 industry,
Load,BE0 0,industry electricity,
Load,BE0 0,kerosene for aviation,
Load,BE0 0,land transport EV,
Load,BE0 0,land transport oil,
Load,BE0 0,naphtha for industry,
Load,BE0 0,rural heat,
Load,BE0 0,shipping oil,
Load,BE0 0,solid biomass for industry,
Load,BE0 0,steel,
Load,BE0 0,urban central heat,
Load,BE0 0,urban decentral heat,
Load,BG0 0,agriculture electricity,
Load,BG0 0,agriculture heat,
Load,BG0 0,agriculture machinery electric,
Load,BG0 0,agriculture machinery oil,
Load,BG0 0,electricity,
Load,BG0 0,gas for industry,
Load,BG0 0,heat100-200 industry,
Load,BG0 0,heat200-500 industry,
Load,BG0 0,heat<100 industry,
Load,BG0 0,heat>500 industry,
Load,BG0 0,industry electricity,
Load,BG0 0,kerosene for aviation,
Load,BG0 0,land transport EV,
Load,BG0 0,land transport oil,
Load,BG0 0,naphtha for industry,
Load,BG0 0,rural heat,
Load,BG0 0,shipping oil,
Load,BG0 0,solid biomass for industry,
Load,BG0 0,urban central heat,
Load,BG0 0,urban decentral heat,
Load,CH0 0,electricity,
Load,CH0 0,gas for industry,
Load,CH0 0,heat100-200 industry,
Load,CH0 0,heat200-500 industry,
Load,CH0 0,heat<100 industry,
Load,CH0 0,heat>500 industry,
Load,CH0 0,industry electricity,
Load,CH0 0,kerosene for aviation,
Load,CH0 0,land transport EV,
Load,CH0 0,land transport oil,
Load,CH0 0,naphtha for industry,
Load,CH0 0,rural heat,
Load,CH0 0,shipping oil,
Load,CH0 0,solid biomass for industry,
Load,CH0 0,steel,
Load,CH0 0,urban central heat,
Load,CH0 0,urban decentral heat,
Load,CZ0 0,agriculture electricity,
Load,CZ0 0,agriculture heat,
Load,CZ0 0,agriculture machinery electric,
Load,CZ0 0,agriculture machinery oil,
Load,CZ0 0,electricity,
Load,CZ0 0,gas for industry,
Load,CZ0 0,heat100-200 industry,
Load,CZ0 0,heat200-500 industry,
Load,CZ0 0,heat<100 industry,
Load,CZ0 0,heat>500 industry,
Load,CZ0 0,industry electricity,
Load,CZ0 0,kerosene for aviation,
Load,CZ0 0,land transport EV,
Load,CZ0 0,land transport oil,
Load,CZ0 0,naphtha for industry,
Load,CZ0 0,rural heat,
Load,CZ0 0,shipping oil,
Load,CZ0 0,solid biomass for industry,
Load,CZ0 0,steel,
Load,CZ0 0,urban central heat,
Load,CZ0 0,urban decentral heat,
Load,DE0 0,agriculture electricity,
Load,DE0 0,agriculture heat,
Load,DE0 0,agriculture machinery electric,
Load,DE0 0,agriculture machinery oil,
Load,DE0 0,electricity,
Load,DE0 0,gas for industry,
Load,DE0 0,heat100-200 industry,
Load,DE0 0,heat200-500 industry,
Load,DE0 0,heat<100 industry,
Load,DE0 0,heat>500 industry,
