cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),2666.1963
capital,Generator,AL0 0,Offshore Wind (Floating),3183.29541
capital,Generator,AL0 0,Onshore Wind,27078439.50908
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419829.88284
capital,Generator,AL0 0,rural solar thermal,1831.16917
capital,Generator,AL0 0,solar-hsat,349756299.76936
capital,Generator,AL0 0,urban central solar thermal,5482.6538
capital,Generator,AL0 0,urban decentral solar thermal,1886.76512
capital,Generator,AT0 0,Onshore Wind,374355495.95295
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184674.78393
capital,Generator,AT0 0,rural solar thermal,800.48186
capital,Generator,AT0 0,solar-hsat,2454412405.71713
capital,Generator,AT0 0,urban central solar thermal,1967.24432
capital,Generator,AT0 0,urban decentral solar thermal,1227.80832
capital,Generator,BA0 0,Offshore Wind (AC),1396.9081
capital,Generator,BA0 0,Offshore Wind (Floating),1087.2576
capital,Generator,BA0 0,Onshore Wind,50338165.94804
capital,Generator,BA0 0,Solar,13985183.24237
capital,Generator,BA0 0,rural solar thermal,1219.02446
capital,Generator,BA0 0,solar-hsat,410381718.63706
capital,Generator,BA0 0,urban central solar thermal,3447.75377
capital,Generator,BA0 0,urban decentral solar thermal,1225.13537
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304833.81348
capital,Generator,BE0 0,Offshore Wind (Floating),2377.00276
capital,Generator,BE0 0,Onshore Wind,1763000364.4197
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347150.15837
capital,Generator,BE0 0,rural solar thermal,52.39835
capital,Generator,BE0 0,solar-hsat,1107505904.95544
capital,Generator,BE0 0,urban central solar thermal,1062.32392
capital,Generator,BE0 0,urban decentral solar thermal,540.83001
capital,Generator,BG0 0,Offshore Wind (AC),45192795.26052
capital,Generator,BG0 0,Offshore Wind (DC),3494257.41401
capital,Generator,BG0 0,Offshore Wind (Floating),4509.19594
capital,Generator,BG0 0,Onshore Wind,70357710.87712
