cost,component,carrier,0
capital,Generator,Offshore Wind (AC),12687393856.73338
capital,Generator,Offshore Wind (DC),19545285244.45897
capital,Generator,Offshore Wind (Floating),120400.25005
capital,Generator,Onshore Wind,31540647995.83966
capital,Generator,Run of River,14731877853.69473
capital,Generator,Solar,6359491728.04564
capital,Generator,rural solar thermal,35160.94759
capital,Generator,solar-hsat,31487462777.32906
capital,Generator,urban central solar thermal,89211.40855
capital,Generator,urban decentral solar thermal,33763.16016
capital,Line,AC,7417196279.15542
capital,Link,BOF,15784785305.45789
capital,Link,CO2 pipeline,11205110.69694
capital,Link,Combined-Cycle Gas,20531272825.22648
capital,Link,DC,1508484281.03494
capital,Link,EAF,66641.61929
capital,Link,H2 DRI,45025.9224
capital,Link,H2 Electrolysis,111697.39278
capital,Link,Haber-Bosch,1609126829.65116
capital,Link,OCGT methanol,59154.24204
capital,Link,Open-Cycle Gas,1691916.08627
capital,Link,SMR,1906514492.46447
capital,Link,Sabatier,39087.96274
capital,Link,ammonia cracker,67672.59613
capital,Link,battery charger,64841271.36938
capital,Link,biogas to gas,5538667387.87126
capital,Link,biomass to liquid,1112972583.34785
capital,Link,biomass-to-methanol,136680.78551
capital,Link,coal,20296278446.76685
capital,Link,electricity distribution grid,27531785411.42588
capital,Link,gas DRI,58720.82708
capital,Link,gas pipeline,865535209.23276
capital,Link,gas pipeline new,111560977.02345
capital,Link,heat100-200 industry electric boiler steam,17095.62659
capital,Link,heat100-200 industry gas,236718042.76691
capital,Link,heat100-200 industry industrial heat pump high temperature,4274541228.6936
capital,Link,heat100-200 industry solid biomass,289838557.97254
capital,Link,heat200-500 industry gas,24272993.36797
capital,Link,heat200-500 industry hydrogen,5058.05993
capital,Link,heat200-500 industry solid biomass,277997941.96882
capital,Link,heat<100 industry electric boiler steam,16838.02504
capital,Link,heat<100 industry gas,189639308.31661
capital,Link,heat<100 industry industrial heat pump medium temperature,2753914080.12638
capital,Link,heat<100 industry solid biomass,476463590.95395
capital,Link,heat>500 industry gas,65136177.97288
capital,Link,heat>500 industry hydrogen,6435.74344
capital,Link,home battery charger,18204165.9374
capital,Link,lignite,17957014446.48533
capital,Link,methanolisation,753997119.06902
capital,Link,nuclear,76509097852.66687
capital,Link,oil,59261.12742
capital,Link,rural air heat pump,318866.60315
capital,Link,rural biomass boiler,8175826698.97567
capital,Link,rural gas boiler,11776556231.60247
capital,Link,rural ground heat pump,9469261327.96098
