cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),3034.3224
capital,Generator,AL0 0,Offshore Wind (Floating),3046.64659
capital,Generator,AL0 0,Onshore Wind,27078558.97058
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419865.13719
capital,Generator,AL0 0,rural solar thermal,1366.02471
capital,Generator,AL0 0,solar-hsat,322165516.66037
capital,Generator,AL0 0,urban central solar thermal,3320.16397
capital,Generator,AL0 0,urban decentral solar thermal,1388.47498
capital,Generator,AT0 0,Onshore Wind,374355205.88155
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184705.36744
capital,Generator,AT0 0,rural solar thermal,904.18408
capital,Generator,AT0 0,solar-hsat,2213160333.719
capital,Generator,AT0 0,urban central solar thermal,2560.56005
capital,Generator,AT0 0,urban decentral solar thermal,1097.56146
capital,Generator,BA0 0,Offshore Wind (AC),1284.12989
capital,Generator,BA0 0,Offshore Wind (Floating),1029.86822
capital,Generator,BA0 0,Onshore Wind,50338355.35514
capital,Generator,BA0 0,Solar,13985286.16057
capital,Generator,BA0 0,rural solar thermal,941.83996
capital,Generator,BA0 0,solar-hsat,389101964.08959
capital,Generator,BA0 0,urban central solar thermal,1715.98376
capital,Generator,BA0 0,urban decentral solar thermal,948.57851
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304833.14452
capital,Generator,BE0 0,Offshore Wind (Floating),2071.98655
capital,Generator,BE0 0,Onshore Wind,1488475743.33565
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347276.45134
capital,Generator,BE0 0,rural solar thermal,66.04865
capital,Generator,BE0 0,solar-hsat,859247411.10554
capital,Generator,BE0 0,urban central solar thermal,1082.51316
capital,Generator,BE0 0,urban decentral solar thermal,520.86827
capital,Generator,BG0 0,Offshore Wind (AC),12132.87523
capital,Generator,BG0 0,Offshore Wind (DC),3494256.63486
capital,Generator,BG0 0,Offshore Wind (Floating),4614.2201
capital,Generator,BG0 0,Onshore Wind,70358032.31012
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125929038.48618
capital,Generator,BG0 0,rural solar thermal,869.17148
capital,Generator,BG0 0,solar-hsat,748959992.11526
capital,Generator,BG0 0,urban central solar thermal,1597.33813
capital,Generator,BG0 0,urban decentral solar thermal,1084.26953
capital,Generator,CH0 0,Onshore Wind,6364829.60804
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068545.51194
capital,Generator,CH0 0,rural solar thermal,362.97201
capital,Generator,CH0 0,solar-hsat,2382174998.82176
capital,Generator,CH0 0,urban central solar thermal,1536.11042
capital,Generator,CH0 0,urban decentral solar thermal,382.65244
capital,Generator,CZ0 0,Onshore Wind,1186784980.29477
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68151039.53124
capital,Generator,CZ0 0,rural solar thermal,550.27181
capital,Generator,CZ0 0,solar-hsat,134065722.37663
capital,Generator,CZ0 0,urban central solar thermal,3023.48831
capital,Generator,CZ0 0,urban decentral solar thermal,739.34697
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359314317.4865
capital,Generator,DE0 0,Offshore Wind (Floating),1605.60972
capital,Generator,DE0 0,Onshore Wind,2242189589.20236
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919492.4903
capital,Generator,DE0 0,rural solar thermal,510.89537
capital,Generator,DE0 0,solar-hsat,264432562.08831
capital,Generator,DE0 0,urban central solar thermal,1155.3935
capital,Generator,DE0 0,urban decentral solar thermal,549.59164
capital,Generator,DE0 1,Onshore Wind,390688891.83488
capital,Generator,DE0 1,Run of River,72178052.77618
capital,Generator,DE0 1,Solar,199218032.5541
capital,Generator,DE0 1,rural solar thermal,580.66834
capital,Generator,DE0 1,solar-hsat,419737594.35992
capital,Generator,DE0 1,urban central solar thermal,1293.40729
capital,Generator,DE0 1,urban decentral solar thermal,666.72711
capital,Generator,DE0 2,Offshore Wind (AC),1156810252.44729
capital,Generator,DE0 2,Offshore Wind (DC),4753542207.98428
