component,carrier,bus_carrier,0
Link,H2 DRI,hbi,174.75034
Link,Sabatier,urban central heat,96.45246
Link,H2 Electrolysis,urban central heat,72.24977
Link,solid biomass import,co2,56.33578
Store,home battery,home battery,0.01634
Store,Battery Storage,Battery Storage,0.01262
Store,EV battery,EV battery,-0.51098
Link,biomass-to-methanol,co2,-152.25918
Link,H2 DRI,AC,-179.99285
Link,H2 DRI,Hydrogen Storage,-366.97572
Link,Sabatier,co2 stored,-415.17928
Link,EAF,AC,-568.48333
Link,OCGT methanol,methanol,-707.76669
Link,oil,oil,-760.65298
Generator,rural heat vent,rural heat,-875.00253
Link,EAF,hbi,-888.94969
Link,ammonia cracker,NH3,-915.49644
Link,biomass-to-methanol,solid biomass,-1005.6749
Link,rural air heat pump,low voltage,-1330.27867
Link,H2 Electrolysis,AC,-1346.63321
Link,solid biomass import,solid biomass import,-1536.29077
Link,waste CHP,non-sequestered HVC,-1881.6861
Link,gas DRI,gas,-1986.9169
Link,heat100-200 industry electric boiler steam,AC,-2392.96596
Link,heat<100 industry electric boiler steam,AC,-2456.58968
Link,Sabatier,Hydrogen Storage,-2621.08132
Link,heat200-500 industry hydrogen,Hydrogen Storage,-2631.38703
Link,heat>500 industry hydrogen,Hydrogen Storage,-2677.26039
Load,H2 for industry,Hydrogen Storage,-3840.0
Link,heat100-200 industry solid biomass,solid biomass,-14571.97106
Link,heat200-500 industry solid biomass,solid biomass,-18006.85901
Link,heat<100 industry solid biomass,solid biomass,-18241.46204
Link,battery discharger,Battery Storage,-20517.7599
Link,battery charger,AC,-20940.83813
Link,home battery discharger,home battery,-22480.11722
Link,home battery charger,low voltage,-22943.65688
Generator,urban decentral heat vent,urban decentral heat,-46081.7235
Link,lignite,lignite,-86456.37816
StorageUnit,rural heat vent,rural heat,-116936.87144
Link,Open-Cycle Gas,gas,-487146.58464
Generator,urban central heat vent,urban central heat,-636431.70377
Link,urban central air heat pump,low voltage,-2548438.30266
Link,urban central resistive heater,low voltage,-3372629.90383
Link,gas pipeline,AC,-3381343.67021
Link,DC,AC,-5086588.21955
Store,co2 sequestered,co2 sequestered,-7722488.77502
Link,co2 sequestered,co2 stored,-7722488.77502
Link,urban central gas CHP,gas,-12532572.39533
Link,municipal solid waste,co2,-13977455.45414
Link,urban central solid biomass CHP,solid biomass,-14904267.99632
StorageUnit,Pumped Hydro Storage,AC,-15318059.645
Link,coal,coal,-15816912.43521
Link,methanolisation,co2 stored,-18711230.25336
Link,methanolisation,AC,-20442071.01758
Link,heat<100 industry industrial heat pump medium temperature,AC,-20951127.18975
Link,Haber-Bosch,AC,-21589516.0957
Load,agriculture machinery electric,low voltage,-22038779.72332
Line,AC,AC,-24228990.2447
Link,biogas to gas,co2,-25854274.48112
Link,urban central solid biomass CHP CC,co2,-26434132.59665
Link,unsustainable bioliquids,co2,-32607420.56387
Load,agriculture electricity,low voltage,-37525883.79874
Link,biomass to liquid,co2,-39224470.53128
Link,steel emission,steel emission,-40135158.77165
Link,rural ground heat pump,low voltage,-42282327.4171
Link,heat100-200 industry industrial heat pump high temperature,AC,-50069179.50855
Load,agriculture machinery oil,agriculture machinery oil,-51423819.35442
Link,agriculture machinery oil,oil,-51423819.35443
Link,rural resistive heater,low voltage,-53258520.93806
Link,municipal solid waste,municipal solid waste,-54365832.18259
Load,shipping methanol,shipping methanol,-75445455.68786
Link,shipping methanol,methanol,-75445455.68789
Link,urban central solid biomass CHP CC,solid biomass,-80096150.64283
Load,steel,steel,-83506600.0
Link,methanolisation,Hydrogen Storage,-85860420.51278
Load,NH3,NH3,-87300000.0
Link,urban decentral air heat pump,low voltage,-89916697.02633
Link,Haber-Bosch,Hydrogen Storage,-100256369.93247
Load,gas for industry,gas for industry,-111420561.21687
Link,gas for industry,gas,-111420561.2169
Link,heat200-500 industry gas,gas,-115679361.75397
Load,heat200-500 industry,heat200-500 industry,-115700000.0
Link,BOF,coal,-119413166.80187
Link,unsustainable bioliquids,unsustainable bioliquids,-126827773.48841
Link,biogas to gas,biogas,-130577143.84406
Load,coal for industry,coal for industry,-167203859.22261
Link,coal for industry,coal,-167203859.22266
Link,rural oil boiler,oil,-173461589.70012
Link,rural biomass boiler,solid biomass,-186083835.76012
Link,urban decentral resistive heater,low voltage,-202739393.73607
Load,agriculture heat,rural heat,-214811742.63032
Link,SMR,gas,-244904555.25733
Link,heat100-200 industry gas,gas,-246240497.87306
Link,heat<100 industry gas,gas,-267982030.504
