component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5259462804.86604
Link,oil refining,oil,4993523417.61105
Link,electricity distribution grid,low voltage,3471448923.49379
Generator,gas,gas,2750000000.8941
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1920374848.70543
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,solar-hsat,AC,810404983.70699
Generator,unsustainable solid biomass,solid biomass,796331254.93239
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,urban decentral gas boiler,urban decentral heat,658347750.0078
Link,land transport oil,co2,649471568.77898
Link,nuclear,AC,626042200.78079
Generator,Onshore Wind,AC,594686729.12709
Link,Combined-Cycle Gas,AC,523633792.80864
Link,shipping oil,shipping oil,491652886.23285
Generator,Offshore Wind (DC),AC,372678041.34151
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,349325449.25219
Link,solid biomass for industry,solid biomass for industry,346680000.00003
StorageUnit,Reservoir & Dam,AC,331428177.51154
Link,heat>500 industry gas,heat>500 industry,310537340.54102
Link,rural gas boiler,rural heat,307436637.87664
Link,urban central gas boiler,urban central heat,307175980.91453
Link,BEV charger,EV battery,301350738.89976
Generator,coal,coal,297900209.29359
Link,urban decentral oil boiler,urban decentral heat,280683279.60283
Generator,Offshore Wind (AC),AC,256973138.64526
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,256315612.76143
Link,HVC to air,co2,233468155.45426
Link,urban decentral biomass boiler,urban decentral heat,232009413.99967
Generator,forest residues,solid biomass,228387966.41105
Generator,industry wood,solid biomass,221622651.8082
Link,urban decentral air heat pump,urban decentral heat,211342891.66482
Link,urban decentral resistive heater,urban decentral heat,196800995.7659
Link,kerosene for aviation,co2,191258483.68987
Link,SMR,Hydrogen Storage,186126498.01441
Link,Combined-Cycle Gas,co2,178757743.06226
Link,coal for industry,coal for industry,167203859.22266
Link,rural ground heat pump,rural heat,162920679.81381
Generator,Run of River,AC,162183511.23285
Link,rural biomass boiler,rural heat,160304376.35327
Link,rural oil boiler,rural heat,156255746.45184
Generator,Solar,AC,153775402.42758
Link,urban decentral gas boiler,co2,133013116.83831
Link,biogas to gas,gas,130593134.34261
Generator,unsustainable biogas,biogas,130572137.24468
Link,urban central solid biomass CHP,urban central heat,129119380.58416
Generator,unsustainable bioliquids,unsustainable bioliquids,126827773.70689
Link,unsustainable bioliquids,oil,126827773.70689
Link,shipping oil,co2,126403957.05047
Link,gas for industry,gas for industry,111420561.2169
Link,heat200-500 industry solid biomass,heat200-500 industry,88066296.38925
Link,Haber-Bosch,NH3,87300863.18534
Link,BOF,steel,83506157.71226
Link,urban decentral oil boiler,co2,80181856.87321
Link,shipping methanol,shipping methanol,75445455.68789
Link,methanolisation,methanol,75445383.52991
Link,oil refining,co2,68373016.46326
Link,rural gas boiler,co2,62114749.28528
Link,heat>500 industry gas,co2,61486393.42712
Link,urban central solid biomass CHP CC,urban central heat,61061839.67248
Link,urban central air heat pump,urban central heat,59570840.97746
Link,urban central gas boiler,co2,58481580.9818
Link,coal for industry,co2,56197217.08474
Link,municipal solid waste,non-sequestered HVC,54365832.72557
Generator,municipal solid waste,municipal solid waste,54365832.72557
Link,agriculture machinery oil,agriculture machinery oil,51423819.35443
Link,heat<100 industry solid biomass,heat<100 industry,48550316.61208
Link,SMR,co2,48490850.79849
Link,rural oil boiler,co2,44637058.23641
Link,urban central solid biomass CHP,AC,42267217.48898
Link,steel emission,co2,40135145.50287
Link,BOF,steel emission,40134980.03814
Link,rural resistive heater,rural heat,39236142.66374
Link,biomass to liquid,oil,31984618.79662
Link,heat100-200 industry solid biomass,heat100-200 industry,31752629.15193
Link,heat200-500 industry gas,heat200-500 industry,27631543.67621
Generator,landscape care,solid biomass,24668207.33213
Link,urban central solid biomass CHP CC,co2 stored,24441769.49316
Generator,solid biomass,solid biomass,24250352.69704
Link,gas for industry,co2,22061271.12095
Link,Haber-Bosch,urban central heat,20223103.32774
Link,shipping methanol,co2,18711206.48989
Link,urban central solid biomass CHP CC,AC,17001260.27985
Link,agriculture machinery oil,co2,13221063.95602
Link,urban central resistive heater,urban central heat,9227621.27554
Link,co2 sequestered,co2 sequestered,5730166.31804
Link,heat200-500 industry gas,co2,5471045.64789
Link,coal,AC,4016585.85709
Link,coal,co2,3792063.2207
Link,methanolisation,urban central heat,1886197.4267
Link,heat<100 industry gas,heat<100 industry,941753.18732
Link,heat100-200 industry gas,heat100-200 industry,649576.38637
Link,heat<100 industry gas,co2,200502.29149
Link,urban central gas CHP,AC,186491.38865
Link,urban central gas CHP,urban central heat,186491.38865
Link,heat100-200 industry gas,co2,138296.90807
