cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),1875.17667
capital,Generator,AL0 0,Offshore Wind (Floating),2061.27345
capital,Generator,AL0 0,Onshore Wind,27078450.96438
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419833.32324
capital,Generator,AL0 0,rural solar thermal,647.98202
capital,Generator,AL0 0,solar-hsat,252092021.36404
capital,Generator,AL0 0,urban central solar thermal,2250.25971
capital,Generator,AL0 0,urban decentral solar thermal,676.64591
capital,Generator,AT0 0,Onshore Wind,374354028.43815
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184729.51233
capital,Generator,AT0 0,rural solar thermal,534.41555
capital,Generator,AT0 0,solar-hsat,1742248070.01774
capital,Generator,AT0 0,urban central solar thermal,1251.46415
capital,Generator,AT0 0,urban decentral solar thermal,578.83209
capital,Generator,BA0 0,Offshore Wind (AC),680.78078
capital,Generator,BA0 0,Offshore Wind (Floating),641.11986
capital,Generator,BA0 0,Onshore Wind,50338154.70111
capital,Generator,BA0 0,Solar,13985177.49814
capital,Generator,BA0 0,rural solar thermal,562.24048
capital,Generator,BA0 0,solar-hsat,275848385.46642
capital,Generator,BA0 0,urban central solar thermal,1637.0525
capital,Generator,BA0 0,urban decentral solar thermal,566.29404
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),145685642.39914
capital,Generator,BE0 0,Offshore Wind (Floating),1229.2454
capital,Generator,BE0 0,Onshore Wind,477240837.22204
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347066.62545
capital,Generator,BE0 0,rural solar thermal,66.27743
capital,Generator,BE0 0,solar-hsat,11206.12335
capital,Generator,BE0 0,urban central solar thermal,871.95583
capital,Generator,BE0 0,urban decentral solar thermal,390.28883
capital,Generator,BG0 0,Offshore Wind (AC),2292.6597
capital,Generator,BG0 0,Offshore Wind (DC),1987.68445
capital,Generator,BG0 0,Offshore Wind (Floating),2659.16003
capital,Generator,BG0 0,Onshore Wind,70357882.94185
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125929002.53182
capital,Generator,BG0 0,rural solar thermal,665.70949
capital,Generator,BG0 0,solar-hsat,517634520.07279
capital,Generator,BG0 0,urban central solar thermal,1429.1264
capital,Generator,BG0 0,urban decentral solar thermal,718.00157
capital,Generator,CH0 0,Onshore Wind,6364621.21114
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068435.16699
capital,Generator,CH0 0,rural solar thermal,257.73469
capital,Generator,CH0 0,solar-hsat,1885755458.63524
capital,Generator,CH0 0,urban central solar thermal,1240.96331
capital,Generator,CH0 0,urban decentral solar thermal,261.7189
capital,Generator,CZ0 0,Onshore Wind,16200909.26519
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68150718.49352
capital,Generator,CZ0 0,rural solar thermal,376.68976
capital,Generator,CZ0 0,solar-hsat,4465766.02706
capital,Generator,CZ0 0,urban central solar thermal,1043.68509
capital,Generator,CZ0 0,urban decentral solar thermal,496.90806
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359313915.19871
capital,Generator,DE0 0,Offshore Wind (Floating),1298.12318
capital,Generator,DE0 0,Onshore Wind,1482255603.68049
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919358.93848
capital,Generator,DE0 0,rural solar thermal,366.65641
capital,Generator,DE0 0,solar-hsat,13591.82947
capital,Generator,DE0 0,urban central solar thermal,825.30867
capital,Generator,DE0 0,urban decentral solar thermal,415.94061
capital,Generator,DE0 1,Onshore Wind,390670684.87836
capital,Generator,DE0 1,Run of River,72178052.77618
capital,Generator,DE0 1,Solar,199216168.97625
capital,Generator,DE0 1,rural solar thermal,394.91706
capital,Generator,DE0 1,solar-hsat,1036151.41682
capital,Generator,DE0 1,urban central solar thermal,885.99133
capital,Generator,DE0 1,urban decentral solar thermal,471.41171
capital,Generator,DE0 2,Offshore Wind (AC),1156810252.44729
capital,Generator,DE0 2,Offshore Wind (DC),2576595466.18306
capital,Generator,DE0 2,Offshore Wind (Floating),1594.1608
capital,Generator,DE0 2,Onshore Wind,818603562.72928
capital,Generator,DE0 2,Run of River,132010325.87154
capital,Generator,DE0 2,Solar,84732944.47699
capital,Generator,DE0 2,rural solar thermal,276.18652
capital,Generator,DE0 2,solar-hsat,11124.93008
capital,Generator,DE0 2,urban central solar thermal,915.98099
capital,Generator,DE0 2,urban decentral solar thermal,391.54765
capital,Generator,DE0 3,Onshore Wind,52768308.82798
capital,Generator,DE0 3,Run of River,940688192.41467
capital,Generator,DE0 3,Solar,232333281.10321
capital,Generator,DE0 3,rural solar thermal,486.50842
capital,Generator,DE0 3,solar-hsat,1025748978.91258
capital,Generator,DE0 3,urban central solar thermal,1091.96686
capital,Generator,DE0 3,urban decentral solar thermal,531.56673
capital,Generator,DE0 4,Onshore Wind,332001292.491
capital,Generator,DE0 4,Run of River,269690009.68602
capital,Generator,DE0 4,Solar,115970440.95279
capital,Generator,DE0 4,rural solar thermal,361.31168
capital,Generator,DE0 4,solar-hsat,184763572.30762
