component,location,carrier,0
Generator,,co2-ets,2.02328727e-05
Generator,AL0 0,Offshore Wind (AC),0.11653447223917024
Generator,AL0 0,Offshore Wind (Floating),0.14790697674418607
Generator,AL0 0,Onshore Wind,0.04064343657108015
Generator,AL0 0,Run of River,0.5098665975103734
Generator,AL0 0,Solar,0.16721991408185355
Generator,AL0 0,forest residues,0.00011415526528159809
Generator,AL0 0,industry wood,0.00011415525926597975
Generator,AL0 0,landscape care,0.00011419466744688427
Generator,AL0 0,manure and slurry,0.00011415527245296474
Generator,AL0 0,municipal solid waste,0.00010578131605200332
Generator,AL0 0,rural heat vent,0.043995551550246384
Generator,AL0 0,rural solar thermal,0.04646604404473653
Generator,AL0 0,sewage sludge,0.00011415879927968245
Generator,AL0 0,solar-hsat,0.18653096904166555
Generator,AL0 0,solid biomass,2.114e-06
Generator,AL0 0,straw,0.00011415530292953274
Generator,AL0 0,unsustainable solid biomass,0.00011324642704892046
Generator,AL0 0,urban central heat vent,0.18020801567455477
Generator,AL0 0,urban central solar thermal,0.058928521627576204
Generator,AL0 0,urban decentral heat vent,0.0435508434864105
Generator,AL0 0,urban decentral solar thermal,0.0440251572327044
Generator,AT0 0,Onshore Wind,0.12825685049816735
Generator,AT0 0,Run of River,0.5011405112711843
Generator,AT0 0,Solar,0.11577800747185667
Generator,AT0 0,forest residues,0.0001141552519928342
Generator,AT0 0,gas,0.9999057032015071
Generator,AT0 0,industry wood,0.00011415525152241602
Generator,AT0 0,landscape care,0.00011415526246612505
Generator,AT0 0,manure and slurry,0.00011415526517991936
Generator,AT0 0,municipal solid waste,0.00011256949200233849
Generator,AT0 0,rural solar thermal,0.03604465709728867
Generator,AT0 0,sewage sludge,0.00011415528321443699
Generator,AT0 0,solar-hsat,0.16238963401053094
Generator,AT0 0,solid biomass,8.46e-07
Generator,AT0 0,straw,0.00011415525629526249
Generator,AT0 0,unsustainable biogas,0.00011415525284664707
