cost,component,carrier,0
marginal,Link,heat200-500 industry solid biomass,134403.20459
marginal,Link,heat<100 industry electric boiler steam,2811.07815
marginal,Link,heat<100 industry gas,330553287.47719
marginal,Link,heat<100 industry industrial heat pump medium temperature,4152807.52553
marginal,Link,heat<100 industry solid biomass,43656.14616
marginal,Link,heat>500 industry gas,89905260.11466
marginal,Link,heat>500 industry hydrogen,9824.91199
marginal,Link,home battery charger,267.60509
marginal,Link,home battery discharger,262.43033
marginal,Link,kerosene for aviation,7515311.92284
marginal,Link,land transport oil,25691734.13013
marginal,Link,lignite,82344.65938
marginal,Link,methanolisation,850936.2663
marginal,Link,municipal solid waste,548817.07243
marginal,Link,naphtha for industry,8552319.83282
marginal,Link,nuclear,2241636489.41088
marginal,Link,oil,2010.25081
marginal,Link,oil refining,46835870.0647
marginal,Link,rural air heat pump,16.74614
marginal,Link,rural biomass boiler,1675918916.44951
marginal,Link,rural gas boiler,3320161.73265
marginal,Link,rural ground heat pump,428597.80019
marginal,Link,rural oil boiler,1742054.17312
marginal,Link,rural resistive heater,536016.18706
marginal,Link,shipping methanol,686267.35148
marginal,Link,shipping oil,4970185.85617
marginal,Link,solid biomass for industry,3598914.16738
marginal,Link,solid biomass import,18.3239
marginal,Link,steel emission,394675.51742
marginal,Link,unsustainable bioliquids,144545552.82489
marginal,Link,urban central air heat pump,34574.78148
marginal,Link,urban central gas CHP,84142845.26979
marginal,Link,urban central gas boiler,4576095.88702
marginal,Link,urban central resistive heater,27266.12696
marginal,Link,urban central solid biomass CHP,14426304.46373
marginal,Link,urban central solid biomass CHP CC,346786513.98469
marginal,Link,urban decentral air heat pump,900100.40291
marginal,Link,urban decentral biomass boiler,2423601311.92236
marginal,Link,urban decentral gas boiler,6962712.30375
marginal,Link,urban decentral oil boiler,3136496.21864
marginal,Link,urban decentral resistive heater,2024482.40928
marginal,Link,waste CHP,61400.73249
marginal,StorageUnit,Pumped Hydro Storage,406489.64713
marginal,StorageUnit,Reservoir & Dam,3310226.40428
marginal,Store,Battery Storage,0.0002
marginal,Store,EV battery,-0.0078
marginal,Store,co2 sequestered,435282.15863
marginal,Store,home battery,0.00026
marginal,Store,non-sequestered HVC,8525812.54809
marginal,Store,solid biomass import,98543.06602
