component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5298823839.13964
Link,oil refining,oil,5030894201.22126
Link,electricity distribution grid,low voltage,4048088862.26964
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1915740707.22045
Generator,solar-hsat,AC,1349617965.87812
Generator,Onshore Wind,AC,997259112.0989
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,Offshore Wind (DC),AC,847538455.89107
Generator,unsustainable solid biomass,solid biomass,796331253.98329
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,land transport oil,co2,649471568.77898
Generator,coal,coal,646122838.97564
Link,nuclear,AC,624531470.6239
Link,urban decentral resistive heater,urban decentral heat,614628401.96676
Link,shipping oil,shipping oil,491652886.23285
Link,rural ground heat pump,rural heat,477552938.13206
Generator,Offshore Wind (AC),AC,465272124.09993
Link,H2 Electrolysis,Hydrogen Storage,438580424.83724
Link,urban central solid biomass CHP,urban central heat,388558022.60657
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,374225380.0529
Link,solid biomass for industry,solid biomass for industry,346680000.00003
Link,biogas to gas,gas,346188878.12587
StorageUnit,Reservoir & Dam,AC,331339866.11819
Generator,solid biomass,solid biomass,301669284.1447
Link,BEV charger,EV battery,301350738.68182
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,285321546.17473
Link,urban decentral oil boiler,urban decentral heat,283952443.74814
Link,urban decentral air heat pump,urban decentral heat,257042629.14882
Link,urban decentral biomass boiler,urban decentral heat,257010353.93281
Link,HVC to air,co2,233467635.93578
Generator,forest residues,solid biomass,228387968.86672
Link,heat>500 industry hydrogen,heat>500 industry,221835595.18809
Generator,industry wood,solid biomass,221622651.90146
Link,battery charger,Battery Storage,214736587.38631
Link,battery discharger,AC,210398027.29412
Link,kerosene for aviation,co2,191258483.68987
Link,rural biomass boiler,rural heat,178732683.56956
Link,coal for industry,coal for industry,167203859.22266
Link,urban decentral gas boiler,urban decentral heat,162836336.98113
Generator,Run of River,AC,161231307.59371
Link,rural oil boiler,rural heat,157834856.4442
Generator,Solar,AC,150672715.46939
Generator,unsustainable biogas,biogas,130572136.80761
Link,coal,AC,127983679.73132
Link,urban central solid biomass CHP,AC,127194433.35538
