component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5116711027.51626
Link,oil refining,oil,4857989738.68814
Generator,gas,gas,4500000000.97984
Link,electricity distribution grid,low voltage,3435444400.00506
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1922586937.38458
Link,Combined-Cycle Gas,AC,914375989.83826
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,unsustainable solid biomass,solid biomass,796331255.62185
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,urban decentral gas boiler,urban decentral heat,676530138.76788
Link,land transport oil,co2,649471568.77898
Link,nuclear,AC,626763341.70772
Generator,Onshore Wind,AC,577407880.95812
Generator,solar-hsat,AC,559994538.11632
Link,shipping oil,shipping oil,491652886.23285
Link,urban central gas boiler,urban central heat,477730527.42876
Link,heat100-200 industry gas,heat100-200 industry,381340439.89602
Link,solid biomass for industry,solid biomass for industry,346680000.00003
StorageUnit,Reservoir & Dam,AC,331443281.59339
Link,rural gas boiler,rural heat,318134638.74414
Link,Combined-Cycle Gas,co2,312149044.80686
Link,heat>500 industry gas,heat>500 industry,310535976.91259
Link,heat<100 industry gas,heat<100 industry,305677491.28635
Generator,coal,coal,303143914.89081
Link,BEV charger,EV battery,301350739.06223
Link,urban decentral oil boiler,urban decentral heat,280481828.74991
Link,HVC to air,co2,233468217.75265
Link,urban decentral biomass boiler,urban decentral heat,231345251.7759
Generator,forest residues,solid biomass,228387958.95936
Generator,Offshore Wind (AC),AC,226910973.06794
Generator,industry wood,solid biomass,221622651.1452
Link,urban decentral air heat pump,urban decentral heat,211277189.6369
Link,kerosene for aviation,co2,191258483.68987
Link,SMR,Hydrogen Storage,186131404.27386
Link,urban decentral resistive heater,urban decentral heat,179524100.41449
Link,coal for industry,coal for industry,167203859.22266
Link,biomass to liquid,oil,167133258.55091
Generator,Run of River,AC,162467852.31949
Link,rural biomass boiler,rural heat,159968989.476
Link,rural oil boiler,rural heat,156110601.9912
Generator,Solar,AC,155998525.78174
Link,rural ground heat pump,rural heat,140818530.95998
Link,urban decentral gas boiler,co2,136686701.50616
Link,biogas to gas,gas,130577414.78149
Generator,unsustainable biogas,biogas,130572137.57047
Link,unsustainable bioliquids,oil,126827773.85257
Generator,unsustainable bioliquids,unsustainable bioliquids,126827773.85257
Link,shipping oil,co2,126403957.05047
Link,heat200-500 industry gas,heat200-500 industry,115685646.44654
Link,gas for industry,gas for industry,111420561.2169
Link,urban central gas boiler,co2,90952542.72201
Link,Haber-Bosch,NH3,87301215.45794
Link,BOF,steel,83504197.59988
Link,heat100-200 industry gas,co2,81188609.78431
Link,urban decentral oil boiler,co2,80124309.07956
Link,methanolisation,methanol,75445669.93953
Link,shipping methanol,shipping methanol,75445455.68789
Link,oil refining,co2,66517243.35771
Link,heat<100 industry gas,co2,65079723.95129
Link,rural gas boiler,co2,64276182.11361
Link,heat>500 industry gas,co2,61486123.42869
Link,coal for industry,co2,56197217.08474
Link,municipal solid waste,non-sequestered HVC,54365833.08777
Generator,municipal solid waste,municipal solid waste,54365833.08777
Link,agriculture machinery oil,agriculture machinery oil,51423819.35443
Link,rural resistive heater,rural heat,50752635.96681
Link,SMR,co2,48492129.00819
Link,urban central solid biomass CHP CC,urban central heat,46762787.9915
Link,rural oil boiler,co2,44595595.30215
Link,steel emission,co2,40135190.61576
Link,BOF,steel emission,40134037.96305
Generator,Offshore Wind (DC),AC,28520205.68326
Generator,landscape care,solid biomass,24668206.89595
Generator,solid biomass,solid biomass,23481287.13023
Link,heat200-500 industry gas,co2,22905757.99642
Link,urban central gas CHP,AC,22535540.49818
Link,urban central gas CHP,urban central heat,22535540.49818
Link,gas for industry,co2,22061271.12095
Link,Haber-Bosch,urban central heat,20223178.51288
Link,urban central solid biomass CHP CC,co2 stored,18718160.00101
Link,shipping methanol,co2,18711206.48989
Link,agriculture machinery oil,co2,13221063.95602
Link,urban central solid biomass CHP CC,AC,13020019.28404
Link,urban central air heat pump,urban central heat,11277004.27124
Link,urban central gas CHP,co2,10883017.11863
Link,coal,AC,5884342.90371
Link,coal,co2,5555414.74702
Link,methanolisation,urban central heat,1886201.92524
Link,Open-Cycle Gas,AC,1434248.14063
Link,urban central resistive heater,urban central heat,1256837.91447
Link,Open-Cycle Gas,co2,692636.90694
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,376837.00556
Generator,lignite,lignite,180475.16114
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,119987.64111
Link,lignite,co2,73435.34307
Link,lignite,AC,59556.80318
Link,battery charger,Battery Storage,27561.94835
Link,home battery charger,home battery,27338.20597
Link,battery discharger,AC,27005.10478
Link,home battery discharger,low voltage,26785.89036
Link,heat200-500 industry solid biomass,heat200-500 industry,10420.53342
Link,heat100-200 industry solid biomass,heat100-200 industry,9240.61899
Link,heat<100 industry solid biomass,heat<100 industry,9139.12592
Link,urban central solid biomass CHP,urban central heat,8371.9395
Link,co2 sequestered,co2 sequestered,6339.79105
Link,rural air heat pump,rural heat,4249.49855
Link,heat>500 industry hydrogen,heat>500 industry,4023.08748
