cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),2192.68722
capital,Generator,AL0 0,Offshore Wind (Floating),2380.0777
capital,Generator,AL0 0,Onshore Wind,27078521.13815
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419803.13637
capital,Generator,AL0 0,rural solar thermal,914.28304
capital,Generator,AL0 0,solar-hsat,240298001.33673
capital,Generator,AL0 0,urban central solar thermal,8349.71477
capital,Generator,AL0 0,urban decentral solar thermal,934.39099
capital,Generator,AT0 0,Onshore Wind,374356457.87606
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184630.00892
capital,Generator,AT0 0,rural solar thermal,892.02869
capital,Generator,AT0 0,solar-hsat,2057360789.78112
capital,Generator,AT0 0,urban central solar thermal,1534.57329
capital,Generator,AT0 0,urban decentral solar thermal,829.08891
capital,Generator,BA0 0,Offshore Wind (AC),834.39169
capital,Generator,BA0 0,Offshore Wind (Floating),745.92747
capital,Generator,BA0 0,Onshore Wind,50338167.73062
capital,Generator,BA0 0,Solar,13985324.47198
capital,Generator,BA0 0,rural solar thermal,648.46214
capital,Generator,BA0 0,solar-hsat,347323842.47931
capital,Generator,BA0 0,urban central solar thermal,1546.00701
capital,Generator,BA0 0,urban decentral solar thermal,652.64733
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304750.92248
capital,Generator,BE0 0,Offshore Wind (Floating),1472.27024
capital,Generator,BE0 0,Onshore Wind,1106693937.88373
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347179.11769
capital,Generator,BE0 0,rural solar thermal,71.07672
capital,Generator,BE0 0,solar-hsat,665846171.56788
capital,Generator,BE0 0,urban central solar thermal,947.14917
capital,Generator,BE0 0,urban decentral solar thermal,438.43573
capital,Generator,BG0 0,Offshore Wind (AC),3742.55894
capital,Generator,BG0 0,Offshore Wind (DC),5683.26557
capital,Generator,BG0 0,Offshore Wind (Floating),3215.92952
capital,Generator,BG0 0,Onshore Wind,70357653.23932
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125928947.58863
capital,Generator,BG0 0,rural solar thermal,696.83113
capital,Generator,BG0 0,solar-hsat,512163202.47497
capital,Generator,BG0 0,urban central solar thermal,1434.92477
capital,Generator,BG0 0,urban decentral solar thermal,791.99173
capital,Generator,CH0 0,Onshore Wind,6364595.85096
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068497.7895
capital,Generator,CH0 0,rural solar thermal,290.28098
capital,Generator,CH0 0,solar-hsat,2163965234.35983
capital,Generator,CH0 0,urban central solar thermal,1266.34695
capital,Generator,CH0 0,urban decentral solar thermal,299.22119
capital,Generator,CZ0 0,Onshore Wind,16200974.47569
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68150707.50316
capital,Generator,CZ0 0,rural solar thermal,458.39025
capital,Generator,CZ0 0,solar-hsat,228639993.95606
capital,Generator,CZ0 0,urban central solar thermal,1505.43399
capital,Generator,CZ0 0,urban decentral solar thermal,584.31
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359314278.79495
capital,Generator,DE0 0,Offshore Wind (Floating),1287.28543
capital,Generator,DE0 0,Onshore Wind,1679946851.30733
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919130.10268
capital,Generator,DE0 0,rural solar thermal,464.5517
capital,Generator,DE0 0,solar-hsat,15824146.95378
capital,Generator,DE0 0,urban central solar thermal,845.85289
capital,Generator,DE0 0,urban decentral solar thermal,490.55889
capital,Generator,DE0 1,Onshore Wind,390670745.54569
capital,Generator,DE0 1,Run of River,72178052.77618
capital,Generator,DE0 1,Solar,199216094.75249
capital,Generator,DE0 1,rural solar thermal,515.31769
capital,Generator,DE0 1,solar-hsat,312128785.9793
capital,Generator,DE0 1,urban central solar thermal,1007.19622
capital,Generator,DE0 1,urban decentral solar thermal,555.38135
capital,Generator,DE0 2,Offshore Wind (AC),1156810252.44729
capital,Generator,DE0 2,Offshore Wind (DC),4753542185.66901
capital,Generator,DE0 2,Offshore Wind (Floating),1611.35651
capital,Generator,DE0 2,Onshore Wind,818603424.9117
capital,Generator,DE0 2,Run of River,132010325.87154
capital,Generator,DE0 2,Solar,84733023.04232
capital,Generator,DE0 2,rural solar thermal,370.04674
capital,Generator,DE0 2,solar-hsat,2478230.32893
capital,Generator,DE0 2,urban central solar thermal,979.34186
capital,Generator,DE0 2,urban decentral solar thermal,445.89603
capital,Generator,DE0 3,Onshore Wind,52768328.60959
capital,Generator,DE0 3,Run of River,940688192.41467
capital,Generator,DE0 3,Solar,232333334.33663
capital,Generator,DE0 3,rural solar thermal,662.67216
capital,Generator,DE0 3,solar-hsat,1100144150.64746
capital,Generator,DE0 3,urban central solar thermal,1300.52451
capital,Generator,DE0 3,urban decentral solar thermal,674.68044
capital,Generator,DE0 4,Onshore Wind,332000820.09585
capital,Generator,DE0 4,Run of River,269690009.68602
capital,Generator,DE0 4,Solar,115970317.95438
capital,Generator,DE0 4,rural solar thermal,374.04792
capital,Generator,DE0 4,solar-hsat,989858322.40485
capital,Generator,DE0 4,urban central solar thermal,1605.99473
capital,Generator,DE0 4,urban decentral solar thermal,587.96058
capital,Generator,DE0 5,Offshore Wind (AC),429579876.58435
capital,Generator,DE0 5,Offshore Wind (DC),57939006.0421
capital,Generator,DE0 5,Offshore Wind (Floating),1504.16416
capital,Generator,DE0 5,Onshore Wind,1689460035.1093
capital,Generator,DE0 5,Run of River,29117199.61962
capital,Generator,DE0 5,Solar,566939881.95025
capital,Generator,DE0 5,rural solar thermal,569.08703
capital,Generator,DE0 5,solar-hsat,851292441.03777
capital,Generator,DE0 5,urban central solar thermal,1007.26336
capital,Generator,DE0 5,urban decentral solar thermal,624.55033
capital,Generator,DK0 0,Offshore Wind (AC),329702327.80007
capital,Generator,DK0 0,Offshore Wind (DC),13866.58954
capital,Generator,DK0 0,Offshore Wind (Floating),3561.49172
capital,Generator,DK0 0,Onshore Wind,2081280249.80061
capital,Generator,DK0 0,Solar,85748571.54448
capital,Generator,DK0 0,rural solar thermal,118.97685
capital,Generator,DK0 0,solar-hsat,10996.16982
capital,Generator,DK0 0,urban central solar thermal,737.70825
capital,Generator,DK0 0,urban decentral solar thermal,352.57338
capital,Generator,DK1 0,Offshore Wind (AC),220811828.54963
capital,Generator,DK1 0,Offshore Wind (DC),2802.56154
capital,Generator,DK1 0,Offshore Wind (Floating),2730.16107
capital,Generator,DK1 0,Onshore Wind,734647311.16098
capital,Generator,DK1 0,Solar,28221613.11807
capital,Generator,DK1 0,rural solar thermal,106.62246
capital,Generator,DK1 0,solar-hsat,25875.39872
capital,Generator,DK1 0,urban central solar thermal,780.182
capital,Generator,DK1 0,urban decentral solar thermal,407.0001
capital,Generator,EE0 0,Offshore Wind (AC),16543.38045
capital,Generator,EE0 0,Offshore Wind (DC),10950.82345
capital,Generator,EE0 0,Offshore Wind (Floating),3625.05525
capital,Generator,EE0 0,Onshore Wind,466901518.50374
capital,Generator,EE0 0,Solar,23011874.34559
capital,Generator,EE0 0,rural solar thermal,398.97799
capital,Generator,EE0 0,solar-hsat,45331604.28289
capital,Generator,EE0 0,urban central solar thermal,661.36025
capital,Generator,EE0 0,urban decentral solar thermal,439.16245
capital,Generator,ES0 0,Offshore Wind (AC),4026088.53715
capital,Generator,ES0 0,Offshore Wind (Floating),3452.12365
capital,Generator,ES0 0,Onshore Wind,3578970023.35944
capital,Generator,ES0 0,Run of River,40062148.34745
capital,Generator,ES0 0,Solar,1920332556.25474
capital,Generator,ES0 0,rural solar thermal,683.39977
capital,Generator,ES0 0,solar-hsat,3832433619.76279
capital,Generator,ES0 0,urban central solar thermal,4888.75572
capital,Generator,ES0 0,urban decentral solar thermal,1630.63039
capital,Generator,ES6 0,Offshore Wind (AC),1718.82299
capital,Generator,ES6 0,Offshore Wind (Floating),2339.49459
capital,Generator,ES6 0,Onshore Wind,2961.34006
capital,Generator,ES6 0,Run of River,45303586.30495
capital,Generator,ES6 0,Solar,14173636.49323
capital,Generator,ES6 0,rural solar thermal,1178.38695
capital,Generator,ES6 0,solar-hsat,75613537.70763
capital,Generator,ES6 0,urban central solar thermal,1174.88421
capital,Generator,ES6 0,urban decentral solar thermal,903.87941
capital,Generator,FI1 0,Offshore Wind (AC),34946.03379
capital,Generator,FI1 0,Offshore Wind (DC),341737000.75717
capital,Generator,FI1 0,Offshore Wind (Floating),4059.95648
capital,Generator,FI1 0,Onshore Wind,1095683204.4652
capital,Generator,FI1 0,Run of River,453195348.92122
capital,Generator,FI1 0,Solar,8236181.36543
capital,Generator,FI1 0,rural solar thermal,151.447
capital,Generator,FI1 0,solar-hsat,122437156.37019
capital,Generator,FI1 0,urban central solar thermal,639.51345
capital,Generator,FI1 0,urban decentral solar thermal,300.86603
capital,Generator,FR0 0,Offshore Wind (AC),677127096.84784
capital,Generator,FR0 0,Offshore Wind (DC),639736964.28318
capital,Generator,FR0 0,Offshore Wind (Floating),1412.09825
capital,Generator,FR0 0,Onshore Wind,1453048389.3682
capital,Generator,FR0 0,Solar,80758678.19037
capital,Generator,FR0 0,rural solar thermal,162.97754
capital,Generator,FR0 0,solar-hsat,4353.05153
capital,Generator,FR0 0,urban central solar thermal,992.72947
capital,Generator,FR0 0,urban decentral solar thermal,423.40298
capital,Generator,FR0 1,Offshore Wind (AC),22170411.69276
