carrier,0
electricity distribution grid,-714740.9732804566
AC,13.391914173541766
DC,36.47471431630546
Solar,38.31443605232602
solar-hsat,40.0294581432814
Offshore Wind (DC),53.220358704414984
Onshore Wind,54.49629862444216
Offshore Wind (AC),54.83181183884253
urban central solid biomass CHP CC,60.54785158103678
Pumped Hydro Storage,62.57450474003271
Run of River,67.12379862264568
nuclear,68.02788894910258
Offshore Wind (Floating),70.12383925712456
Open-Cycle Gas,81.93020382952439
OCGT methanol,82.19814061592098
Reservoir & Dam,83.7782423560404
battery discharger,90.66579656387569
waste CHP,99.82134461683121
urban central gas CHP,109.85811799122379
urban central solid biomass CHP,115.12182817096428
coal,143.27328038077675
lignite,147.5647683508515
oil,159.6583212967421
Combined-Cycle Gas,282.93725529075516
