component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5298675586.76164
Link,oil refining,oil,5030753445.07397
Link,electricity distribution grid,low voltage,3897255067.75376
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1915658229.25191
Generator,solar-hsat,AC,1173958371.32442
Generator,Onshore Wind,AC,870474023.63884
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,unsustainable solid biomass,solid biomass,796331255.36663
Generator,Offshore Wind (DC),AC,747950263.95411
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,land transport oil,co2,649471568.77898
Link,nuclear,AC,624504582.84657
Generator,gas,gas,500000000.98704
Link,shipping oil,shipping oil,491652886.23285
Generator,coal,coal,481660835.11131
Link,urban decentral resistive heater,urban decentral heat,453385532.0457
Generator,Offshore Wind (AC),AC,420542155.00654
Link,urban central solid biomass CHP,urban central heat,377053506.83614
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,373430959.6197
Link,rural ground heat pump,rural heat,365502031.6121
Link,solid biomass for industry,solid biomass for industry,346680000.00003
Link,urban decentral gas boiler,urban decentral heat,346425238.64269
Link,biogas to gas,gas,346188878.46566
StorageUnit,Reservoir & Dam,AC,331397870.23947
Link,BEV charger,EV battery,301350738.9836
Link,heat>500 industry gas,heat>500 industry,289796937.38677
Link,urban decentral oil boiler,urban decentral heat,284349914.0786
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,281159985.84424
Generator,solid biomass,solid biomass,270454354.39727
Link,urban decentral biomass boiler,urban decentral heat,257156908.19218
Link,urban decentral air heat pump,urban decentral heat,234983261.0142
Link,HVC to air,co2,233086661.39408
Generator,forest residues,solid biomass,228387969.17925
Generator,industry wood,solid biomass,221622652.49788
Link,H2 Electrolysis,Hydrogen Storage,191326037.5274
Link,kerosene for aviation,co2,191258483.68987
Link,rural biomass boiler,rural heat,178814320.69978
Link,battery charger,Battery Storage,173858555.85071
Link,battery discharger,AC,170345899.72169
Link,coal for industry,coal for industry,167203859.22266
Generator,Run of River,AC,161225883.70017
Link,rural oil boiler,rural heat,157998487.8299
Generator,unsustainable biogas,biogas,130572137.41278
Generator,Solar,AC,128649848.12168
Link,unsustainable bioliquids,oil,126827773.78206
Generator,unsustainable bioliquids,unsustainable bioliquids,126827773.78206
Link,shipping oil,co2,126403957.05047
Link,urban central solid biomass CHP,AC,123428431.16443
Link,heat200-500 industry solid biomass,heat200-500 industry,115698730.93523
Generator,manure and slurry,biogas,111573624.69439
Link,gas for industry,gas for industry,111420561.2169
Generator,straw,biogas,100992652.8778
Link,urban central air heat pump,urban central heat,95966352.71522
Link,Haber-Bosch,NH3,87300788.73749
Link,BOF,steel,83506446.82571
Link,urban decentral oil boiler,co2,81229292.12179
Link,shipping methanol,shipping methanol,75445455.68789
Link,rural resistive heater,rural heat,75373786.94244
Link,urban decentral gas boiler,co2,69992038.01148
Link,coal,AC,69435221.46633
Link,oil refining,co2,68882782.6279
Link,coal,co2,65553870.60346
Link,methanolisation,methanol,61793723.20601
Link,heat>500 industry gas,co2,57379793.60258
Link,coal for industry,co2,56197217.08474
Generator,municipal solid waste,municipal solid waste,54365832.91263
Link,municipal solid waste,non-sequestered HVC,54365832.91263
Link,agriculture machinery oil,agriculture machinery oil,51423819.35443
Link,rural gas boiler,rural heat,50904955.25598
Link,rural oil boiler,co2,45134901.35674
Link,urban central solid biomass CHP CC,urban central heat,43863578.42038
Generator,lignite,lignite,41408174.97073
Link,steel emission,co2,40135163.38503
Link,BOF,steel emission,40135118.99271
Link,urban central resistive heater,urban central heat,31303963.5078
Link,urban central gas boiler,urban central heat,30251481.45187
Generator,landscape care,solid biomass,24668207.95929
Link,heat<100 industry solid biomass,heat<100 industry,24646672.50255
Link,gas for industry,co2,22061271.12095
Link,heat>500 industry hydrogen,heat>500 industry,20743062.6133
Link,Haber-Bosch,urban central heat,20223101.59173
Link,shipping methanol,co2,18711206.48989
Link,urban central solid biomass CHP CC,co2 stored,17557667.41792
Link,lignite,co2,16848986.39559
Link,H2 Electrolysis,urban central heat,16795242.80712
Link,lignite,AC,13664697.74034
Link,biomass-to-methanol,methanol,13652132.87873
Link,agriculture machinery oil,co2,13221063.95602
Link,urban central solid biomass CHP CC,AC,12212801.27704
Link,rural gas boiler,co2,10284878.71498
Link,heat100-200 industry solid biomass,heat100-200 industry,8296436.00771
Link,Combined-Cycle Gas,AC,6053216.39799
Link,urban central gas boiler,co2,5759416.66103
Generator,urban decentral solar thermal,urban decentral heat,3226970.54051
Generator,sewage sludge,biogas,3050468.81773
Link,co2 sequestered,co2 sequestered,2231870.88906
Link,Combined-Cycle Gas,co2,2066442.83931
Link,methanolisation,urban central heat,1544901.53261
Link,waste CHP,urban central heat,1132392.43772
Link,biomass to liquid,oil,857618.4142
Link,waste CHP,co2,382125.65901
Link,waste CHP,AC,309297.35371
Link,home battery charger,home battery,90280.09971
Link,home battery discharger,low voltage,88456.09811
Link,oil,AC,32708.56337
Link,oil,co2,24026.77612
Link,rural air heat pump,rural heat,4210.75929
Link,SMR,Hydrogen Storage,3911.5214
Link,solid biomass import,solid biomass,2251.74354
Store,solid biomass import,solid biomass import,2249.53331
Link,Sabatier,gas,1797.22415
Link,heat<100 industry electric boiler steam,heat<100 industry,1742.32609
Link,heat100-200 industry electric boiler steam,heat100-200 industry,1727.94888
Link,heat<100 industry gas,heat<100 industry,1597.20386
Generator,urban central solar thermal,urban central heat,1370.22343
Generator,Offshore Wind (Floating),AC,1022.76545
Link,SMR,co2,1019.05426
Link,heat200-500 industry hydrogen,heat200-500 industry,935.39673
Link,heat100-200 industry gas,heat100-200 industry,874.14883
Link,ammonia cracker,Hydrogen Storage,541.56807
Generator,rural solar thermal,rural heat,503.90155
Link,heat<100 industry gas,co2,340.04986
Link,heat200-500 industry gas,heat200-500 industry,333.66804
Link,urban central gas CHP,urban central heat,305.46789
Link,urban central gas CHP,AC,305.46789
Link,Open-Cycle Gas,AC,229.3585
Link,heat100-200 industry gas,co2,186.10911
Link,OCGT methanol,AC,162.88036
Link,EAF,steel,153.17424
Link,urban central gas CHP,co2,147.51864
Link,Open-Cycle Gas,co2,110.76337
Link,OCGT methanol,co2,98.52276
Link,Sabatier,urban central heat,82.7142
Link,solid biomass import,co2,82.57144
Link,gas DRI,hbi,80.64878
Link,H2 DRI,hbi,73.37701
Link,heat200-500 industry gas,co2,66.06627
Link,gas DRI,steel emission,44.39231
Store,home battery,home battery,0.02738
Store,Battery Storage,Battery Storage,0.02161
Store,EV battery,EV battery,-0.83845
Link,H2 DRI,AC,-75.57832
Link,EAF,AC,-97.95493
Link,EAF,hbi,-153.17424
Link,H2 DRI,Hydrogen Storage,-154.09171
Link,gas DRI,gas,-224.20361
Link,heat200-500 industry gas,gas,-333.66804
Link,Sabatier,co2 stored,-355.85038
