cost,component,carrier,0
capital,Generator,Offshore Wind (AC),19440532913.74664
capital,Generator,Offshore Wind (DC),34184040219.09304
capital,Generator,Offshore Wind (Floating),153091.68553
capital,Generator,Onshore Wind,43245878334.24576
capital,Generator,Run of River,14731877853.69473
capital,Generator,Solar,6359487647.53336
capital,Generator,rural solar thermal,42262.82155
capital,Generator,solar-hsat,44472816925.89541
capital,Generator,urban central solar thermal,89527.64849
capital,Generator,urban decentral solar thermal,107405353.22734
capital,Line,AC,7417196279.15542
capital,Link,BOF,15784834272.98449
capital,Link,CO2 pipeline,154713329.96467
capital,Link,Combined-Cycle Gas,20544348922.66873
capital,Link,DC,1508484281.03494
capital,Link,EAF,51577.09512
capital,Link,H2 DRI,43183.06836
capital,Link,H2 Electrolysis,8084395915.22761
capital,Link,Haber-Bosch,1825024715.20925
capital,Link,OCGT methanol,65671.679
capital,Link,Open-Cycle Gas,1186768.59206
capital,Link,SMR,854493.61958
capital,Link,Sabatier,34886.34467
capital,Link,ammonia cracker,73632.14088
capital,Link,battery charger,1667530230.67453
capital,Link,biogas to gas,8279977626.56755
capital,Link,biomass to liquid,167374.81459
capital,Link,biomass-to-methanol,2190779759.19246
capital,Link,coal,20296301618.65676
capital,Link,electricity distribution grid,30816929354.22605
capital,Link,gas DRI,46098.5084
capital,Link,gas pipeline,865535209.23276
capital,Link,gas pipeline new,17627786.84172
capital,Link,heat100-200 industry electric boiler steam,17425.8223
capital,Link,heat100-200 industry gas,236717780.6433
capital,Link,heat100-200 industry industrial heat pump high temperature,4503888508.58972
capital,Link,heat100-200 industry solid biomass,101506261.97322
capital,Link,heat200-500 industry gas,24263188.07379
capital,Link,heat200-500 industry hydrogen,3051.65284
capital,Link,heat200-500 industry solid biomass,365186758.08028
capital,Link,heat<100 industry electric boiler steam,17623.38086
capital,Link,heat<100 industry gas,189638697.93855
capital,Link,heat<100 industry industrial heat pump medium temperature,2957758972.25223
capital,Link,heat<100 industry solid biomass,286404672.16664
capital,Link,heat>500 industry gas,65145140.52041
capital,Link,heat>500 industry hydrogen,6524.34988
capital,Link,home battery charger,4873778.85967
capital,Link,lignite,17957039788.66767
capital,Link,methanolisation,607649231.6144
capital,Link,nuclear,76509097852.66687
capital,Link,oil,70398.45935
capital,Link,rural air heat pump,375483.04323
capital,Link,rural biomass boiler,9367494636.72648
capital,Link,rural gas boiler,11199536140.70274
capital,Link,rural ground heat pump,12628724827.94379
