cost,component,location,carrier,0
capital,Generator,AL0 0,Offshore Wind (AC),2578.56312
capital,Generator,AL0 0,Offshore Wind (Floating),3260.54704
capital,Generator,AL0 0,Onshore Wind,27078545.76004
capital,Generator,AL0 0,Run of River,14853811.92575
capital,Generator,AL0 0,Solar,15419850.51948
capital,Generator,AL0 0,rural solar thermal,1106.37656
capital,Generator,AL0 0,solar-hsat,377042953.75389
capital,Generator,AL0 0,urban central solar thermal,2653.40623
capital,Generator,AL0 0,urban decentral solar thermal,1153.05635
capital,Generator,AT0 0,Onshore Wind,374354055.78817
capital,Generator,AT0 0,Run of River,1376313648.03682
capital,Generator,AT0 0,Solar,20184638.79255
capital,Generator,AT0 0,rural solar thermal,587.26195
capital,Generator,AT0 0,solar-hsat,2560704581.0211
capital,Generator,AT0 0,urban central solar thermal,1442.264
capital,Generator,AT0 0,urban decentral solar thermal,1322.31828
capital,Generator,BA0 0,Offshore Wind (AC),1411.94065
capital,Generator,BA0 0,Offshore Wind (Floating),1062.94375
capital,Generator,BA0 0,Onshore Wind,50338143.90175
capital,Generator,BA0 0,Solar,13985232.52599
capital,Generator,BA0 0,rural solar thermal,945.11576
capital,Generator,BA0 0,solar-hsat,439153014.20433
capital,Generator,BA0 0,urban central solar thermal,2150.21598
capital,Generator,BA0 0,urban decentral solar thermal,939.25866
capital,Generator,BE0 0,Offshore Wind (AC),460339539.53252
capital,Generator,BE0 0,Offshore Wind (DC),192304863.30829
capital,Generator,BE0 0,Offshore Wind (Floating),2898.21415
capital,Generator,BE0 0,Onshore Wind,1763000491.37281
capital,Generator,BE0 0,Run of River,18186779.19648
capital,Generator,BE0 0,Solar,25347198.64674
capital,Generator,BE0 0,rural solar thermal,46.74575
capital,Generator,BE0 0,solar-hsat,1288046622.40128
capital,Generator,BE0 0,urban central solar thermal,976.26683
capital,Generator,BE0 0,urban decentral solar thermal,557.25065
capital,Generator,BG0 0,Offshore Wind (AC),323688959.04823
capital,Generator,BG0 0,Offshore Wind (DC),3494298.52127
capital,Generator,BG0 0,Offshore Wind (Floating),5120.42426
capital,Generator,BG0 0,Onshore Wind,70357652.17864
capital,Generator,BG0 0,Run of River,34022009.05814
capital,Generator,BG0 0,Solar,125929116.37239
capital,Generator,BG0 0,rural solar thermal,832.99659
capital,Generator,BG0 0,solar-hsat,828341250.04468
capital,Generator,BG0 0,urban central solar thermal,1439.72899
capital,Generator,BG0 0,urban decentral solar thermal,1199.8229
capital,Generator,CH0 0,Onshore Wind,6364626.90497
capital,Generator,CH0 0,Run of River,1295123214.9052
capital,Generator,CH0 0,Solar,5068594.45955
capital,Generator,CH0 0,rural solar thermal,347.07743
capital,Generator,CH0 0,solar-hsat,2653478257.35668
capital,Generator,CH0 0,urban central solar thermal,1820.51301
capital,Generator,CH0 0,urban decentral solar thermal,396.195
capital,Generator,CZ0 0,Onshore Wind,2400322204.52708
capital,Generator,CZ0 0,Run of River,12396579.18494
capital,Generator,CZ0 0,Solar,68150637.33559
capital,Generator,CZ0 0,rural solar thermal,468.86605
capital,Generator,CZ0 0,solar-hsat,134024833.39574
capital,Generator,CZ0 0,urban central solar thermal,1366.36799
capital,Generator,CZ0 0,urban decentral solar thermal,784.14403
capital,Generator,DE0 0,Offshore Wind (AC),464757892.81506
capital,Generator,DE0 0,Offshore Wind (DC),359314325.25589
capital,Generator,DE0 0,Offshore Wind (Floating),1281.19823
capital,Generator,DE0 0,Onshore Wind,4664679228.45656
capital,Generator,DE0 0,Run of River,22970095.01057
capital,Generator,DE0 0,Solar,136919289.16849
capital,Generator,DE0 0,rural solar thermal,438.80512
