,0
AC,50.400669527412774
EV battery,57.596025732934635
H2,53.574609362720125
NH3,86.2678996054179
agriculture machinery oil,82.83509773314314
battery,50.224434181374825
biogas,5.588429161414241
co2,-99.9896538206984
co2 sequestered,-30.863462615241147
co2 stored,-29.716778607242134
coal,9.563230395333333
coal for industry,43.18006961485377
gas,13.304662522506977
gas for industry,33.046186792563795
hbi,287.84969530000546
heat100-200 industry,30.92801661285867
heat200-500 industry,31.33937947393161
heat<100 industry,31.72839383596519
heat>500 industry,33.585781852624244
home battery,56.6489122409774
kerosene for aviation,82.83509393349101
land transport oil,82.8351488327141
lignite,3.307979538943332
low voltage,61.858142745636535
methanol,76.61013633801555
municipal solid waste,-0.01991119516307735
naphtha for industry,57.12765632342888
non-sequestered HVC,-25.71717539716802
oil,57.117638690613155
oil primary,52.920537364333335
rural heat,76.40752689260796
shipping methanol,101.4176263148179
shipping oil,82.83508200918095
solid biomass,19.713943547490572
solid biomass for industry,20.006410788470742
solid biomass import,54.010089105789504
steel,401.18327515758585
steel emission,-99.99944764169872
unsustainable bioliquids,81.68538776506036
uranium,3.422536680626853
urban central heat,32.50476462582287
urban decentral heat,83.31405202694924
