component,carrier,bus_carrier,0
Generator,oil primary,oil primary,5283202337.30214
Link,oil refining,oil,5016062584.73533
Link,electricity distribution grid,low voltage,3596058153.89492
Link,land transport oil,land transport oil,2526143791.43905
Generator,uranium,uranium,1918828604.1418
Generator,gas,gas,1750000001.58911
Generator,solar-hsat,AC,1019595527.65855
Store,non-sequestered HVC,non-sequestered HVC,853719686.91572
Link,naphtha for industry,naphtha for industry,853719686.91556
Generator,unsustainable solid biomass,solid biomass,796331257.51438
Link,kerosene for aviation,kerosene for aviation,743906976.62339
Link,land transport oil,co2,649471568.77898
Generator,Onshore Wind,AC,638839933.04532
Link,nuclear,AC,625538125.13587
Link,urban decentral gas boiler,urban decentral heat,586375998.96528
Generator,Offshore Wind (DC),AC,492235045.98572
Link,shipping oil,shipping oil,491652886.23285
Link,heat100-200 industry industrial heat pump high temperature,heat100-200 industry,363381610.57353
Link,solid biomass for industry,solid biomass for industry,346680000.00003
Link,biogas to gas,gas,346188872.82686
StorageUnit,Reservoir & Dam,AC,331412081.24068
Generator,Offshore Wind (AC),AC,314120464.28085
Link,heat>500 industry gas,heat>500 industry,310536638.32726
Link,BEV charger,EV battery,301350739.50923
Generator,coal,coal,297924515.68647
Link,urban decentral oil boiler,urban decentral heat,283225754.34501
Link,heat<100 industry industrial heat pump medium temperature,heat<100 industry,266048271.948
Link,urban decentral resistive heater,urban decentral heat,255627114.74991
Link,rural gas boiler,rural heat,255599424.87224
Link,urban decentral biomass boiler,urban decentral heat,242640028.62316
Link,Combined-Cycle Gas,AC,235708503.13483
Link,HVC to air,co2,233467734.02758
Generator,forest residues,solid biomass,228387968.76425
Generator,industry wood,solid biomass,221622653.10407
Link,urban decentral air heat pump,urban decentral heat,211346762.59801
Link,urban central solid biomass CHP,urban central heat,206645144.96591
Link,rural ground heat pump,rural heat,196619283.18181
Link,kerosene for aviation,co2,191258483.68987
Link,SMR,Hydrogen Storage,186125916.07336
Link,coal for industry,coal for industry,167203859.22266
Link,rural biomass boiler,rural heat,166235458.22418
Generator,Run of River,AC,162016035.49257
Link,urban central gas boiler,urban central heat,160555845.28444
Link,rural oil boiler,rural heat,157325002.52356
Link,urban central air heat pump,urban central heat,143243745.3943
Generator,Solar,AC,140850572.46295
Generator,unsustainable biogas,biogas,130572138.46691
Generator,unsustainable bioliquids,unsustainable bioliquids,126827774.25342
Link,unsustainable bioliquids,oil,126827774.25342
Link,shipping oil,co2,126403957.05047
Link,urban decentral gas boiler,co2,118471885.50523
Generator,manure and slurry,biogas,111573622.87395
Link,gas for industry,gas for industry,111420561.2169
Link,heat200-500 industry solid biomass,heat200-500 industry,107009514.22621
Link,battery charger,Battery Storage,105650787.25212
Link,battery discharger,AC,103516207.90844
Generator,straw,biogas,100992652.7562
Link,Haber-Bosch,NH3,87300877.80687
Link,BOF,steel,83506207.52357
Link,urban decentral oil boiler,co2,80908157.15789
Link,Combined-Cycle Gas,co2,80466006.24258
Link,shipping methanol,shipping methanol,75445455.68789
Link,methanolisation,methanol,75444841.81259
Generator,solid biomass,solid biomass,73089300.35256
Link,oil refining,co2,68681630.38493
Link,urban central solid biomass CHP,AC,67645269.40728
Link,heat>500 industry gas,co2,61486254.3888
Link,coal for industry,co2,56197217.08474
Generator,municipal solid waste,municipal solid waste,54365834.08411
Link,municipal solid waste,non-sequestered HVC,54365834.08411
